method,failure,episodes,exposed_episodes,queries,first_query,zero_score_queries
ac_reference,False,15436,14292,109210,8,0
ac_reference,True,564,564,17228,8,0
absolute_acc,False,15436,14292,109210,8,0
absolute_acc,True,564,564,17228,8,0
absolute_both,False,15436,14292,109210,8,0
absolute_both,True,564,564,17228,8,0
persistent_ac,False,15436,10571,71302,11,0
persistent_ac,True,564,564,15536,11,0
joint_stop_or,False,15436,14292,109210,8,0
joint_stop_or,True,564,564,17228,8,0
absolute_state_trap,False,15436,14292,109210,8,0
absolute_state_trap,True,564,564,17228,8,0
leaky_ac,False,15436,14292,109210,8,98078
leaky_ac,True,564,564,17228,8,7866
leaky_state_trap,False,15436,14292,109210,8,100143
leaky_state_trap,True,564,564,17228,8,8435
