calibration,alpha,method,baseline,scope,metric,delta,lo,hi,bootstrap
episode,0.01,ac_reference,old_ac,all,recall,0.0035460992907801418,0.0,0.009882731722639577,2000 task clusters stratified by suite
episode,0.01,ac_reference,old_ac,all,fpr,0.0014252396994039907,0.000587725363328235,0.002624037807377049,2000 task clusters stratified by suite
episode,0.01,ac_reference,old_ac,excluding_S05,recall,0.003703703703703704,0.0,0.010035498869062567,2000 task clusters stratified by suite
episode,0.01,ac_reference,old_ac,excluding_S05,fpr,0.0014608233731739709,0.00060292620605191,0.0026895079531149327,2000 task clusters stratified by suite
episode,0.01,ac_reference,v82_frozen,all,recall,0.03546099290780142,0.02014388489208633,0.06334921292460645,2000 task clusters stratified by suite
episode,0.01,ac_reference,v82_frozen,all,fpr,0.0062840114019175955,0.0033844612475784535,0.009616568889303581,2000 task clusters stratified by suite
episode,0.01,ac_reference,v82_frozen,excluding_S05,recall,0.03518518518518519,0.01836793128131711,0.06349299719887955,2000 task clusters stratified by suite
episode,0.01,ac_reference,v82_frozen,excluding_S05,fpr,0.006440903054448871,0.003459387783625211,0.009887472249676886,2000 task clusters stratified by suite
episode,0.01,absolute_acc,old_ac,all,recall,0.01773049645390071,0.0,0.03092872174406507,2000 task clusters stratified by suite
episode,0.01,absolute_acc,old_ac,all,fpr,0.0016195905675045349,-0.0009629105330135705,0.005116588596035811,2000 task clusters stratified by suite
episode,0.01,absolute_acc,old_ac,excluding_S05,recall,0.016666666666666666,-0.003135042684489659,0.030249576392312502,2000 task clusters stratified by suite
episode,0.01,absolute_acc,old_ac,excluding_S05,fpr,0.0016600265604249668,-0.0009858271128612083,0.005257650495452287,2000 task clusters stratified by suite
episode,0.01,absolute_acc,ac_reference,all,recall,0.014184397163120567,-0.006637351894863729,0.028848684210526304,2000 task clusters stratified by suite
episode,0.01,absolute_acc,ac_reference,all,fpr,0.00019435086810054417,-0.0018750251969068866,0.0027161141783208437,2000 task clusters stratified by suite
episode,0.01,absolute_acc,ac_reference,excluding_S05,recall,0.012962962962962963,-0.009554521073964586,0.027840432768540188,2000 task clusters stratified by suite
episode,0.01,absolute_acc,ac_reference,excluding_S05,fpr,0.00019920318725099602,-0.0019287172733284715,0.002794057974874079,2000 task clusters stratified by suite
episode,0.01,absolute_acc,v82_frozen,all,recall,0.04964539007092199,0.029263329551900173,0.06753886239180357,2000 task clusters stratified by suite
episode,0.01,absolute_acc,v82_frozen,all,fpr,0.0064783622700181395,0.002847334102650904,0.011271989596363496,2000 task clusters stratified by suite
episode,0.01,absolute_acc,v82_frozen,excluding_S05,recall,0.04814814814814815,0.0265284046310832,0.06717914783398345,2000 task clusters stratified by suite
episode,0.01,absolute_acc,v82_frozen,excluding_S05,fpr,0.006640106241699867,0.002919593401356532,0.011557761478986394,2000 task clusters stratified by suite
episode,0.01,absolute_both,old_ac,all,recall,0.028368794326241134,-0.0021431041670614544,0.04754418126525892,2000 task clusters stratified by suite
episode,0.01,absolute_both,old_ac,all,fpr,0.0011013215859030838,-0.001733928699262653,0.004024708906062795,2000 task clusters stratified by suite
episode,0.01,absolute_both,old_ac,excluding_S05,recall,0.027777777777777776,-0.005542111488063743,0.047220531446760514,2000 task clusters stratified by suite
episode,0.01,absolute_both,old_ac,excluding_S05,fpr,0.0010624169986719787,-0.0018577926497373638,0.004073810500818264,2000 task clusters stratified by suite
episode,0.01,absolute_both,ac_reference,all,recall,0.024822695035460994,-0.008577084206116465,0.04570792607370621,2000 task clusters stratified by suite
episode,0.01,absolute_both,ac_reference,all,fpr,-0.000323918113500907,-0.002725556021290679,0.0020007777218659386,2000 task clusters stratified by suite
episode,0.01,absolute_both,ac_reference,excluding_S05,recall,0.024074074074074074,-0.011561531373041802,0.045512489793481894,2000 task clusters stratified by suite
episode,0.01,absolute_both,ac_reference,excluding_S05,fpr,-0.00039840637450199205,-0.0028787240643861787,0.001970501341463673,2000 task clusters stratified by suite
episode,0.01,absolute_both,v82_frozen,all,recall,0.06028368794326241,0.03385969786421254,0.07895285087719295,2000 task clusters stratified by suite
episode,0.01,absolute_both,v82_frozen,all,fpr,0.005960093288416689,0.0028236194737558296,0.009826781380768453,2000 task clusters stratified by suite
episode,0.01,absolute_both,v82_frozen,excluding_S05,recall,0.05925925925925926,0.0330667538432098,0.07848599241791426,2000 task clusters stratified by suite
episode,0.01,absolute_both,v82_frozen,excluding_S05,fpr,0.006042496679946879,0.0028290684067715293,0.0100029123374463,2000 task clusters stratified by suite
episode,0.01,persistent_ac,old_ac,all,recall,0.02127659574468085,-4.970178926441069e-05,0.03654656104366071,2000 task clusters stratified by suite
episode,0.01,persistent_ac,old_ac,all,fpr,0.00038870173620108835,-0.0031298440498513953,0.005250722234926322,2000 task clusters stratified by suite
episode,0.01,persistent_ac,old_ac,excluding_S05,recall,0.022222222222222223,-0.001976368964153453,0.03794300291724622,2000 task clusters stratified by suite
episode,0.01,persistent_ac,old_ac,excluding_S05,fpr,0.00039840637450199205,-0.0032202462009316086,0.005392648305573076,2000 task clusters stratified by suite
episode,0.01,persistent_ac,ac_reference,all,recall,0.01773049645390071,-0.005815375688344787,0.03364548915950785,2000 task clusters stratified by suite
episode,0.01,persistent_ac,ac_reference,all,fpr,-0.0010365379632029023,-0.004093398213186192,0.0028789300361874645,2000 task clusters stratified by suite
episode,0.01,persistent_ac,ac_reference,excluding_S05,recall,0.018518518518518517,-0.006542040545031572,0.03525041661464637,2000 task clusters stratified by suite
episode,0.01,persistent_ac,ac_reference,excluding_S05,fpr,-0.0010624169986719787,-0.004186613435628492,0.002954933345745069,2000 task clusters stratified by suite
episode,0.01,persistent_ac,v82_frozen,all,recall,0.05319148936170213,0.03016351629231256,0.07431598251273062,2000 task clusters stratified by suite
episode,0.01,persistent_ac,v82_frozen,all,fpr,0.005247473438714693,0.0018035194510300806,0.010890205841214392,2000 task clusters stratified by suite
episode,0.01,persistent_ac,v82_frozen,excluding_S05,recall,0.053703703703703705,0.029643649912795306,0.07520848920863304,2000 task clusters stratified by suite
episode,0.01,persistent_ac,v82_frozen,excluding_S05,fpr,0.005378486055776893,0.0018466977213007886,0.011158065950361559,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,old_ac,all,recall,0.0017730496453900709,-0.008523944805194805,0.015153990889284994,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,old_ac,all,fpr,0.0009069707178025395,-0.00019556810106942003,0.0023863616404653717,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,old_ac,excluding_S05,recall,0.003703703703703704,-0.006463883345476047,0.017341040462427744,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,old_ac,excluding_S05,fpr,0.0009296148738379814,-0.0002002002002002002,0.002454008239728314,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,ac_reference,all,recall,-0.0017730496453900709,-0.012779756992392734,0.011696763903894628,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,ac_reference,all,fpr,-0.0005182689816014512,-0.0016724027578153072,0.0008404951690900187,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,ac_reference,excluding_S05,recall,0.0,-0.011239956464675566,0.013513513513513514,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,ac_reference,excluding_S05,fpr,-0.0005312084993359894,-0.0017114339211801934,0.0008605599819154148,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,v82_frozen,all,recall,0.03368794326241135,0.01834520627012577,0.057253275443469885,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,v82_frozen,all,fpr,0.005765742420316144,0.0028568766508823397,0.008964008407940625,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,v82_frozen,excluding_S05,recall,0.03518518518518519,0.018894663229486616,0.059852048597514466,2000 task clusters stratified by suite
episode,0.01,joint_stop_or,v82_frozen,excluding_S05,fpr,0.005909694555112882,0.0029299843337875528,0.00919083980031159,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,old_ac,all,recall,0.012411347517730497,-0.00277797121634169,0.023649148408763792,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,old_ac,all,fpr,0.0018787250583052605,-0.0005779948552984481,0.005301900801503148,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,old_ac,excluding_S05,recall,0.009259259259259259,-0.005420792627544804,0.01990049751243781,2000 task clusters stratified by suite
episode,0.01,absolute_state_trap,old_ac,excluding_S05,fpr,0.0018592297476759628,-0.000662809173345501,0.005375368316385699,2000 task clusters stratified by suite
