fold,calibration,method,control_threshold,threshold,success_episodes,exposed_success_episodes,success_peaks_reduced
0,episode,absolute_acc,4.9935591054163515,4.454562604683664,3097,2861,1013
0,episode,absolute_both,4.9935591054163515,3.4065940488343096,3097,2861,1576
0,task_init,absolute_acc,7.527255919373784,5.52577591916366,3097,2861,1013
0,task_init,absolute_both,7.527255919373784,5.224670826379738,3097,2861,1576
1,episode,absolute_acc,4.738578114201074,4.329006224140256,3116,2920,986
1,episode,absolute_both,4.738578114201074,3.343067097976259,3116,2920,1616
1,task_init,absolute_acc,5.914151444005312,5.241206970762886,3116,2920,986
1,task_init,absolute_both,5.914151444005312,4.974144185513841,3116,2920,1616
2,episode,absolute_acc,5.551666759919312,5.109834007640273,3077,2839,954
2,episode,absolute_both,5.551666759919312,3.6841472448097217,3077,2839,1590
2,task_init,absolute_acc,8.442038517815478,7.189275549320109,3077,2839,954
2,task_init,absolute_both,8.442038517815478,5.733988316713267,3077,2839,1590
3,episode,absolute_acc,6.046297025733376,5.448460024977757,3096,2867,993
3,episode,absolute_both,6.046297025733376,4.0747444460647255,3096,2867,1570
3,task_init,absolute_acc,8.444192298531748,7.751045117971802,3096,2867,993
3,task_init,absolute_both,8.444192298531748,5.841502613087363,3096,2867,1570
4,episode,absolute_acc,4.730082221377059,4.180974411040052,3082,2847,959
4,episode,absolute_both,4.730082221377059,3.1579157037401906,3082,2847,1571
4,task_init,absolute_acc,6.092279030917889,5.553282530185203,3082,2847,959
4,task_init,absolute_both,6.092279030917889,5.093750200806762,3082,2847,1571
