corpus,from_state,to_state,count,probability
A,0,0,1409,0.8432076600837821
A,0,1,231,0.13824057450628366
A,0,2,31,0.01855176540993417
A,0,3,0,0.0
A,1,0,228,0.22265625
A,1,1,379,0.3701171875
A,1,2,404,0.39453125
A,1,3,13,0.0126953125
A,2,0,98,0.05734347571679345
A,2,1,259,0.1515506143943827
A,2,2,830,0.48566413107080164
A,2,3,522,0.30544177881802226
A,3,0,0,0.0
A,3,1,35,0.007385524372230428
A,3,2,399,0.08419497784342689
A,3,3,4305,0.9084194977843427
B,0,0,1338,0.7856723429242514
B,0,1,259,0.15208455666470932
B,0,2,105,0.06165590135055784
B,0,3,1,0.0005871990604815032
B,1,0,330,0.2991840435176791
B,1,1,240,0.21758839528558477
B,1,2,400,0.3626473254759746
B,1,3,133,0.12058023572076156
B,2,0,186,0.11355311355311355
B,2,1,329,0.20085470085470086
B,2,2,443,0.27045177045177043
B,2,3,680,0.41514041514041516
B,3,0,9,0.0010148849797023004
B,3,1,181,0.02041046459179071
B,3,2,595,0.06709517365809653
B,3,3,8083,0.9114794767704104
