corpus,horizon,t,auc_success,det_auc,npairs,auc_resid_w8,det_resid_w8,rho_w8,hit_prob_state0,hit_prob_state1,hit_prob_state2,hit_prob_state3
A,1,20,0.49607909989771565,0.5039209001022844,2933,0.5889873849301056,0.5889873849301056,0.6263844390473752,1.0,0.22265625,0.05734347571679345,0.0
A,1,25,0.6374019774974429,0.6374019774974429,2933,0.5574497101943403,0.5574497101943403,0.901563774023605,1.0,0.22265625,0.05734347571679345,0.0
A,1,30,0.7601431980906921,0.7601431980906921,2933,0.5519945448346403,0.5519945448346403,0.9455129282378703,1.0,0.22265625,0.05734347571679345,0.0
A,3,20,0.49607909989771565,0.5039209001022844,2933,0.5889873849301056,0.5889873849301056,0.6263844390473752,1.0,0.390946030631918,0.16674525397593776,0.018313753185314408
A,3,25,0.6374019774974429,0.6374019774974429,2933,0.5574497101943403,0.5574497101943403,0.901563774023605,1.0,0.390946030631918,0.16674525397593776,0.018313753185314408
A,3,30,0.7601431980906921,0.7601431980906921,2933,0.5519945448346403,0.5519945448346403,0.9455129282378703,1.0,0.390946030631918,0.16674525397593776,0.018313753185314408
A,5,20,0.49607909989771565,0.5039209001022844,2933,0.5889873849301056,0.5889873849301056,0.6263844390473752,1.0,0.463636279386493,0.2319438349091702,0.05079566516498204
A,5,25,0.6374019774974429,0.6374019774974429,2933,0.5574497101943403,0.5574497101943403,0.901563774023605,1.0,0.463636279386493,0.2319438349091702,0.05079566516498204
A,5,30,0.7601431980906921,0.7601431980906921,2933,0.5519945448346403,0.5519945448346403,0.9455129282378703,1.0,0.463636279386493,0.2319438349091702,0.05079566516498204
A,10,20,0.49607909989771565,0.5039209001022844,2933,0.5889873849301056,0.5889873849301056,0.6263844390473752,1.0,0.5444522323087808,0.3279538839450026,0.14440329760007917
A,10,25,0.6374019774974429,0.6374019774974429,2933,0.5574497101943403,0.5574497101943403,0.901563774023605,1.0,0.5444522323087808,0.3279538839450026,0.14440329760007917
A,10,30,0.7601431980906921,0.7601431980906921,2933,0.5519945448346403,0.5519945448346403,0.9455129282378703,1.0,0.5444522323087808,0.3279538839450026,0.14440329760007917
B,1,20,0.5236553784860558,0.5236553784860558,2008,0.48979083665338646,0.5102091633466135,0.31036862854325753,1.0,0.2991840435176791,0.11355311355311355,0.0010148849797023004
B,1,25,0.5271414342629482,0.5271414342629482,2008,0.488296812749004,0.5117031872509961,0.45981790261144373,1.0,0.2991840435176791,0.11355311355311355,0.0010148849797023004
B,1,30,0.7216135458167331,0.7216135458167331,2008,0.5851593625498008,0.5851593625498008,0.9513772567311962,1.0,0.2991840435176791,0.11355311355311355,0.0010148849797023004
B,3,20,0.5236553784860558,0.5236553784860558,2008,0.48979083665338646,0.5102091633466135,0.31036862854325753,1.0,0.4635856313880288,0.256902548336766,0.03731123815409976
B,3,25,0.5271414342629482,0.5271414342629482,2008,0.488296812749004,0.5117031872509961,0.45981790261144373,1.0,0.4635856313880288,0.256902548336766,0.03731123815409976
B,3,30,0.7216135458167331,0.7216135458167331,2008,0.5851593625498008,0.5851593625498008,0.9513772567311962,1.0,0.4635856313880288,0.256902548336766,0.03731123815409976
B,5,20,0.5236553784860558,0.5236553784860558,2008,0.48979083665338646,0.5102091633466135,0.31036862854325753,1.0,0.5206852624442116,0.3180190602067571,0.08699944954679908
B,5,25,0.5271414342629482,0.5271414342629482,2008,0.488296812749004,0.5117031872509961,0.45981790261144373,1.0,0.5206852624442116,0.3180190602067571,0.08699944954679908
B,5,30,0.7216135458167331,0.7216135458167331,2008,0.5851593625498008,0.5851593625498008,0.9513772567311962,1.0,0.5206852624442116,0.3180190602067571,0.08699944954679908
B,10,20,0.5236553784860558,0.5236553784860558,2008,0.48979083665338646,0.5102091633466135,0.31036862854325753,1.0,0.5915567490142657,0.41419285468634665,0.20830879575970335
B,10,25,0.5271414342629482,0.5271414342629482,2008,0.488296812749004,0.5117031872509961,0.45981790261144373,1.0,0.5915567490142657,0.41419285468634665,0.20830879575970335
B,10,30,0.7216135458167331,0.7216135458167331,2008,0.5851593625498008,0.5851593625498008,0.9513772567311962,1.0,0.5915567490142657,0.41419285468634665,0.20830879575970335
