corpus,metric,nominal_alpha,target_fa,achieved_fa,detection,median_alarm_t,bounds,n_known_onset_alarm,fraction_before_onset,median_delay,delay_p25,delay_p75
A,route_mobility_w8,0.08,0.137,0.1623931623931624,0.548936170212766,29.0,"{""0"": -0.03592722513712942, ""1"": -0.032112069427967065, ""2"": -0.032698522787541144, ""3"": -0.030407667625695464}",79.0,0.35443037974683544,8.0,-10.0,10.0
A,symbol_conditional_H,0.265,0.137,0.11965811965811966,0.5702127659574469,30.0,"{""0"": -1.4598151774798758, ""1"": -1.4502525189638191, ""2"": -1.4573581968445448, ""3"": -1.3599513589645076}",88.0,0.23863636363636365,9.0,4.75,10.0
A,compression_delta_w8,0.08,0.137,0.1623931623931624,0.5659574468085107,28.0,"{""0"": -0.49951171874999994, ""1"": -0.47773437499999993, ""2"": -0.48251953124999997, ""3"": -0.46777343749999994}",83.0,0.3855421686746988,8.0,-11.0,10.0
B,route_mobility_w8,0.045,0.051,0.04391891891891892,0.7175925925925926,32.0,"{""0"": -0.03438137518242001, ""3"": -0.034454387845471494, ""7"": -0.03438137518242001, ""10"": -0.03438137518242001, ""13"": -0.03454721462912857, ""16"": -0.03382354066707193, ""20"": -0.03382354066707193, ""23"": -0.03438137518242001, ""26"": -0.03382354066707193, ""29"": -0.03382354066707193, ""33"": -0.030905491905286905, ""36"": -0.030905491905286905, ""39"": -0.03469736711122095, ""42"": -0.03382354066707193, ""46"": -0.03382354066707193, ""49"": -0.03438137518242001}",,,,,
B,symbol_conditional_H,0.049999999999999996,0.051,0.05067567567567568,0.6944444444444444,32.0,"{""0"": -1.4499812336990923, ""3"": -1.4499812336990923, ""7"": -1.432430971865867, ""10"": -1.4499812336990923, ""13"": -1.4543464455396033, ""16"": -1.3804490366133255, ""20"": -1.3804490366133255, ""23"": -1.452989272586296, ""26"": -1.432430971865867, ""29"": -1.3804490366133255, ""33"": -1.3804490366133255, ""36"": -1.3804490366133255, ""39"": -1.4581397611887157, ""42"": -1.432430971865867, ""46"": -1.432430971865867, ""49"": -1.432430971865867}",,,,,
B,compression_delta_w8,0.045,0.051,0.05067567567567568,0.7129629629629629,32.0,"{""0"": -0.48749999999999993, ""3"": -0.48828124999999994, ""7"": -0.48749999999999993, ""10"": -0.48749999999999993, ""13"": -0.48955078124999996, ""16"": -0.48730468749999994, ""20"": -0.48730468749999994, ""23"": -0.48730468749999994, ""26"": -0.48730468749999994, ""29"": -0.48730468749999994, ""33"": -0.47128906249999997, ""36"": -0.47128906249999997, ""39"": -0.4911132812499999, ""42"": -0.48955078124999996, ""46"": -0.48730468749999994, ""49"": -0.48749999999999993}",,,,,
