corpus,bits_per_probability,bits_per_chunk,auc_success,det_auc,rho_full,score_mae,reconstruction_hellinger,npairs
A,1,1280,0.5015342652574156,0.5015342652574156,-0.026526963021437266,0.03745225816965103,0.0463035807070689,2933
A,2,2560,0.7664507330378452,0.7664507330378452,0.9503206503914717,0.2647840082645416,0.27386409647616144,2933
A,3,3840,0.6205250596658711,0.6205250596658711,0.5319426624400682,0.03336535394191742,0.0476485923694375,2933
A,4,5120,0.7681554722127515,0.7681554722127515,0.9563801008560213,0.05823737755417824,0.06985906649822203,2933
A,5,6400,0.8090692124105012,0.8090692124105012,0.9316742825949623,0.032029371708631516,0.039348452214277505,2933
A,6,7680,0.7947494033412887,0.7947494033412887,0.9969871959956944,0.007989238947629929,0.017955702763852662,2933
A,8,10240,0.8025912035458574,0.8025912035458574,0.9998272108753693,0.0005754922167398036,0.004432547092437744,2933
A,16,20480,0.7988407773610637,0.7988407773610637,0.9999999999999999,0.0,0.0,2933
B,1,1280,0.5,0.5,,0.03873369097709656,0.04262879240821772,2008
B,2,2560,0.7156374501992032,0.7156374501992032,0.9598949213787894,0.2598569393157959,0.2558456780313169,2008
B,3,3840,0.6426792828685259,0.6426792828685259,0.5621058985081516,0.03653867542743683,0.043391306765069186,2008
B,4,5120,0.7131474103585658,0.7131474103585658,0.9609012900401691,0.056402500718832016,0.0668776226206238,2008
B,5,6400,0.7465139442231076,0.7465139442231076,0.8949762748766894,0.035729728639125824,0.040338734834858815,2008
B,6,7680,0.7460159362549801,0.7460159362549801,0.996533052808963,0.007683143485337496,0.01794382210446317,2008
B,8,10240,0.7514940239043825,0.7514940239043825,0.9998093836188644,0.0005353091983124614,0.004432170757728299,2008
B,16,20480,0.750996015936255,0.750996015936255,1.0,0.0,0.0,2008
