corpus,metric,repeat,coordinates_per_cell,scalar_coordinates_per_chunk,bits_per_chunk,auc_success,det_auc,npairs
B,relative_l2,0,1,40,640,0.5308764940239044,0.5308764940239044,2008
B,relative_l2,0,2,80,1280,0.6020916334661355,0.6020916334661355,2008
B,relative_l2,0,4,160,2560,0.6987051792828686,0.6987051792828686,2008
B,relative_l2,0,8,320,5120,0.723605577689243,0.723605577689243,2008
B,relative_l2,0,16,640,10240,0.7325697211155379,0.7325697211155379,2008
B,relative_l2,0,32,1280,20480,0.7485059760956175,0.7485059760956175,2008
B,relative_l2,0,64,2560,40960,0.7400398406374502,0.7400398406374502,2008
B,relative_l2,0,128,5120,81920,0.7455179282868526,0.7455179282868526,2008
B,relative_l2,0,256,10240,163840,0.7425298804780877,0.7425298804780877,2008
B,relative_l2,0,512,20480,327680,0.7534860557768924,0.7534860557768924,2008
B,relative_l2,0,1024,40960,655360,0.75,0.75,2008
B,relative_l2,1,1,40,640,0.5194223107569721,0.5194223107569721,2008
B,relative_l2,1,2,80,1280,0.6917330677290837,0.6917330677290837,2008
B,relative_l2,1,4,160,2560,0.7066733067729084,0.7066733067729084,2008
B,relative_l2,1,8,320,5120,0.7260956175298805,0.7260956175298805,2008
B,relative_l2,1,16,640,10240,0.7191235059760956,0.7191235059760956,2008
B,relative_l2,1,32,1280,20480,0.7300796812749004,0.7300796812749004,2008
B,relative_l2,1,64,2560,40960,0.7385458167330677,0.7385458167330677,2008
B,relative_l2,1,128,5120,81920,0.7375498007968128,0.7375498007968128,2008
B,relative_l2,1,256,10240,163840,0.7415338645418327,0.7415338645418327,2008
B,relative_l2,1,512,20480,327680,0.74800796812749,0.74800796812749,2008
B,relative_l2,1,1024,40960,655360,0.75,0.75,2008
B,relative_l2,2,1,40,640,0.5936254980079682,0.5936254980079682,2008
B,relative_l2,2,2,80,1280,0.6648406374501992,0.6648406374501992,2008
B,relative_l2,2,4,160,2560,0.7514940239043825,0.7514940239043825,2008
B,relative_l2,2,8,320,5120,0.7539840637450199,0.7539840637450199,2008
B,relative_l2,2,16,640,10240,0.7544820717131474,0.7544820717131474,2008
B,relative_l2,2,32,1280,20480,0.7579681274900398,0.7579681274900398,2008
B,relative_l2,2,64,2560,40960,0.7659362549800797,0.7659362549800797,2008
B,relative_l2,2,128,5120,81920,0.7549800796812749,0.7549800796812749,2008
B,relative_l2,2,256,10240,163840,0.7529880478087649,0.7529880478087649,2008
B,relative_l2,2,512,20480,327680,0.75,0.75,2008
B,relative_l2,2,1024,40960,655360,0.75,0.75,2008
B,relative_l2,3,1,40,640,0.5,0.5,2008
B,relative_l2,3,2,80,1280,0.6274900398406374,0.6274900398406374,2008
B,relative_l2,3,4,160,2560,0.6812749003984063,0.6812749003984063,2008
B,relative_l2,3,8,320,5120,0.7211155378486056,0.7211155378486056,2008
B,relative_l2,3,16,640,10240,0.7360557768924303,0.7360557768924303,2008
B,relative_l2,3,32,1280,20480,0.7574701195219123,0.7574701195219123,2008
B,relative_l2,3,64,2560,40960,0.7430278884462151,0.7430278884462151,2008
B,relative_l2,3,128,5120,81920,0.75,0.75,2008
B,relative_l2,3,256,10240,163840,0.74800796812749,0.74800796812749,2008
B,relative_l2,3,512,20480,327680,0.74800796812749,0.74800796812749,2008
B,relative_l2,3,1024,40960,655360,0.75,0.75,2008
B,cosine_full,-1,1024,40960,655360,0.7355577689243028,0.7355577689243028,2008
