corpus,t,layer,auc_success,det_auc,npairs
A,29,12,0.7800886464370951,0.7800886464370951,2933
A,29,13,0.7630412546880327,0.7630412546880327,2933
A,29,14,0.7725877940675077,0.7725877940675077,2933
A,29,15,0.7681554722127515,0.7681554722127515,2933
A,30,12,0.7930446641663825,0.7930446641663825,2933
A,30,13,0.7923627684964201,0.7923627684964201,2933
A,30,14,0.7964541425161952,0.7964541425161952,2933
A,30,15,0.80054551653597,0.80054551653597,2933
A,31,12,0.8090692124105012,0.8090692124105012,2933
A,31,13,0.8063416297306514,0.8063416297306514,2933
A,31,14,0.8237299693146949,0.8237299693146949,2933
A,31,15,0.8141834299352199,0.8141834299352199,2933
A,32,12,0.7971360381861575,0.7971360381861575,2933
A,32,13,0.7838390726218889,0.7838390726218889,2933
A,32,14,0.8135015342652574,0.8135015342652574,2933
A,32,15,0.8121377429253325,0.8121377429253325,2933
A,33,12,0.7794117647058824,0.7794117647058824,2924
A,33,13,0.7609439124487004,0.7609439124487004,2924
A,33,14,0.813953488372093,0.813953488372093,2924
A,33,15,0.8098495212038304,0.8098495212038304,2924
A,34,12,0.7672142607479903,0.7672142607479903,2861
A,34,13,0.7483397413491786,0.7483397413491786,2861
A,34,14,0.8028661307235232,0.8028661307235232,2861
A,34,15,0.8063614120936735,0.8063614120936735,2861
B,8,12,0.48804780876494025,0.5119521912350598,2008
B,8,13,0.49701195219123506,0.5029880478087649,2008
B,8,14,0.46713147410358563,0.5328685258964143,2008
B,8,15,0.44621513944223107,0.5537848605577689,2008
B,9,12,0.45667330677290835,0.5433266932270917,2008
B,9,13,0.47908366533864544,0.5209163346613546,2008
B,9,14,0.4342629482071713,0.5657370517928286,2008
B,9,15,0.44322709163346613,0.5567729083665338,2008
B,10,12,0.45268924302788843,0.5473107569721116,2008
B,10,13,0.42828685258964144,0.5717131474103585,2008
B,10,14,0.4213147410358566,0.5786852589641434,2008
B,10,15,0.4855577689243028,0.5144422310756972,2008
B,11,12,0.47808764940239046,0.5219123505976095,2008
B,11,13,0.44721115537848605,0.5527888446215139,2008
B,11,14,0.426792828685259,0.5732071713147411,2008
B,11,15,0.5049800796812749,0.5049800796812749,2008
B,12,12,0.5189243027888446,0.5189243027888446,2008
B,12,13,0.5144422310756972,0.5144422310756972,2008
B,12,14,0.4850597609561753,0.5149402390438247,2008
B,12,15,0.5398406374501992,0.5398406374501992,2008
B,13,12,0.5737051792828686,0.5737051792828686,2008
B,13,13,0.5707171314741036,0.5707171314741036,2008
B,13,14,0.5826693227091634,0.5826693227091634,2008
B,13,15,0.6150398406374502,0.6150398406374502,2008
B,14,12,0.5891434262948207,0.5891434262948207,2008
B,14,13,0.6140438247011952,0.6140438247011952,2008
B,14,14,0.6210159362549801,0.6210159362549801,2008
B,14,15,0.7026892430278885,0.7026892430278885,2008
B,15,12,0.5597609561752988,0.5597609561752988,2008
B,15,13,0.5956175298804781,0.5956175298804781,2008
B,15,14,0.6030876494023905,0.6030876494023905,2008
B,15,15,0.673804780876494,0.673804780876494,2008
B,16,12,0.5368525896414342,0.5368525896414342,2008
B,16,13,0.5602589641434262,0.5602589641434262,2008
B,16,14,0.5742031872509961,0.5742031872509961,2008
B,16,15,0.648406374501992,0.648406374501992,2008
B,17,12,0.5502988047808764,0.5502988047808764,2008
B,17,13,0.5527888446215139,0.5527888446215139,2008
B,17,14,0.578187250996016,0.578187250996016,2008
B,17,15,0.6434262948207171,0.6434262948207171,2008
B,18,12,0.5796812749003984,0.5796812749003984,2008
B,18,13,0.5632470119521913,0.5632470119521913,2008
B,18,14,0.6135458167330677,0.6135458167330677,2008
B,18,15,0.6359561752988048,0.6359561752988048,2008
B,19,12,0.6090637450199203,0.6090637450199203,2008
B,19,13,0.6264940239043825,0.6264940239043825,2008
B,19,14,0.6419322709163346,0.6419322709163346,2008
B,19,15,0.6613545816733067,0.6613545816733067,2008
B,20,12,0.5677290836653387,0.5677290836653387,2008
B,20,13,0.5851593625498008,0.5851593625498008,2008
B,20,14,0.6172808764940239,0.6172808764940239,2008
B,20,15,0.6274900398406374,0.6274900398406374,2008
B,21,12,0.4905378486055777,0.5094621513944223,2008
B,21,13,0.5298804780876494,0.5298804780876494,2008
B,21,14,0.5249003984063745,0.5249003984063745,2008
B,21,15,0.5547808764940239,0.5547808764940239,2008
B,22,12,0.5169322709163346,0.5169322709163346,2008
B,22,13,0.4681274900398406,0.5318725099601593,2008
B,22,14,0.47310756972111556,0.5268924302788844,2008
B,22,15,0.5014940239043825,0.5014940239043825,2008
B,23,12,0.5089641434262948,0.5089641434262948,2008
B,23,13,0.4885458167330677,0.5114541832669324,2008
B,23,14,0.4815737051792829,0.5184262948207171,2008
B,23,15,0.5089641434262948,0.5089641434262948,2008
B,24,12,0.5159362549800797,0.5159362549800797,2008
B,24,13,0.5239043824701195,0.5239043824701195,2008
B,24,14,0.50199203187251,0.50199203187251,2008
B,24,15,0.5323705179282868,0.5323705179282868,2008
B,25,12,0.5,0.5,2008
B,25,13,0.5413346613545816,0.5413346613545816,2008
B,25,14,0.5119521912350598,0.5119521912350598,2008
B,25,15,0.5199203187250996,0.5199203187250996,2008
B,26,12,0.5268924302788844,0.5268924302788844,2008
B,26,13,0.5298804780876494,0.5298804780876494,2008
B,26,14,0.5303784860557769,0.5303784860557769,2008
B,26,15,0.525398406374502,0.525398406374502,2008
B,27,12,0.5473107569721115,0.5473107569721115,2008
B,27,13,0.5069721115537849,0.5069721115537849,2008
B,27,14,0.5114541832669323,0.5114541832669323,2008
B,27,15,0.5174302788844621,0.5174302788844621,2008
B,28,12,0.5786852589641435,0.5786852589641435,2008
B,28,13,0.5164342629482072,0.5164342629482072,2008
B,28,14,0.521414342629482,0.521414342629482,2008
B,28,15,0.5094621513944223,0.5094621513944223,2008
B,29,12,0.6992031872509961,0.6992031872509961,2008
B,29,13,0.6055776892430279,0.6055776892430279,2008
B,29,14,0.6100597609561753,0.6100597609561753,2008
B,29,15,0.6349601593625498,0.6349601593625498,2008
B,30,12,0.7609561752988048,0.7609561752988048,2008
B,30,13,0.7260956175298805,0.7260956175298805,2008
B,30,14,0.7440239043824701,0.7440239043824701,2008
B,30,15,0.7415338645418327,0.7415338645418327,2008
B,31,12,0.7878486055776892,0.7878486055776892,2008
B,31,13,0.75199203187251,0.75199203187251,2008
B,31,14,0.7694223107569721,0.7694223107569721,2008
B,31,15,0.7853585657370518,0.7853585657370518,2008
B,32,12,0.772410358565737,0.772410358565737,2008
B,32,13,0.7589641434262948,0.7589641434262948,2008
B,32,14,0.7624501992031872,0.7624501992031872,2008
B,32,15,0.7694223107569721,0.7694223107569721,2008
B,33,12,0.7564741035856574,0.7564741035856574,2008
B,33,13,0.7415338645418327,0.7415338645418327,2008
B,33,14,0.7280876494023905,0.7280876494023905,2008
B,33,15,0.7639442231075697,0.7639442231075697,2008
B,34,12,0.7211155378486056,0.7211155378486056,2008
B,34,13,0.7096613545816733,0.7096613545816733,2008
B,34,14,0.7056772908366534,0.7056772908366534,2008
B,34,15,0.7186254980079682,0.7186254980079682,2008
