corpus,t,layer,auc_success,det_auc,npairs
A,8,12,0.38868053187862256,0.6113194681213774,2933
A,8,13,0.41697920218206613,0.5830207978179338,2933
A,8,14,0.4435731333106035,0.5564268666893966,2933
A,8,15,0.4111830889873849,0.5888169110126151,2933
A,9,12,0.3825434708489601,0.6174565291510399,2933
A,9,13,0.42857142857142855,0.5714285714285714,2933
A,9,14,0.3897033753835663,0.6102966246164336,2933
A,9,15,0.40709171496760993,0.5929082850323901,2933
A,10,12,0.4432321854756222,0.5567678145243777,2933
A,10,13,0.45755199454483464,0.5424480054551654,2933
A,10,14,0.43709512444595977,0.5629048755540402,2933
A,10,15,0.4258438458915786,0.5741561541084215,2933
A,11,12,0.4459597681554722,0.5540402318445278,2933
A,11,13,0.4493692465052847,0.5506307534947152,2933
A,11,14,0.46164336856460964,0.5383566314353904,2933
A,11,15,0.4241391067166724,0.5758608932833276,2933
A,12,12,0.42686668939652234,0.5731333106034777,2933
A,12,13,0.4145925673371974,0.5854074326628026,2933
A,12,14,0.4302761677463348,0.5697238322536652,2933
A,12,15,0.3995908625980225,0.6004091374019775,2933
A,13,12,0.4081145584725537,0.5918854415274464,2933
A,13,13,0.3917490623934538,0.6082509376065461,2933
A,13,14,0.42277531537674734,0.5772246846232527,2933
A,13,15,0.38288441868394135,0.6171155813160587,2933
A,14,12,0.4074326628025912,0.5925673371974087,2933
A,14,13,0.4139106716672349,0.5860893283327651,2933
A,14,14,0.41629730651210367,0.5837026934878964,2933
A,14,15,0.37299693146948515,0.6270030685305148,2933
A,15,12,0.42686668939652234,0.5731333106034777,2933
A,15,13,0.437436072280941,0.562563927719059,2933
A,15,14,0.43982270712580973,0.5601772928741903,2933
A,15,15,0.3781111489942039,0.621888851005796,2933
A,16,12,0.4708489601091033,0.5291510398908967,2933
A,16,13,0.46130242072962835,0.5386975792703717,2933
A,16,14,0.4896010910330719,0.5103989089669281,2933
A,16,15,0.3992499147630413,0.6007500852369587,2933
A,17,12,0.48244118649846573,0.5175588135015343,2933
A,17,13,0.4459597681554722,0.5540402318445278,2933
A,17,14,0.4977838390726219,0.5022161609273781,2933
A,17,15,0.38629389703375383,0.6137061029662462,2933
A,18,12,0.3910671667234913,0.6089328332765087,2933
A,18,13,0.4265257415615411,0.5734742584384589,2933
A,18,14,0.48073644732355947,0.5192635526764405,2933
A,18,15,0.3610637572451415,0.6389362427548585,2933
A,19,12,0.35390385271053526,0.6460961472894647,2933
A,19,13,0.3951585407432663,0.6048414592567337,2933
A,19,14,0.485509717013297,0.5144902829867031,2933
A,19,15,0.33446982611660414,0.6655301738833959,2933
A,20,12,0.403000340947835,0.596999659052165,2933
A,20,13,0.44561882032049094,0.5543811796795091,2933
A,20,14,0.5277872485509717,0.5277872485509717,2933
A,20,15,0.39345380156836,0.60654619843164,2933
A,21,12,0.43845891578588475,0.5615410842141153,2933
A,21,13,0.5066484827821344,0.5066484827821344,2933
A,21,14,0.60109103307194,0.60109103307194,2933
A,21,15,0.42857142857142855,0.5714285714285714,2933
A,22,12,0.5475622229798841,0.5475622229798841,2933
A,22,13,0.557108762359359,0.557108762359359,2933
A,22,14,0.6518922604841461,0.6518922604841461,2933
A,22,15,0.4991476304125469,0.5008523695874532,2933
A,23,12,0.5622229798840778,0.5622229798840778,2933
A,23,13,0.5727923627684963,0.5727923627684963,2933
A,23,14,0.6668939652233209,0.6668939652233209,2933
A,23,15,0.5294919877258779,0.5294919877258779,2933
A,24,12,0.5533583361745653,0.5533583361745653,2933
A,24,13,0.5840436413228776,0.5840436413228776,2933
A,24,14,0.6600750085236958,0.6600750085236958,2933
A,24,15,0.5536992840095466,0.5536992840095466,2933
A,25,12,0.6092737811114899,0.6092737811114899,2933
A,25,13,0.6252983293556085,0.6252983293556085,2933
A,25,14,0.6689396522332083,0.6689396522332083,2933
A,25,15,0.6126832594613023,0.6126832594613023,2933
A,26,12,0.678145243777702,0.678145243777702,2933
A,26,13,0.6331401295601773,0.6331401295601773,2933
A,26,14,0.6801909307875895,0.6801909307875895,2933
A,26,15,0.6631435390385271,0.6631435390385271,2933
A,27,12,0.6989430617115582,0.6989430617115582,2933
A,27,13,0.6716672349130584,0.6716672349130584,2933
A,27,14,0.6907603136720082,0.6907603136720082,2933
A,27,15,0.6880327309921581,0.6880327309921581,2933
A,28,12,0.7344016365496079,0.7344016365496079,2933
A,28,13,0.726218888510058,0.726218888510058,2933
A,28,14,0.7282645755199455,0.7282645755199455,2933
A,28,15,0.7228094101602455,0.7228094101602455,2933
