corpus,layer_a,layer_b,lag,correlation,best_lag
A,12,13,-3,0.6118746919811444,0
A,12,13,-2,0.7480478922995653,0
A,12,13,-1,0.8682594932121026,0
A,12,13,0,0.9327051149642446,0
A,12,13,1,0.8930282292287081,0
A,12,13,2,0.7880676077345439,0
A,12,13,3,0.6524760735977468,0
A,12,14,-3,0.5753868565137464,0
A,12,14,-2,0.7242385102008138,0
A,12,14,-1,0.8546020757332686,0
A,12,14,0,0.9321945550822662,0
A,12,14,1,0.913632587245095,0
A,12,14,2,0.8248669019288265,0
A,12,14,3,0.6992454559232909,0
A,12,15,-3,0.5342928868164991,0
A,12,15,-2,0.6899886213010751,0
A,12,15,-1,0.8243181816956997,0
A,12,15,0,0.9044198703044185,0
A,12,15,1,0.8944831088851667,0
A,12,15,2,0.8210120630114766,0
A,12,15,3,0.7096049724277586,0
A,13,14,-3,0.6429204729380981,0
A,13,14,-2,0.7762770831925553,0
A,13,14,-1,0.8868589918029072,0
A,13,14,0,0.9470499998631351,0
A,13,14,1,0.9195869124539391,0
A,13,14,2,0.8323211271375975,0
A,13,14,3,0.7172816505348548,0
A,13,15,-3,0.6000580816942548,0
A,13,15,-2,0.7428923850927684,0
A,13,15,-1,0.8611226035597672,0
A,13,15,0,0.9275712990455353,0
A,13,15,1,0.9094323437694262,0
A,13,15,2,0.8370112370382404,0
A,13,15,3,0.7337114244651829,0
A,14,15,-3,0.6319576582066672,0
A,14,15,-2,0.7751939092777973,0
A,14,15,-1,0.8871115885794696,0
A,14,15,0,0.9397004689425318,0
A,14,15,1,0.9097639119087934,0
A,14,15,2,0.8245078116542639,0
A,14,15,3,0.7045686531554145,0
B,12,13,-3,0.534681132811737,0
B,12,13,-2,0.7016354695212926,0
B,12,13,-1,0.8499417285354192,0
B,12,13,0,0.9319732130449091,0
B,12,13,1,0.8936543504470192,0
B,12,13,2,0.77246753311763,0
B,12,13,3,0.6104574847830911,0
B,12,14,-3,0.44500538948515567,0
B,12,14,-2,0.6279842989941937,0
B,12,14,-1,0.7948632957175231,0
B,12,14,0,0.9023860134817816,0
B,12,14,1,0.8905207837877881,0
B,12,14,2,0.8017262772883895,0
B,12,14,3,0.6744427132763322,0
B,12,15,-3,0.48541410856282885,0
B,12,15,-2,0.6643215912241642,0
B,12,15,-1,0.8180353869797193,0
B,12,15,0,0.9146359898972182,0
B,12,15,1,0.896989177724653,0
B,12,15,2,0.8034443846362211,0
B,12,15,3,0.6702254727308062,0
B,13,14,-3,0.4854899638396398,0
B,13,14,-2,0.6708883636609714,0
B,13,14,-1,0.8286110557358488,0
B,13,14,0,0.9174687166047192,0
B,13,14,1,0.8843055428261692,0
B,13,14,2,0.7795592868585924,0
B,13,14,3,0.6461137180026097,0
B,13,15,-3,0.5283709135796175,0
B,13,15,-2,0.708994351487809,0
B,13,15,-1,0.8572748215344584,0
B,13,15,0,0.9366616359028577,0
B,13,15,1,0.8995479183975631,0
B,13,15,2,0.7925222177496045,0
B,13,15,3,0.6533918722330601,0
B,14,15,-3,0.6174132671057835,0
B,14,15,-2,0.7694915514237902,0
B,14,15,-1,0.887339263835974,0
B,14,15,0,0.9376378157083433,0
B,14,15,1,0.8742312490636316,0
B,14,15,2,0.7416938443018504,0
B,14,15,3,0.5754860385543635,0
