corpus,family,variant,n_cells,bits_per_chunk,auc_success,det_auc,npairs,auc_resid_w8,det_resid_w8,rho_w8
A,one_cell,L12_T1,1,192,0.7797476986021139,0.7797476986021139,2933,0.5550630753494715,0.5550630753494715,0.8941875719496113
A,one_cell,L12_T2,1,192,0.7674735765427889,0.7674735765427889,2933,0.5315376747357654,0.5315376747357654,0.9044996159018821
A,one_cell,L12_T3,1,192,0.7644050460279577,0.7644050460279577,2933,0.5482441186498466,0.5482441186498466,0.8784051563796604
A,one_cell,L12_T4,1,192,0.7865666553017389,0.7865666553017389,2933,0.5908625980225025,0.5908625980225025,0.8704491526729485
A,one_cell,L12_T5,1,192,0.764745993862939,0.764745993862939,2933,0.5577906580293215,0.5577906580293215,0.8777145501649749
A,one_cell,L12_T6,1,192,0.7521309239686328,0.7521309239686328,2933,0.5642686668939653,0.5642686668939653,0.8766062785184596
A,one_cell,L12_T7,1,192,0.7459938629389703,0.7459938629389703,2933,0.5366518922604842,0.5366518922604842,0.8740835022704709
A,one_cell,L12_T8,1,192,0.7480395499488578,0.7480395499488578,2933,0.5209682918513467,0.5209682918513467,0.8595194151143158
A,one_cell,L12_T9,1,192,0.7067848619161269,0.7067848619161269,2933,0.49471530855779067,0.5052846914422093,0.8463962461837813
A,one_cell,L12_T10,1,192,0.6713262870780771,0.6713262870780771,2933,0.504943743607228,0.504943743607228,0.7993252419598027
A,one_cell,L13_T1,1,192,0.8179338561200137,0.8179338561200137,2933,0.6188203204909649,0.6188203204909649,0.8964277774476073
A,one_cell,L13_T2,1,192,0.7572451414933515,0.7572451414933515,2933,0.5342652574156154,0.5342652574156154,0.871104265580186
A,one_cell,L13_T3,1,192,0.7582679849982953,0.7582679849982953,2933,0.5646096147289464,0.5646096147289464,0.8438861264640302
A,one_cell,L13_T4,1,192,0.7807705421070577,0.7807705421070577,2933,0.5697238322536652,0.5697238322536652,0.8363709001102768
A,one_cell,L13_T5,1,192,0.7534947153085578,0.7534947153085578,2933,0.5305148312308217,0.5305148312308217,0.8505643711026146
A,one_cell,L13_T6,1,192,0.7340606887146267,0.7340606887146267,2933,0.5216501875213092,0.5216501875213092,0.861384327035885
A,one_cell,L13_T7,1,192,0.7149676099556768,0.7149676099556768,2933,0.481418342993522,0.5185816570064781,0.8655367688653806
A,one_cell,L13_T8,1,192,0.7286055233549267,0.7286055233549267,2933,0.49028298670303444,0.5097170132969655,0.865608305764113
A,one_cell,L13_T9,1,192,0.6696215479031709,0.6696215479031709,2933,0.43266280259120354,0.5673371974087964,0.8429707293021739
A,one_cell,L13_T10,1,192,0.6505284691442209,0.6505284691442209,2933,0.45005114217524717,0.5499488578247529,0.7957368410626199
A,one_cell,L14_T1,1,192,0.768837367882714,0.768837367882714,2933,0.5448346403000341,0.5448346403000341,0.8833522080689219
A,one_cell,L14_T2,1,192,0.7773610637572451,0.7773610637572451,2933,0.559836345039209,0.559836345039209,0.9116098333520429
A,one_cell,L14_T3,1,192,0.7998636208660075,0.7998636208660075,2933,0.6177974769860212,0.6177974769860212,0.9114706115414328
A,one_cell,L14_T4,1,192,0.7749744289123764,0.7749744289123764,2933,0.5438117967950904,0.5438117967950904,0.9148383486202181
A,one_cell,L14_T5,1,192,0.7732696897374701,0.7732696897374701,2933,0.5291510398908967,0.5291510398908967,0.9076197252542859
A,one_cell,L14_T6,1,192,0.7879304466416638,0.7879304466416638,2933,0.5594953972042278,0.5594953972042278,0.9064105388716766
A,one_cell,L14_T7,1,192,0.7562222979884078,0.7562222979884078,2933,0.5448346403000341,0.5448346403000341,0.8893968008698886
A,one_cell,L14_T8,1,192,0.718036140470508,0.718036140470508,2933,0.4708489601091033,0.5291510398908967,0.8956947993775187
A,one_cell,L14_T9,1,192,0.7204227753153768,0.7204227753153768,2933,0.48073644732355947,0.5192635526764405,0.8837561164048413
A,one_cell,L14_T10,1,192,0.6853051483123082,0.6853051483123082,2933,0.4742584384589158,0.5257415615410842,0.8461640264048194
A,one_cell,L15_T1,1,192,0.7582679849982953,0.7582679849982953,2933,0.5008523695874532,0.5008523695874532,0.8687176845817072
A,one_cell,L15_T2,1,192,0.7811114899420388,0.7811114899420388,2933,0.5472212751449028,0.5472212751449028,0.8837803288936432
A,one_cell,L15_T3,1,192,0.7391749062393453,0.7391749062393453,2933,0.4452778724855097,0.5547221275144902,0.8565726451703787
A,one_cell,L15_T4,1,192,0.7742925332424139,0.7742925332424139,2933,0.5373337879304466,0.5373337879304466,0.874216120675044
A,one_cell,L15_T5,1,192,0.7627003068530515,0.7627003068530515,2933,0.5414251619502216,0.5414251619502216,0.8675194415279399
A,one_cell,L15_T6,1,192,0.7855438117967951,0.7855438117967951,2933,0.5731333106034777,0.5731333106034777,0.8744964902896912
A,one_cell,L15_T7,1,192,0.7361063757245141,0.7361063757245141,2933,0.5356290487555404,0.5356290487555404,0.8630327022678297
A,one_cell,L15_T8,1,192,0.7446300715990454,0.7446300715990454,2933,0.5206273440163655,0.5206273440163655,0.855251963963012
A,one_cell,L15_T9,1,192,0.7787248550971702,0.7787248550971702,2933,0.596999659052165,0.596999659052165,0.8696011652810519
