corpus,outcome,state,edge_lo,edge_hi,self_transition,expected_geometric_dwell,occupancy
A,all,0,-inf,0.036265780217945576,0.8432076600837821,6.377862595419845,0.19104791995787257
A,all,1,0.036265780217945576,0.0385427859146148,0.3701171875,1.5875968992248062,0.1110057925223802
A,all,2,0.0385427859146148,0.04165948531590402,0.48566413107080164,1.9442548350398179,0.18536071616640337
A,all,3,0.04165948531590402,inf,0.9084194977843427,10.919354838709681,0.5125855713533438
A,success,0,-inf,0.036265780217945576,0.6594594594594595,2.9365079365079367,0.06190476190476191
A,success,1,0.036265780217945576,0.0385427859146148,0.38412698412698415,1.6237113402061856,0.10126984126984127
A,success,2,0.0385427859146148,0.04165948531590402,0.43378119001919385,1.7661016949152544,0.17015873015873015
A,success,3,0.04165948531590402,inf,0.9348906560636183,15.358778625954205,0.6666666666666666
A,failure,0,-inf,0.036265780217945576,0.8660834454912517,7.467336683417087,0.25516154452324663
A,failure,1,0.036265780217945576,0.0385427859146148,0.3638928067700987,1.5720620842572062,0.11583924349881797
A,failure,2,0.0385427859146148,0.04165948531590402,0.5084175084175084,2.0342465753424657,0.19290780141843972
A,failure,3,0.04165948531590402,inf,0.8888888888888888,8.999999999999996,0.4360914105594957
B,all,0,-inf,0.03720269550103694,0.7856723429242514,4.665753424657535,0.13664641203703703
B,all,1,0.03720269550103694,0.03900967049412429,0.21758839528558477,1.2780996523754347,0.08015046296296297
B,all,2,0.03900967049412429,0.040940547769423574,0.27045177045177043,1.3707112970711295,0.11928530092592593
B,all,3,0.040940547769423574,inf,0.9114794767704104,11.296815286624197,0.6639178240740741
B,success,0,-inf,0.03720269550103694,0.6066350710900474,2.5421686746987953,0.05492992992992993
B,success,1,0.03720269550103694,0.03900967049412429,0.2920634920634921,1.4125560538116593,0.07920420420420421
B,success,2,0.03900967049412429,0.040940547769423574,0.3202247191011236,1.4710743801652892,0.13475975975975976
B,success,3,0.040940547769423574,inf,0.9151721664275466,11.78858350951374,0.7311061061061062
B,failure,0,-inf,0.03720269550103694,0.8446526151444185,6.437185929648243,0.24862825788751713
B,failure,1,0.03720269550103694,0.03900967049412429,0.11839323467230443,1.1342925659472423,0.08144718792866941
B,failure,2,0.03900967049412429,0.040940547769423574,0.17719298245614035,1.2153518123667377,0.09807956104252401
B,failure,3,0.040940547769423574,inf,0.905224787363305,10.551282051282056,0.5718449931412894
