corpus,metric,window,t,auc_success,det_auc,npairs,auc_resid_w8,det_resid_w8,rho_w8,auc_resid_matched,det_resid_matched,p_resid_point,p_resid_family,resid_family_null_q95
A,raw_ncl,8,20,0.4493692465052847,0.5506307534947152,2933,0.5315376747357654,0.5315376747357654,0.4089877344029509,0.5315376747357654,0.5315376747357654,0.5632183908045977,1.0,0.6447494033412887
A,raw_ncl,8,25,0.5833617456529151,0.5833617456529151,2933,0.397545175588135,0.602454824411865,0.8577410633317248,0.397545175588135,0.602454824411865,0.04697651174412794,0.36931534232883556,0.6447494033412887
A,raw_ncl,8,30,0.7586089328332765,0.7586089328332765,2933,0.41766109785202865,0.5823389021479713,0.9550757297509511,0.41766109785202865,0.5823389021479713,0.10744627686156921,0.671664167916042,0.6447494033412887
A,delta_ncl,8,20,0.42055915444936925,0.5794408455506308,2933,0.5093760654619843,0.5093760654619843,0.9446041564717201,0.5093760654619843,0.5093760654619843,0.872063968015992,1.0,0.6447494033412887
A,delta_ncl,8,25,0.612853733378793,0.612853733378793,2933,0.3348107739515854,0.6651892260484146,0.9852486126426119,0.3348107739515854,0.6651892260484146,0.0024987506246876563,0.013493253373313344,0.6447494033412887
A,delta_ncl,8,30,0.799181725196045,0.799181725196045,2933,0.5574497101943403,0.5574497101943403,0.995796835249921,0.5574497101943403,0.5574497101943403,0.2908545727136432,0.9500249875062469,0.6447494033412887
A,raw_ncl,20,20,0.39566996249573816,0.6043300375042618,2933,0.4602795772246846,0.5397204227753154,0.6156421833129334,0.4742584384589158,0.5257415615410842,0.632183908045977,1.0,0.6447494033412887
A,raw_ncl,20,25,0.4822707125809751,0.5177292874190249,2933,0.4507330378452097,0.5492669621547903,0.3539642106723757,0.4486873508353222,0.5513126491646778,0.312343828085957,0.9750124937531235,0.6447494033412887
A,raw_ncl,20,30,0.722127514490283,0.722127514490283,2933,0.513126491646778,0.513126491646778,0.6828471816735041,0.4677804295942721,0.532219570405728,0.5282358820589705,1.0,0.6447494033412887
A,delta_ncl,20,20,0.4244800545516536,0.5755199454483464,2933,0.47323559495397205,0.526764405046028,0.7761651262553023,0.5386975792703717,0.5386975792703717,0.45827086456771615,0.9985007496251874,0.6447494033412887
A,delta_ncl,20,25,0.48158881691101263,0.5184111830889874,2933,0.4763041254688033,0.5236958745311967,0.059711026113605896,0.42550289805659736,0.5744971019434026,0.14992503748125938,0.7811094452773614,0.6447494033412887
A,delta_ncl,20,30,0.7487214456188204,0.7487214456188204,2933,0.5850664848278213,0.5850664848278213,0.7064268851020172,0.46982611660415957,0.5301738833958405,0.5637181409295352,1.0,0.6447494033412887
B,raw_ncl,8,20,0.6170318725099602,0.6170318725099602,2008,0.5323705179282868,0.5323705179282868,0.7464607837938496,0.5323705179282868,0.5323705179282868,0.3743128435782109,0.993503248375812,0.603585657370518
B,raw_ncl,8,25,0.5316235059760956,0.5316235059760956,2008,0.5403386454183267,0.5403386454183267,0.7975300995340014,0.5403386454183267,0.5403386454183267,0.2813593203398301,0.9715142428785607,0.603585657370518
B,raw_ncl,8,30,0.7320717131474104,0.7320717131474104,2008,0.5278884462151394,0.5278884462151394,0.9650225648737533,0.5278884462151394,0.5278884462151394,0.4702648675662169,0.9975012493753124,0.603585657370518
B,delta_ncl,8,20,0.6394422310756972,0.6394422310756972,2008,0.5627490039840638,0.5627490039840638,0.9731618842991229,0.5627490039840638,0.5627490039840638,0.0944527736131934,0.6266866566716641,0.603585657370518
B,delta_ncl,8,25,0.5201693227091634,0.5201693227091634,2008,0.5094621513944223,0.5094621513944223,0.9656838424130998,0.5094621513944223,0.5094621513944223,0.8040979510244878,1.0,0.603585657370518
B,delta_ncl,8,30,0.7325697211155379,0.7325697211155379,2008,0.49302788844621515,0.5069721115537849,0.9959427643718742,0.49302788844621515,0.5069721115537849,0.8395802098950524,1.0,0.603585657370518
B,raw_ncl,20,20,0.6140438247011952,0.6140438247011952,2008,0.5443227091633466,0.5443227091633466,0.24676253278548652,0.48356573705179284,0.5164342629482072,0.6601699150424788,1.0,0.603585657370518
B,raw_ncl,20,25,0.5246513944223108,0.5246513944223108,2008,0.5034860557768924,0.5034860557768924,0.5593560269476867,0.4860557768924303,0.5139442231075697,0.7211394302848576,1.0,0.603585657370518
B,raw_ncl,20,30,0.7385458167330677,0.7385458167330677,2008,0.5627490039840638,0.5627490039840638,0.8623174473308368,0.5119521912350598,0.5119521912350598,0.7586206896551724,1.0,0.603585657370518
B,delta_ncl,20,20,0.6481573705179283,0.6481573705179283,2008,0.5801792828685259,0.5801792828685259,0.5226585294710109,0.5184262948207171,0.5184262948207171,0.6136931534232883,1.0,0.603585657370518
B,delta_ncl,20,25,0.5453187250996016,0.5453187250996016,2008,0.5607569721115537,0.5607569721115537,0.5595829594234217,0.48904382470119523,0.5109561752988048,0.7711144427786107,1.0,0.603585657370518
B,delta_ncl,20,30,0.7661852589641435,0.7661852589641435,2008,0.599601593625498,0.599601593625498,0.815550815315344,0.5034860557768924,0.5034860557768924,0.9345327336331835,1.0,0.603585657370518
