cohort,quantity,layer,0,9,relative_change
development_main,state_action_alignment,L12,0.9831319451332092,0.9814566373825072,-0.0017040517897880525
development_main,state_action_alignment,L13,0.9839903712272644,0.9823817014694214,-0.001634842987169316
development_main,state_action_alignment,L14,0.986337423324585,0.984448492527008,-0.001915095942735423
development_main,state_action_alignment,L15,0.9874815940856934,0.9856916666030884,-0.0018126185777288528
development_main,state_action_alignment,L2,0.8849591612815857,0.8852747678756714,0.000356634077473883
development_main,state_action_alignment,L3,0.8959587812423706,0.8957437872886658,-0.00023995964792788982
development_main,state_action_alignment,L4,0.8934748768806458,0.8903083205223083,-0.003544091099005109
development_main,state_action_alignment,L5,0.8720748424530029,0.8692309260368347,-0.0032610921422394634
development_main,token_differentiation,L12,0.0018419753760099,0.004674598108977,1.5378179154072882
development_main,token_differentiation,L13,0.0020252915564924,0.0051901107653975,1.5626486955716374
development_main,token_differentiation,L14,0.0017880040686577,0.0049245245754718,1.7542021082584927
development_main,token_differentiation,L15,0.0022109602577984,0.0055493032559752,1.509906379547957
development_main,token_differentiation,L2,0.004015686456114,0.0032653738744556,-0.18684540983423314
development_main,token_differentiation,L3,0.0033461574930697,0.003739126259461,0.11743881368560394
development_main,token_differentiation,L4,0.0029120855033397,0.0042315460741519,0.45309815570284195
development_main,token_differentiation,L5,0.0039799893274903,0.0063056191429495,0.5843306662647998
external_8b,state_action_alignment,L12,0.9836993217468262,0.9820602536201476,-0.0016662287860156333
external_8b,state_action_alignment,L13,0.9844968914985656,0.982898771762848,-0.0016232857102117526
external_8b,state_action_alignment,L14,0.9867500066757202,0.9849116802215576,-0.0018630113420072814
external_8b,state_action_alignment,L15,0.9876891374588012,0.9859233498573304,-0.0017877969236493874
external_8b,state_action_alignment,L2,0.8904274106025696,0.8907083868980408,0.0003155521630686664
external_8b,state_action_alignment,L3,0.8997000455856323,0.899276077747345,-0.00047123242948310384
external_8b,state_action_alignment,L4,0.8935356736183167,0.8905729055404663,-0.003315780405109936
external_8b,state_action_alignment,L5,0.8774387836456299,0.8745333552360535,-0.003311260527492088
external_8b,token_differentiation,L12,0.0017982458230108,0.0045703928917646,1.5415840444508295
external_8b,token_differentiation,L13,0.0019919252954423,0.0050859674811363,1.5532922809773244
external_8b,token_differentiation,L14,0.0017359988996759,0.0048280423507094,1.7811321491106735
external_8b,token_differentiation,L15,0.0021912022493779,0.0054622273892164,1.4927992798324161
external_8b,token_differentiation,L2,0.0039185243658721,0.0032419913914054,-0.17264993433724174
external_8b,token_differentiation,L3,0.0033497510012239,0.0037762683350592,0.12732807115497935
external_8b,token_differentiation,L4,0.0029250402003526,0.0042766113765537,0.4620692652491323
external_8b,token_differentiation,L5,0.0040169334970414,0.0064168507233262,0.5974500767942552
