event,axis,direction_from_main,main_locked_auc,grid_locked_auc,stable_advantage
loop,route_acceleration,1,0.62784588441331,0.6783468104222821,0.12784588441331002
loop,flow_transition_4,1,0.6234676007005254,0.655884995507637,0.12346760070052543
loop,flow_transition_5,1,0.6225919439579685,0.6612758310871518,0.12259194395796846
loop,flow_total,1,0.6190893169877408,0.6801437556154537,0.11908931698774083
loop,flow_transition_3,1,0.6120840630472855,0.6415094339622641,0.11208406304728546
loop,layer_L15_top1_mass,1,0.6366024518388792,0.6091644204851752,0.10916442048517516
loop,flow_transition_1,1,0.6059544658493871,0.6046720575022462,0.10467205750224617
loop,flow_transition_6,1,0.6007005253940455,0.655884995507637,0.1007005253940455
loop,layer_L15_top4_mass,1,0.6352889667250438,0.5943396226415094,0.09433962264150941
loop,flow_transition_2,1,0.5928196147110333,0.6289308176100629,0.09281961471103328
loop,layer_L15_effective_rank,1,0.5880035026269702,0.6060197663971248,0.08800350262697021
loop,layer_L12_commitment,1,0.5849387040280211,0.5943396226415094,0.08493870402802106
loop,flow_transition_0,1,0.6077057793345009,0.5795148247978437,0.07951482479784366
loop,layer_L12_top4_mass,1,0.5652364273204904,0.6181491464510332,0.0652364273204904
loop,layer_L15_token_consensus,-1,0.5621716287215411,0.5804132973944295,0.06217162872154114
loop,graph_effective_rank_mean,1,0.5612959719789843,0.5911949685534591,0.06129597197898429
loop,layer_L14_commitment,1,0.5626094570928196,0.5610961365678346,0.061096136567834636
loop,layer_L13_commitment,1,0.5608581436077058,0.582659478885894,0.060858143607705806
loop,layer_L14_token_consensus,-1,0.5774956217162872,0.5601976639712489,0.06019766397124893
loop,late_flow_volatility,1,0.5595446584938704,0.6828391734052112,0.05954465849387036
loop,layer_L12_entropy_normalized,-1,0.5595446584938704,0.6024258760107817,0.05954465849387036
loop,layer_L14_token_dispersion,1,0.5700525394045534,0.554806828391734,0.05480682839173401
loop,graph_token_dispersion_layer_std,1,0.5788091068301225,0.5543575920934412,0.054357592093441154
loop,graph_effective_rank_layer_std,1,0.5586690017513135,0.5534591194968553,0.053459119496855334
loop,layer_L14_effective_rank,1,0.591506129597198,0.5525606469002695,0.052560646900269514
loop,layer_L15_stable_rank,1,0.5521015761821366,0.5943396226415094,0.05210157618213662
loop,layer_L12_top1_mass,1,0.5499124343257443,0.6433063791554358,0.049912434325744326
loop,layer_L14_token_expert_mi,1,0.5494746059544658,0.5588499550763701,0.049474605954465845
loop,layer_L15_commitment,1,0.5464098073555166,0.5759209344115005,0.046409807355516586
loop,flow_transition_7,1,0.5464098073555166,0.6469002695417789,0.046409807355516586
loop,layer_L15_top12_margin,1,0.5459719789842382,0.5920934411500449,0.045971978984238215
loop,graph_stable_rank_layer_std,1,0.5858143607705779,0.5453728661275831,0.04537286612758307
loop,graph_token_expert_mi_layer_std,1,0.5796847635726795,0.5453728661275831,0.04537286612758307
loop,gate_entropy,-1,0.5446584938704029,0.6154537286612758,0.04465849387040288
loop,long_lag_return_advantage,1,0.5437828371278459,0.5750224618149147,0.04378283712784592
loop,layer_L15_token_expert_mi,1,0.5437828371278459,0.5916442048517521,0.04378283712784592
loop,graph_commitment_mean,1,0.542907180385289,0.6163522012578616,0.04290718038528896
loop,graph_entropy_normalized_mean,-1,0.542907180385289,0.6163522012578616,0.04290718038528896
loop,token_consensus,-1,0.5411558669001751,0.5651392632524708,0.04115586690017514
loop,graph_token_consensus_mean,-1,0.5411558669001751,0.5660377358490566,0.04115586690017514
loop,layer_L12_effective_rank,1,0.5407180385288967,0.6024258760107817,0.04071803852889666
loop,layer_L13_top4_mass,1,0.5398423817863398,0.5521114106019767,0.03984238178633981
loop,layer_L15_token_dispersion,1,0.5398423817863398,0.5947888589398024,0.03984238178633981
loop,layer_L13_effective_rank,1,0.537215411558669,0.5660377358490566,0.03721541155866903
loop,layer_L14_entropy_normalized,-1,0.5319614711033275,0.550314465408805,0.03196147110332748
loop,graph_token_consensus_layer_std,1,0.6094570928196147,0.531895777178796,0.03189577717879599
loop,token_dispersion,1,0.531523642732049,0.5660377358490566,0.031523642732048995
loop,graph_top1_mass_mean,1,0.531523642732049,0.6406109613656783,0.031523642732048995
loop,layer_L14_stable_rank,1,0.531523642732049,0.5561545372866128,0.031523642732048995
loop,layer_L13_top1_mass,1,0.5310858143607706,0.5575022461814915,0.031085814360770625
loop,layer_L12_occupancy_concentration,1,0.5468476357267951,0.5305480682839173,0.030548068283917318
loop,layer_disagreement,1,0.5297723292469352,0.610062893081761,0.02977232924693518
loop,graph_token_dispersion_mean,1,0.5297723292469352,0.5633423180592992,0.02977232924693518
loop,best_lag2_4_distance,1,0.5288966725043783,0.5813117699910153,0.02889667250437833
loop,layer_L12_top12_margin,1,0.5288966725043783,0.623989218328841,0.02889667250437833
loop,recurrence_lag_6,1,0.5264663805436338,0.652230971128609,0.026466380543633816
loop,graph_top4_mass_mean,1,0.5262697022767076,0.6109613656783468,0.02626970227670755
loop,recurrence_lag_5,1,0.5236842105263158,0.5374878286270691,0.023684210526315752
