worker,init_state_id,snapshot,candidate,episode_id,recorded_success,replayed_success,on__moka_pot_1__flat_stove_1_cook_region,on__moka_pot_2__flat_stove_1_cook_region,turnon__flat_stove_1
1,20,1,11,200000111,False,False,False,False,True
1,20,1,12,200000112,False,False,False,False,True
1,20,1,13,200000113,False,False,False,False,True
1,20,1,14,200000114,False,False,False,False,True
1,20,1,15,200000115,False,False,False,False,True
1,20,2,0,200000200,False,False,False,False,True
1,20,2,1,200000201,False,False,False,False,True
1,20,2,2,200000202,False,False,False,False,True
1,20,2,3,200000203,False,False,False,False,True
1,20,2,4,200000204,False,False,False,False,True
1,20,2,5,200000205,False,False,False,False,True
1,20,2,6,200000206,False,False,False,False,True
1,20,2,7,200000207,False,False,False,False,True
1,20,2,8,200000208,False,False,False,False,True
1,20,2,9,200000209,False,False,False,False,True
1,20,2,10,200000210,False,False,False,False,True
1,20,2,11,200000211,False,False,False,False,True
1,20,2,12,200000212,False,False,False,False,True
1,20,2,13,200000213,False,False,False,False,True
1,20,2,14,200000214,False,False,False,False,True
1,20,2,15,200000215,False,False,False,False,True
1,20,3,0,200000300,False,False,False,False,True
1,20,3,1,200000301,False,False,False,False,True
1,20,3,2,200000302,False,False,False,False,True
1,20,3,3,200000303,False,False,False,False,True
1,20,3,4,200000304,False,False,False,False,True
1,20,3,5,200000305,False,False,False,False,True
1,20,3,6,200000306,False,False,False,False,True
1,20,3,7,200000307,False,False,False,False,True
1,20,3,8,200000308,False,False,False,False,True
1,20,3,9,200000309,False,False,False,False,True
1,20,3,10,200000310,False,False,False,False,True
1,20,3,11,200000311,False,False,False,False,True
1,20,3,12,200000312,False,False,False,False,True
1,20,3,13,200000313,False,False,False,False,True
1,20,3,14,200000314,False,False,False,False,True
1,20,3,15,200000315,False,False,False,False,True
1,20,4,0,200000400,False,False,False,False,True
1,20,4,1,200000401,False,False,False,False,True
1,20,4,2,200000402,False,False,False,False,True
1,20,4,3,200000403,False,False,False,False,True
1,20,4,4,200000404,False,False,False,False,True
1,20,4,5,200000405,False,False,False,False,True
1,20,4,6,200000406,False,False,False,False,True
1,20,4,7,200000407,False,False,False,False,True
1,20,4,8,200000408,False,False,False,False,True
1,20,4,9,200000409,False,False,False,False,True
1,20,4,10,200000410,False,False,False,False,True
