episode_id,init_state_id,seed,success,n_q,stag,loop,q_late_static_window_fraction,q_terminal_static_window_steps,loop_return_count,loop_return_fraction,cls,cls_strict,cls_strict_is_stag
0,0,7,False,52,False,False,0.28,0.0,0.0,0.0,other,other,False
1,0,7,False,52,True,False,0.84,229.0,0.0,0.0,stagnation,stagnation,True
3,0,7,False,52,True,False,0.64,0.0,0.0,0.0,stagnation,other,False
5,0,7,False,52,True,False,0.6,0.0,0.0,0.0,stagnation,other,False
7,0,7,False,52,True,False,0.84,229.0,0.0,0.0,stagnation,stagnation,True
9,0,7,False,52,False,True,0.16,0.0,3.0,0.0576923076923076,loop,loop,False
11,0,7,False,52,True,False,0.76,0.0,0.0,0.0,stagnation,other,False
13,0,7,False,52,True,False,0.84,229.0,0.0,0.0,stagnation,stagnation,True
14,0,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
16,0,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
17,0,7,False,52,False,False,0.2,0.0,1.0,0.0192307692307692,other,other,False
18,0,7,False,52,False,False,0.32,0.0,0.0,0.0,other,other,False
23,0,7,False,52,False,False,0.28,0.0,0.0,0.0,other,other,False
24,0,7,False,52,False,False,0.16,0.0,0.0,0.0,other,other,False
27,0,7,False,52,True,False,0.84,229.0,0.0,0.0,stagnation,stagnation,True
28,0,7,False,52,False,True,0.04,0.0,6.0,0.0961538461538461,loop,loop,False
30,0,7,False,52,False,False,0.24,0.0,1.0,0.0192307692307692,other,other,False
31,0,7,False,52,True,False,0.68,0.0,0.0,0.0,stagnation,other,False
32,3,7,False,52,True,False,0.72,0.0,0.0,0.0,stagnation,other,False
33,3,7,False,52,True,False,0.68,0.0,0.0,0.0,stagnation,other,False
34,3,7,False,52,False,False,0.32,0.0,0.0,0.0,other,other,False
35,3,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
36,3,7,False,52,False,False,0.32,79.0,0.0,0.0,other,other,False
37,3,7,False,52,True,False,0.8,219.0,0.0,0.0,stagnation,stagnation,True
38,3,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
40,3,7,False,52,False,True,0.36,69.0,7.0,0.1346153846153846,loop,loop,False
41,3,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
42,3,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
44,3,7,False,52,False,True,0.0,0.0,7.0,0.0576923076923076,loop,loop,False
45,3,7,False,52,True,False,0.76,209.0,0.0,0.0,stagnation,stagnation,True
46,3,7,False,52,True,True,0.32,99.0,10.0,0.1923076923076923,stagnation,loop,False
48,3,7,False,52,False,True,0.0,0.0,9.0,0.0769230769230769,loop,loop,False
