episode_id,worker,success,n_q,rederived_stag_dense,rederived_stag_query,rederived_loop,ref_stag,ref_loop,d_late_static_window_fraction,d_terminal_static_window_steps,q_late_static_window_fraction,q_terminal_static_window_steps,loop_return_count,loop_return_fraction
100000000,0,False,52,True,True,True,True,True,0.6653386454183267,75.0,0.72,69.0,122.0,0.4807692307692308
100000001,0,False,52,False,False,True,False,True,0.09163346613545817,32.0,0.08,29.0,50.0,0.3269230769230769
100000002,0,False,52,False,False,True,False,True,0.1553784860557769,0.0,0.24,0.0,54.0,0.3076923076923077
100000003,0,True,40,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000004,0,True,45,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000005,0,False,52,False,False,False,False,False,0.00398406374501992,0.0,0.04,0.0,0.0,0.0
100000006,0,False,52,False,False,False,False,False,0.0,0.0,0.08,0.0,0.0,0.0
100000007,0,True,40,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000008,0,True,43,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000009,0,False,52,False,False,False,False,False,0.01195219123505976,0.0,0.04,0.0,0.0,0.0
100000010,0,True,46,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.021739130434782608
100000011,0,False,52,True,True,False,True,False,0.6972111553784861,0.0,0.8,29.0,0.0,0.0
100000012,0,True,45,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000013,0,True,42,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000014,0,False,52,False,True,False,False,False,0.1553784860557769,58.0,0.84,229.0,0.0,0.0
100000015,0,False,52,False,False,True,False,True,0.17928286852589642,0.0,0.28,0.0,46.0,0.4230769230769231
100000100,0,True,41,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000101,0,True,45,False,False,False,False,False,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
100000102,0,False,51,True,True,True,True,True,0.8130081300813008,219.0,0.76,209.0,114.0,0.49019607843137253
100000103,0,False,51,False,False,True,False,True,0.3902439024390244,0.0,0.36,0.0,30.0,0.29411764705882354
100000104,0,False,51,True,True,True,True,True,0.7764227642276422,210.0,0.76,209.0,116.0,0.5294117647058824
100000105,0,False,51,False,False,True,False,True,0.11788617886178862,0.0,0.28,59.0,60.0,0.29411764705882354
100000106,0,False,51,True,True,True,True,True,0.7398373983739838,41.0,0.76,209.0,4.0,0.058823529411764705
100000107,0,True,43,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000108,0,False,51,False,False,True,False,True,0.02032520325203252,0.0,0.24,0.0,12.0,0.17647058823529413
100000109,0,False,51,False,False,True,False,True,0.032520325203252036,0.0,0.08,0.0,77.0,0.5294117647058824
100000110,0,False,51,False,False,True,False,True,0.07317073170731707,0.0,0.08,0.0,45.0,0.29411764705882354
100000111,0,False,51,False,False,True,False,True,0.0,0.0,0.0,0.0,2.0,0.0392156862745098
100000112,0,True,41,False,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.024390243902439025
100000113,0,False,51,False,False,True,False,True,0.2682926829268293,72.0,0.28,69.0,63.0,0.39215686274509803
100000114,0,False,51,False,False,True,False,True,0.0,0.0,0.04,0.0,56.0,0.35294117647058826
100000115,0,False,51,False,False,True,False,True,0.0040650406504065045,0.0,0.0,0.0,3.0,0.058823529411764705
100000200,0,False,50,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000201,0,False,50,False,False,True,False,True,0.14107883817427386,0.0,0.16666666666666666,0.0,93.0,0.58
100000202,0,False,50,False,False,True,False,True,0.0,0.0,0.0,0.0,3.0,0.04
100000203,0,True,39,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000204,0,True,42,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
100000205,0,False,50,False,False,True,False,True,0.07883817427385892,0.0,0.125,0.0,13.0,0.14
100000206,0,False,50,False,False,True,False,True,0.16182572614107885,0.0,0.375,0.0,10.0,0.16
