calibration,score_kind,method,window,scope,metric,estimate,lo,hi,tasks
episode,calibrated_rank,ac_recalibrated,q8_13,all,auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36
episode,calibrated_rank,ac_recalibrated,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36
episode,calibrated_rank,ac_recalibrated,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
episode,calibrated_rank,ac_recalibrated,q8_13,all,delta_control,0.0,0.0,0.0,36
episode,calibrated_rank,ac_recalibrated,q8_13,all,delta_old_ac,0.01246364611757177,-0.0011114583442766307,0.029689146276223502,36
episode,calibrated_rank,ac_recalibrated,q8_13,all,v82_auc,0.6005870163937236,0.5366894424771794,0.6630902974216561,36
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,old_ac_auc,0.7260278389777505,0.6701518260740877,0.7762584806259423,35
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,delta_old_ac,0.012937784753936664,-0.0011212946797156946,0.031260815222299516,35
episode,calibrated_rank,ac_recalibrated,q8_13,excluding_S05,v82_auc,0.6030523957883063,0.5372126627324312,0.6691160178640925,35
episode,calibrated_rank,lagged_agreement,q8_13,all,auc,0.6751532843264395,0.6372989132223822,0.7125042403309876,36
episode,calibrated_rank,lagged_agreement,q8_13,all,control_auc,0.7372164133250536,0.6876734682311065,0.7850288510451893,36
episode,calibrated_rank,lagged_agreement,q8_13,all,old_ac_auc,0.7247527672074818,0.6699427968056315,0.7747215621779153,36
episode,calibrated_rank,lagged_agreement,q8_13,all,delta_control,-0.06206312899861402,-0.12376461408781801,-0.000543811782973558,36
episode,calibrated_rank,lagged_agreement,q8_13,all,delta_old_ac,-0.04959948288104224,-0.11259437497547116,0.017445901976688077,36
episode,calibrated_rank,lagged_agreement,q8_13,all,v82_auc,0.6005870163937236,0.5366894424771794,0.6630902974216561,36
episode,calibrated_rank,lagged_agreement,q8_13,excluding_S05,auc,0.6722108077531045,0.6344491727456971,0.7105318569865939,35
episode,calibrated_rank,lagged_agreement,q8_13,excluding_S05,control_auc,0.7389656237316872,0.6877234491514356,0.7874440909467666,35
