calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,median_failure_q,median_failure_cap_percent,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,old_ac,all,480,127,564,15436,0.851063829787234,0.008227520082923037,24.0,65.38461538461539,78,91,161,106,0.807546016301376,0.9112833262801523,0.005238565048451758,0.011228881319767806
episode,0.005,old_ac,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,70.0,21,8,37,10,,,,
episode,0.005,old_ac,libero_long,241,102,274,3726,0.8795620437956204,0.027375201288244767,32.0,61.53846153846154,52,78,114,89,,,,
episode,0.005,old_ac,libero_object,30,11,44,3956,0.6818181818181818,0.002780586450960566,19.5,69.64285714285714,1,4,4,6,,,,
episode,0.005,old_ac,libero_spatial,122,4,140,3860,0.8714285714285714,0.0010362694300518134,18.5,84.0909090909091,4,1,6,1,,,,
episode,0.005,old_ac,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,old_ac,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,83.33333333333333,0,1,3,1,,,,
episode,0.005,old_ac,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,53.333333333333336,0,2,1,4,,,,
episode,0.005,old_ac,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,53.333333333333336,2,0,6,0,,,,
episode,0.005,old_ac,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,60.0,0,0,7,0,,,,
episode,0.005,old_ac,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,46.666666666666664,15,0,16,0,,,,
episode,0.005,old_ac,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,66.66666666666667,3,5,3,5,,,,
episode,0.005,old_ac,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,73.33333333333333,0,0,0,0,,,,
episode,0.005,old_ac,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,50.0,1,0,1,0,,,,
episode,0.005,old_ac,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,old_ac,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,35.5,68.26923076923077,1,0,1,0,,,,
episode,0.005,old_ac,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,10,1,399,1.0,0.02506265664160401,29.0,55.76923076923077,0,10,1,10,,,,
episode,0.005,old_ac,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,16,1,399,1.0,0.040100250626566414,41.0,78.84615384615384,0,15,0,15,,,,
episode,0.005,old_ac,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,123,15,151,249,0.8145695364238411,0.060240963855421686,33.0,63.46153846153846,0,0,22,5,,,,
episode,0.005,old_ac,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,7,30,370,1.0,0.01891891891891892,14.0,26.923076923076923,23,7,25,7,,,,
episode,0.005,old_ac,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,19.23076923076923,8,1,8,2,,,,
episode,0.005,old_ac,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,7,4,396,1.0,0.017676767676767676,27.5,52.88461538461539,2,5,3,7,,,,
episode,0.005,old_ac,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,57.69230769230769,3,4,15,4,,,,
episode,0.005,old_ac,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,18,47,353,1.0,0.05099150141643059,31.0,59.61538461538461,10,14,33,17,,,,
episode,0.005,old_ac,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,22,6,394,1.0,0.05583756345177665,24.5,47.11538461538461,5,22,6,22,,,,
episode,0.005,old_ac,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,3,3,397,0.6666666666666666,0.007556675062972292,21.5,76.78571428571428,0,0,0,2,,,,
episode,0.005,old_ac,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,71.42857142857143,0,0,1,0,,,,
episode,0.005,old_ac,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,,0,2,0,2,,,,
episode,0.005,old_ac,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,,0,1,0,1,,,,
episode,0.005,old_ac,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,2,7,393,0.7142857142857143,0.005089058524173028,24.0,85.71428571428571,0,1,0,1,,,,
episode,0.005,old_ac,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,75.0,0,0,0,0,,,,
episode,0.005,old_ac,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,19.0,67.85714285714286,0,0,0,0,,,,
episode,0.005,old_ac,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,2,5,395,0.2,0.005063291139240506,15.0,53.57142857142857,0,0,1,0,,,,
episode,0.005,old_ac,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,78.57142857142857,0,0,1,0,,,,
episode,0.005,old_ac,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,60.714285714285715,1,0,1,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,11,0,14,386,0.7857142857142857,0.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,18,2,24,376,0.75,0.005319148936170213,19.0,86.36363636363636,2,1,2,1,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,86.36363636363636,0,0,1,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,72.72727272727273,0,0,0,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,0,12,388,0.9166666666666666,0.0,17.0,77.27272727272727,2,0,2,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,0,41,359,0.9512195121951219,0.0,19.0,86.36363636363636,0,0,1,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,old_hard_gate,all,479,119,564,15436,0.849290780141844,0.007709251101321586,24.0,66.66666666666667,76,83,158,99,0.80661167200197,0.9087791080287537,0.0049718531002076825,0.010555046549049214
episode,0.005,old_hard_gate,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,70.0,21,7,37,10,,,,
episode,0.005,old_hard_gate,libero_long,240,95,274,3726,0.8759124087591241,0.02549651100375738,32.0,61.53846153846154,50,71,111,83,,,,
episode,0.005,old_hard_gate,libero_object,30,10,44,3956,0.6818181818181818,0.0025278058645096056,19.5,69.64285714285714,1,4,4,5,,,,
episode,0.005,old_hard_gate,libero_spatial,122,4,140,3860,0.8714285714285714,0.0010362694300518134,18.5,84.0909090909091,4,1,6,1,,,,
episode,0.005,old_hard_gate,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,83.33333333333333,0,0,3,1,,,,
episode,0.005,old_hard_gate,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,53.333333333333336,0,2,1,4,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,53.333333333333336,2,0,6,0,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,60.0,0,0,7,0,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,46.666666666666664,15,0,16,0,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,66.66666666666667,3,5,3,5,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,73.33333333333333,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,50.0,1,0,1,0,,,,
episode,0.005,old_hard_gate,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,35.5,68.26923076923077,1,0,1,0,,,,
episode,0.005,old_hard_gate,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,8,1,399,1.0,0.020050125313283207,29.0,55.76923076923077,0,8,1,8,,,,
episode,0.005,old_hard_gate,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,16,1,399,1.0,0.040100250626566414,41.0,78.84615384615384,0,15,0,15,,,,
episode,0.005,old_hard_gate,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,123,14,151,249,0.8145695364238411,0.05622489959839357,33.0,63.46153846153846,0,0,22,5,,,,
episode,0.005,old_hard_gate,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,29,7,30,370,0.9666666666666667,0.01891891891891892,14.0,26.923076923076923,22,7,24,7,,,,
episode,0.005,old_hard_gate,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,19.23076923076923,8,1,8,2,,,,
episode,0.005,old_hard_gate,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,6,4,396,1.0,0.015151515151515152,31.5,60.57692307692308,1,3,2,6,,,,
episode,0.005,old_hard_gate,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,57.69230769230769,3,4,15,4,,,,
episode,0.005,old_hard_gate,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,16,47,353,1.0,0.0453257790368272,31.0,59.61538461538461,10,12,32,15,,,,
episode,0.005,old_hard_gate,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,21,6,394,1.0,0.0532994923857868,24.5,47.11538461538461,5,21,6,21,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,76.78571428571428,0,0,0,1,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,71.42857142857143,0,0,1,0,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,,0,2,0,2,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,,0,1,0,1,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,2,7,393,0.7142857142857143,0.005089058524173028,24.0,85.71428571428571,0,1,0,1,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,75.0,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,19.0,67.85714285714286,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,2,5,395,0.2,0.005063291139240506,15.0,53.57142857142857,0,0,1,0,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,78.57142857142857,0,0,1,0,,,,
episode,0.005,old_hard_gate,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,60.714285714285715,1,0,1,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,11,0,14,386,0.7857142857142857,0.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,18,2,24,376,0.75,0.005319148936170213,19.0,86.36363636363636,2,1,2,1,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,86.36363636363636,0,0,1,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,72.72727272727273,0,0,0,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,0,12,388,0.9166666666666666,0.0,17.0,77.27272727272727,2,0,2,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,0,41,359,0.9512195121951219,0.0,19.0,86.36363636363636,0,0,1,0,,,,
episode,0.005,old_hard_gate,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,ac_recalibrated,all,485,134,564,15436,0.8599290780141844,0.008681005441824307,24.0,65.38461538461539,83,97,165,113,0.818438125113657,0.9195410002773412,0.0055716199664686645,0.011907252014254258
episode,0.005,ac_recalibrated,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,70.0,22,8,37,10,,,,
episode,0.005,ac_recalibrated,libero_long,243,110,274,3726,0.8868613138686131,0.029522275899087493,32.0,61.53846153846154,56,84,117,97,,,,
episode,0.005,ac_recalibrated,libero_object,31,10,44,3956,0.7045454545454546,0.0025278058645096056,20.0,71.42857142857143,1,4,4,5,,,,
episode,0.005,ac_recalibrated,libero_spatial,124,4,140,3860,0.8857142857142857,0.0010362694300518134,19.0,86.36363636363636,4,1,7,1,,,,
episode,0.005,ac_recalibrated,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,ac_recalibrated,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,83.33333333333333,1,1,3,1,,,,
episode,0.005,ac_recalibrated,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,53.333333333333336,0,2,1,4,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,53.333333333333336,2,0,6,0,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,60.0,0,0,7,0,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,46.666666666666664,15,0,16,0,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,66.66666666666667,3,5,3,5,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,73.33333333333333,0,0,0,0,,,,
episode,0.005,ac_recalibrated,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,50.0,1,0,1,0,,,,
episode,0.005,ac_recalibrated,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,0,0,0,0,,,,
episode,0.005,ac_recalibrated,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,38.0,73.07692307692307,0,0,0,0,,,,
episode,0.005,ac_recalibrated,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,11,1,399,1.0,0.02756892230576441,19.0,36.53846153846154,1,11,1,11,,,,
episode,0.005,ac_recalibrated,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,16,1,399,1.0,0.040100250626566414,41.0,78.84615384615384,0,15,0,15,,,,
