fold,calibration,method,alpha,threshold,rank,units,attainable,no_exposure_units
0,episode,ac_recalibrated,0.005,5.735496450145729,3083,3097,True,236
0,episode,ac_recalibrated,0.01,4.9935591054163515,3068,3097,True,236
0,episode,ac_recalibrated,0.02,4.409306013095543,3037,3097,True,236
0,episode,ac_recalibrated,0.05,3.549445173407635,2944,3097,True,236
0,task_init,ac_recalibrated,0.005,8.038081543139775,398,398,True,23
0,task_init,ac_recalibrated,0.01,7.527255919373784,396,398,True,23
0,task_init,ac_recalibrated,0.02,6.24632207391172,392,398,True,23
0,task_init,ac_recalibrated,0.05,4.694042575317567,380,398,True,23
0,episode,max_or_gap,0.005,6.24632207391172,3083,3097,True,236
0,episode,max_or_gap,0.01,5.129360646575413,3068,3097,True,236
0,episode,max_or_gap,0.02,4.551726353137313,3037,3097,True,236
0,episode,max_or_gap,0.05,3.794359579843073,2944,3097,True,236
0,task_init,max_or_gap,0.005,9.136693831807884,398,398,True,23
0,task_init,max_or_gap,0.01,7.527255919373784,396,398,True,23
0,task_init,max_or_gap,0.02,6.24632207391172,392,398,True,23
0,task_init,max_or_gap,0.05,5.042349269585784,380,398,True,23
0,episode,soft_sum_gap,0.005,9.606396107111138,3083,3097,True,236
0,episode,soft_sum_gap,0.01,8.31437080128716,3068,3097,True,236
0,episode,soft_sum_gap,0.02,6.771240071817418,3037,3097,True,236
0,episode,soft_sum_gap,0.05,5.243315029106887,2944,3097,True,236
0,task_init,soft_sum_gap,0.005,14.977550797611439,398,398,True,23
0,task_init,soft_sum_gap,0.01,11.576353415949285,396,398,True,23
0,task_init,soft_sum_gap,0.02,9.642865786892528,392,398,True,23
0,task_init,soft_sum_gap,0.05,7.949283699204132,380,398,True,23
0,episode,two_of_three,0.005,4.511721018523613,3083,3097,True,236
0,episode,two_of_three,0.01,3.7521987690187952,3068,3097,True,236
0,episode,two_of_three,0.02,3.054474921431438,3037,3097,True,236
0,episode,two_of_three,0.05,2.208156013643219,2944,3097,True,236
0,task_init,two_of_three,0.005,6.939469254471665,398,398,True,23
0,task_init,two_of_three,0.01,5.3300313420375645,396,398,True,23
0,task_init,two_of_three,0.02,4.625834325291034,392,398,True,23
0,task_init,two_of_three,0.05,3.516292966090734,380,398,True,23
0,episode,lagged_agreement,0.005,4.59339904953788,3083,3097,True,236
0,episode,lagged_agreement,0.01,3.7521987690187952,3068,3097,True,236
0,episode,lagged_agreement,0.02,2.916103661708145,3037,3097,True,236
0,episode,lagged_agreement,0.05,2.1830096209373475,2944,3097,True,236
0,task_init,lagged_agreement,0.005,7.527255919373784,398,398,True,23
0,task_init,lagged_agreement,0.01,5.473132185678238,396,398,True,23
0,task_init,lagged_agreement,0.02,4.659357017329678,392,398,True,23
0,task_init,lagged_agreement,0.05,3.516292966090734,380,398,True,23
0,episode,state_adjustment_or,0.005,5.735496450145729,3083,3097,True,236
0,episode,state_adjustment_or,0.01,4.9935591054163515,3068,3097,True,236
0,episode,state_adjustment_or,0.02,4.482733481650361,3037,3097,True,236
0,episode,state_adjustment_or,0.05,3.677108317663725,2944,3097,True,236
0,task_init,state_adjustment_or,0.005,8.038081543139775,398,398,True,23
0,task_init,state_adjustment_or,0.01,7.527255919373784,396,398,True,23
0,task_init,state_adjustment_or,0.02,6.497636502192625,392,398,True,23
0,task_init,state_adjustment_or,0.05,4.742244677135446,380,398,True,23
1,episode,ac_recalibrated,0.005,5.221004263445367,3102,3116,True,196
1,episode,ac_recalibrated,0.01,4.738578114201074,3086,3116,True,196
1,episode,ac_recalibrated,0.02,4.135814995109397,3055,3116,True,196
1,episode,ac_recalibrated,0.05,3.355374945650856,2962,3116,True,196
1,task_init,ac_recalibrated,0.005,6.188588289707072,398,398,True,21
1,task_init,ac_recalibrated,0.01,5.914151444005312,396,398,True,21
1,task_init,ac_recalibrated,0.02,5.304385872384418,392,398,True,21
1,task_init,ac_recalibrated,0.05,4.362342644407848,380,398,True,21
1,episode,max_or_gap,0.005,5.282879667163454,3102,3116,True,196
1,episode,max_or_gap,0.01,4.815539155337202,3086,3116,True,196
1,episode,max_or_gap,0.02,4.320842913501095,3055,3116,True,196
1,episode,max_or_gap,0.05,3.557078165727196,2962,3116,True,196
1,task_init,max_or_gap,0.005,6.648120619085512,398,398,True,21
1,task_init,max_or_gap,0.01,5.914151444005312,396,398,True,21
1,task_init,max_or_gap,0.02,5.4954411091471265,392,398,True,21
1,task_init,max_or_gap,0.05,4.600427775720257,380,398,True,21
1,episode,soft_sum_gap,0.005,8.753389816582192,3102,3116,True,196
1,episode,soft_sum_gap,0.01,8.036361558088364,3086,3116,True,196
1,episode,soft_sum_gap,0.02,6.480768781622828,3055,3116,True,196
1,episode,soft_sum_gap,0.05,5.290702717789218,2962,3116,True,196
1,task_init,soft_sum_gap,0.005,12.325883285026594,398,398,True,21
1,task_init,soft_sum_gap,0.01,10.237925478315265,396,398,True,21
1,task_init,soft_sum_gap,0.02,8.753389816582192,392,398,True,21
1,task_init,soft_sum_gap,0.05,7.694737612635242,380,398,True,21
1,episode,two_of_three,0.005,4.2502253462871415,3102,3116,True,196
1,episode,two_of_three,0.01,3.656563716942002,3086,3116,True,196
1,episode,two_of_three,0.02,2.850760521977506,3055,3116,True,196
1,episode,two_of_three,0.05,2.29355083064467,2962,3116,True,196
1,task_init,two_of_three,0.005,6.137294995319522,398,398,True,21
1,task_init,two_of_three,0.01,4.928334649482546,396,398,True,21
1,task_init,two_of_three,0.02,4.191384846264208,392,398,True,21
1,task_init,two_of_three,0.05,3.5054061551828757,380,398,True,21
1,episode,lagged_agreement,0.005,4.177200211272252,3102,3116,True,196
1,episode,lagged_agreement,0.01,3.560873236695748,3086,3116,True,196
1,episode,lagged_agreement,0.02,2.8433116979645154,3055,3116,True,196
1,episode,lagged_agreement,0.05,2.3064820453169186,2962,3116,True,196
1,task_init,lagged_agreement,0.005,6.137294995319522,398,398,True,21
1,task_init,lagged_agreement,0.01,4.974144185513841,396,398,True,21
1,task_init,lagged_agreement,0.02,4.191384846264208,392,398,True,21
1,task_init,lagged_agreement,0.05,3.2609094793980966,380,398,True,21
1,episode,state_adjustment_or,0.005,5.261826257965621,3102,3116,True,196
1,episode,state_adjustment_or,0.01,4.738578114201074,3086,3116,True,196
1,episode,state_adjustment_or,0.02,4.2502253462871415,3055,3116,True,196
1,episode,state_adjustment_or,0.05,3.5018154870521467,2962,3116,True,196
1,task_init,state_adjustment_or,0.005,6.4249770677713025,398,398,True,21
1,task_init,state_adjustment_or,0.01,5.914151444005312,396,398,True,21
1,task_init,state_adjustment_or,0.02,5.4954411091471265,392,398,True,21
1,task_init,state_adjustment_or,0.05,4.579150377272971,380,398,True,21
2,episode,ac_recalibrated,0.005,6.362596976135641,3063,3077,True,238
2,episode,ac_recalibrated,0.01,5.551666759919312,3048,3077,True,238
2,episode,ac_recalibrated,0.02,4.716345090578824,3017,3077,True,238
2,episode,ac_recalibrated,0.05,3.601796209647902,2925,3077,True,238
2,task_init,ac_recalibrated,0.005,9.135185698375421,398,398,True,26
2,task_init,ac_recalibrated,0.01,8.442038517815478,396,398,True,26
2,task_init,ac_recalibrated,0.02,7.189275549320109,392,398,True,26
2,task_init,ac_recalibrated,0.05,5.092134430540872,380,398,True,26
2,episode,max_or_gap,0.005,6.496128368760163,3063,3077,True,238
2,episode,max_or_gap,0.01,5.767889868388949,3048,3077,True,238
2,episode,max_or_gap,0.02,4.831120605171253,3017,3077,True,238
2,episode,max_or_gap,0.05,3.821979719333635,2925,3077,True,238
2,task_init,max_or_gap,0.005,9.135185698375421,398,398,True,26
2,task_init,max_or_gap,0.01,8.442038517815478,396,398,True,26
2,task_init,max_or_gap,0.02,7.189275549320109,392,398,True,26
2,task_init,max_or_gap,0.05,5.203360065651096,380,398,True,26
