task,short_task,window,key,family,token_role,scope,metric,layer,layer_group,denoise_step,relative_query,expert,failure_mean,success_mean,adjusted_difference,within_init_residual_sd,effect_sigma,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|entropy_mean|L2,state_layer_summary,state,layer,entropy_mean,2.0,,,,,0.9348768399044066,0.9383695647984276,-5.761606374623515e-05,0.007639234988275154,-0.007542124811537464,0.9540229885057471,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|entropy_std_query|L2,state_layer_summary,state,layer,entropy_std_query,2.0,,,,,0.013698109219798707,0.009896357985264925,0.0017974530252031493,0.004864238636633359,0.3695240220465837,0.006496751624187906,0.1344327836081959,0.9150424787606197
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|top1_mean|L2,state_layer_summary,state,layer,top1_mean,2.0,,,,,0.14834256943963145,0.1411987143921955,-0.0018740637873510915,0.01661601741346042,-0.11278658060582777,0.37181409295352325,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|top1_std_query|L2,state_layer_summary,state,layer,top1_std_query,2.0,,,,,0.032251968669816444,0.02192755696837437,0.004424046331031464,0.008913145784444196,0.4963507203879239,0.0004997501249375312,0.004997501249375313,0.13243378310844578
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|p4p5_gap_mean|L2,state_layer_summary,state,layer,p4p5_gap_mean,2.0,,,,,0.005982354870470969,0.005733143841317887,-0.00015487542363863246,0.002035635858629751,-0.0760820865785317,0.5897051474262869,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_layer_summary|state|layer|query_speed_mean|L2,state_layer_summary,state,layer,query_speed_mean,2.0,,,,,0.07669999247983746,0.07305787095864272,0.0037090484891457863,0.008095387561841381,0.4581681186740026,0.0004997501249375312,0.01699150424787606,0.30834582708645675
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E0,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,0.0,0.0246383458548023,0.020232380235342885,0.0017374000063099233,0.0038563535264549346,0.4505292355566475,0.001999000499750125,0.06346826586706647,0.3618190904547726
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E1,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,1.0,0.029344895409177178,0.030063971788783013,-0.0003700859898486104,0.0029932559679331145,-0.12363994052408421,0.3073463268365817,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E2,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,2.0,0.01633182154846904,0.016402492030716406,-0.00020921707062414324,0.001113400598741731,-0.18790817147088143,0.14842578710644677,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E3,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,3.0,0.025123095332199464,0.026342883770321977,-0.00037458689096736244,0.0016644647653134652,-0.2250494566022353,0.0734632683658171,0.9890054972513743,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E4,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,4.0,0.03997453694920177,0.040375840681572926,0.0011091990279501296,0.004705950856901823,0.23570136231307226,0.07246376811594203,0.9800099950024987,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E5,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,5.0,0.027040636743945273,0.027895981132791473,-0.00017221412617728055,0.001396125000394139,-0.12335150944841108,0.3363318340829585,1.0,1.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,preanchor4,state_expert_probability|state|layer_expert|mean_probability|L2|E6,state_expert_probability,state,layer_expert,mean_probability,2.0,,,,6.0,0.0293871417398686,0.02824920891976819,0.0003888257723524276,0.003163138844831999,0.12292402939810851,0.3953023488255872,1.0,1.0
