task,short_task,window,key,family,token_role,scope,metric,layer,layer_group,denoise_step,relative_query,expert,failure_mean,success_mean,adjusted_difference,within_init_residual_sd,effect_sigma,permutation_p_raw,permutation_p_max_family,permutation_p_max_global,location
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,phase5,action_group_denoise|action|layer_group_denoise|entropy_std_query|Gback_12_15|D6,action_group_denoise,action,layer_group_denoise,entropy_std_query,,back_12_15,6.0,,,0.000319041233584834,0.0002884954984022059,-1.912284789707442e-05,3.174030275628324e-05,-0.6024784339301523,0.010494752623688156,0.5112443778110944,0.9960019990004998,back_12_15/d6
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,phase5,action_layer_denoise|action|layer_denoise|top1_std_query|L14|D5,action_layer_denoise,action,layer_denoise,top1_std_query,14.0,,5.0,,,0.0007463814884734651,0.0007347415599864549,-0.00013542139135861234,0.00015556165456603348,-0.870531955554176,0.0009995002498750624,0.10394802598700649,0.2818590704647676,L14/d5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,phase5,state_group_summary|state|layer_group|entropy_mean|Gback_12_15,state_group_summary,state,layer_group,entropy_mean,,back_12_15,,,,0.987181037137477,0.9876195488179608,0.0001253384282322434,0.00022478515272875957,0.5575921127828444,0.00849575212393803,0.13793103448275862,0.9995002498750625,back_12_15
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,phase5,state_layer_summary|state|layer|top1_std_query|L12,state_layer_summary,state,layer,top1_std_query,12.0,,,,,0.005439878186388384,0.006520451197482563,-0.0008950095998249232,0.0011253988636581698,-0.7952821250553302,0.0024987506246876563,0.03248375812093953,0.5567216391804098,L12
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,preanchor4,action_group_denoise|action|layer_group_denoise|entropy_mean|Gback_12_15|D9,action_group_denoise,action,layer_group_denoise,entropy_mean,,back_12_15,9.0,,,0.9982146548621568,0.9982441195921624,3.589126061601279e-05,4.958407381434228e-05,0.7238465469860442,0.006496751624187906,0.1679160419790105,0.8170914542728636,back_12_15/d9
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,preanchor4,action_layer_denoise|action|layer_denoise|top1_mean|L4|D5,action_layer_denoise,action,layer_denoise,top1_mean,4.0,,5.0,,,0.03539634469364371,0.03549478065918435,-0.00013983921807431666,0.0001434017109756625,-0.9751572496791866,0.0004997501249375312,0.020989505247376312,0.07496251874062969,L4/d5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,preanchor4,state_group_summary|state|layer_group|top1_std_query|Gback_12_15,state_group_summary,state,layer_group,top1_std_query,,back_12_15,,,,0.0040011775812932426,0.004331105942633208,0.00032474056633646694,0.0005244217660296136,0.6192354844366417,0.01899050474762619,0.06896551724137931,0.9930034982508745,back_12_15
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,preanchor4,state_layer_summary|state|layer|top1_std_query|L12,state_layer_summary,state,layer,top1_std_query,12.0,,,,,0.004015448713852536,0.004008448286145762,0.0004990471877469233,0.0007201061181452392,0.6930189525848047,0.006496751624187906,0.06996501749125437,0.9030484757621189,L12
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,query0,q0_action_group_denoise|action|layer_group_denoise|p4p5_gap_mean|Gfront_2_5|D5,q0_action_group_denoise,action,layer_group_denoise,p4p5_gap_mean,,front_2_5,5.0,,,0.0003510254651441106,0.00032491589641162695,3.9292087748827365e-05,5.2741449293297576e-05,0.7449944640376167,0.0004997501249375312,0.07746126936531735,0.7051474262868566,front_2_5/d5
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,query0,q0_action_layer_denoise|action|layer_denoise|p4p5_gap_mean|L5|D3,q0_action_layer_denoise,action,layer_denoise,p4p5_gap_mean,5.0,,3.0,,,0.0003589452822953241,0.0003235698374567789,8.185020849080524e-05,0.00011390813824088058,0.7185633068439525,0.0014992503748125937,0.3853073463268366,0.7916041979010495,L5/d3
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,phase5,action_group_denoise|action|layer_group_denoise|entropy_std_query|Gback_12_15|D0,action_group_denoise,action,layer_group_denoise,entropy_std_query,,back_12_15,0.0,,,0.00018665899139709102,0.00019146226878593783,-1.8379562356455007e-05,3.470695093821946e-05,-0.5295643051206594,0.0004997501249375312,0.005497251374312844,0.063968015992004,back_12_15/d0
