task,short_task,profile,profile_kind,relative_query,failure_mean,success_mean,adjusted_difference,within_init_residual_sd,effect_sigma,loso_effect_min,loso_effect_max,loso_same_direction,loso_folds
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,-3,0.034388749461088865,0.03529816556844737,1.565085266620663e-05,0.0019153699295019159,0.008171190549220208,-0.07258454870035852,0.1048835203892899,4,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,-2,0.03756537545649778,0.038544619732260046,5.1835906489676e-05,0.001442594497773379,0.03593241660749703,-0.02233019548647873,0.1331525885705528,5,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,-1,0.03152934710184733,0.03242753346829296,0.0001783355825259168,0.0013190267138732691,0.13520240390146573,-0.0018068982777794907,0.35917831661432437,6,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,0,0.027412888904412586,0.028296209933174835,0.0005428190127651462,0.000929506556911551,0.5839862115322325,0.39867207386234566,0.9256552361945085,7,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,1,0.028143550269305706,0.02930379766397751,0.00017082996109626472,0.0011387972492508038,0.15000910935519995,-0.014522964201492211,0.37883415084116623,6,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,2,0.03300901764028129,0.030534848386606018,0.0005041474900688989,0.0019000565036225024,0.2653328935785488,0.14729018013279055,0.40287610019921755,7,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,3,0.017222060068022637,0.016981794539798093,0.00035017316836161123,0.0009042726515645581,0.3872429048426348,0.189759261254474,0.5166705562654059,7,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,state_L14_E21_probability,query,4,0.01795059300604321,0.02025244327691885,0.00026189035394649915,0.0013215564957006975,0.19816811070770246,0.058081418757913145,0.3466896904690213,7,7
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,-3,0.11799022989968459,0.12636325905313256,0.006903320675788645,0.04382251039754967,0.15752910121220812,-0.038871544436887305,0.20403990291672372,7,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,-2,0.15365181987484297,0.17279905047206606,-0.00592627888285248,0.051321428362969074,-0.11547377132489517,-0.2459163416696831,0.06840906419064109,7,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,-1,0.16393607730666795,0.1466117173463839,0.00609224461352026,0.02844225460626245,0.21419696496841226,0.1373100890624503,0.35467166605349965,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,0,0.11157625106473763,0.10330727068921093,0.004846482688571488,0.0201738768330366,0.24023556447191757,0.10929186170810756,0.4023624084068082,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,1,0.25101179008682567,0.3482830953158316,-0.04510047930870309,0.11003933488655876,-0.40985779635253033,-0.5627947577068539,-0.27995712007047063,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,2,0.2358177788555622,0.3308677035460218,-0.10707637723847474,0.12388316550279109,-0.8643335581868249,-1.0758528033046173,-0.6382488110492107,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,3,0.17059297859668732,0.1577900915605123,0.007187340866420522,0.04101654885980944,0.17523026842131822,0.01969563969473415,0.6650792777896266,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,state_L4_top1,query,4,0.19639592741926512,0.25646433823543496,-0.015408372704210228,0.08059298240512008,-0.19118752333492664,-0.3833864181577074,-0.006300802877068664,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,action_L13_d9_query_speed,transition_endpoint,-2,0.06203043833374977,0.06009940841219953,0.0014738812418290358,0.009325133653933476,0.15805470425695523,0.0406677613181377,0.31915281730154754,8,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,action_L13_d9_query_speed,transition_endpoint,-1,0.06562924198806286,0.06022847529317512,0.0015755510946225853,0.006812203445360422,0.23128362317124332,0.0900072774693761,0.35433136819971733,8,8
