cohort,quantity,layer,auc_suite_strat,n_suite_strata,pairs_suite,auc_task_strat,n_task_strata,pairs_task,dev_suite,dev_task
external_8b,norm_fiedler,L2,0.5159039394771454,88,31575510.0,0.46166737170934885,159,2642866.0,0.015903939477145412,0.03833262829065115
external_8b,norm_fiedler,L3,0.47735300237430844,88,31575510.0,0.5614573345754192,159,2642866.0,0.022646997625691556,0.06145733457541924
external_8b,norm_fiedler,L4,0.5665597641969995,88,31575510.0,0.5205746337498761,159,2642866.0,0.0665597641969995,0.020574633749876114
external_8b,norm_fiedler,L5,0.5556459578958503,88,31575510.0,0.4886863352133631,159,2642866.0,0.05564595789585025,0.011313664786636923
external_8b,norm_fiedler,L12,0.647219015623184,88,31575510.0,0.5591853692166004,159,2642866.0,0.14721901562318396,0.05918536921660045
external_8b,norm_fiedler,L13,0.5874792204464789,88,31575510.0,0.5479172988717551,159,2642866.0,0.08747922044647893,0.04791729887175511
external_8b,norm_fiedler,L14,0.6415004223209696,88,31575510.0,0.5460027106936182,159,2642866.0,0.1415004223209696,0.046002710693618165
external_8b,norm_fiedler,L15,0.5812281100131083,88,31575510.0,0.5576932390821177,159,2642866.0,0.08122811001310826,0.05769323908211765
external_8b,gap_ratio,L2,0.4872787961302921,88,31575510.0,0.4525551049504591,159,2642866.0,0.012721203869707876,0.047444895049540914
external_8b,gap_ratio,L3,0.4412513210396285,88,31575510.0,0.5292587668084572,159,2642866.0,0.0587486789603715,0.02925876680845718
external_8b,gap_ratio,L4,0.49678486586598286,88,31575510.0,0.5003632420258916,159,2642866.0,0.003215134134017139,0.0003632420258915525
external_8b,gap_ratio,L5,0.530233810950322,88,31575510.0,0.46595665463175207,159,2642866.0,0.03023381095032196,0.034043345368247935
external_8b,gap_ratio,L12,0.6290124688405666,88,31575510.0,0.4954242856050969,159,2642866.0,0.1290124688405666,0.004575714394903119
external_8b,gap_ratio,L13,0.560708378106957,88,31575510.0,0.524768944017593,159,2642866.0,0.06070837810695695,0.024768944017592998
external_8b,gap_ratio,L14,0.6009726208697816,88,31575510.0,0.511054665654634,159,2642866.0,0.10097262086978165,0.011054665654633977
external_8b,gap_ratio,L15,0.536703239314266,88,31575510.0,0.5269343962198613,159,2642866.0,0.036703239314266,0.026934396219861267
external_8b,spectral_erank,L2,0.4910599068708629,88,31575510.0,0.45537382523366676,159,2642866.0,0.008940093129137128,0.04462617476633324
external_8b,spectral_erank,L3,0.4573697305285014,88,31575510.0,0.5388112753351854,159,2642866.0,0.042630269471498616,0.03881127533518536
external_8b,spectral_erank,L4,0.5095389749840937,88,31575510.0,0.5106630453454697,159,2642866.0,0.009538974984093729,0.01066304534546969
external_8b,spectral_erank,L5,0.5408720555899176,88,31575510.0,0.4787647198155336,159,2642866.0,0.04087205558991758,0.02123528018446641
external_8b,spectral_erank,L12,0.631996632833484,88,31575510.0,0.4997103523220625,159,2642866.0,0.13199663283348395,0.0002896476779374879
external_8b,spectral_erank,L13,0.5712265296744218,88,31575510.0,0.5384381955044258,159,2642866.0,0.07122652967442178,0.03843819550442584
external_8b,spectral_erank,L14,0.6036821574695073,88,31575510.0,0.5201888782859214,159,2642866.0,0.10368215746950726,0.02018887828592142
external_8b,spectral_erank,L15,0.5503002801854981,88,31575510.0,0.5349160721731635,159,2642866.0,0.05030028018549815,0.034916072173163504
external_8b,kirchhoff_efficiency,L2,0.4910250380753945,88,31575510.0,0.45485393508410943,159,2642866.0,0.008974961924605507,0.04514606491589057
