cohort,quantity,layer,chunk,alive,alive_risk,auc_pooled,auc_within_suite,auc_within_task
external_8b,norm_fiedler,L2,4,15600,564,0.48267709506640327,0.5181481137282732,0.4944428834566514
external_8b,norm_fiedler,L2,6,15600,564,0.6095359906908998,0.6177856724454508,0.5325335872540143
external_8b,norm_fiedler,L2,8,14456,564,0.5859305600651837,0.5900933090327507,0.5213769537636518
external_8b,norm_fiedler,L2,10,11342,564,0.4269792419283305,0.5087686789160031,0.4507460728691831
external_8b,norm_fiedler,L2,12,9146,564,0.4142963335762961,0.5097112398501528,0.46913839174745214
external_8b,norm_fiedler,L2,14,5753,564,0.5209948691244025,0.5314037503688668,0.4790100311177255
external_8b,norm_fiedler,L2,16,4793,564,0.489626464684071,0.4806037933663744,0.4124635941435768
external_8b,norm_fiedler,L2,18,4300,564,0.43174779223047366,0.3173935587063415,0.42733850866887
external_8b,norm_fiedler,L2,20,3995,564,0.510114806385666,0.3434432765027369,0.47054394648168946
external_8b,norm_fiedler,L2,24,2174,424,0.6686839622641509,0.6454820158929319,0.6120505469220796
external_8b,norm_fiedler,L2,28,769,380,0.44468610472195913,0.43545734744122233,0.468368253968254
external_8b,norm_fiedler,L2,32,569,274,0.3185698379314611,0.3185698379314611,0.34424111380656053
external_8b,norm_fiedler,L3,4,15600,564,0.4468079799969435,0.5027922341252408,0.5087545398728315
external_8b,norm_fiedler,L3,6,15600,564,0.43265412419177424,0.5227516155437651,0.574740095532453
external_8b,norm_fiedler,L3,8,14456,564,0.4718590907977039,0.5514640900843014,0.5599753667734834
external_8b,norm_fiedler,L3,10,11342,564,0.379325119201315,0.4365917733443068,0.5048273374217034
external_8b,norm_fiedler,L3,12,9146,564,0.3412135080681816,0.39829514598162874,0.5342561521252797
external_8b,norm_fiedler,L3,14,5753,564,0.4367736441927755,0.4253708787523809,0.5803842362627805
external_8b,norm_fiedler,L3,16,4793,564,0.5017728400154958,0.4079331871902402,0.5687234335642317
external_8b,norm_fiedler,L3,18,4300,564,0.5138621539326014,0.3468520662374107,0.555312771073754
external_8b,norm_fiedler,L3,20,3995,564,0.5358627842512264,0.34671105370502103,0.5445019069600958
external_8b,norm_fiedler,L3,24,2174,424,0.6245599730458221,0.6355060644081975,0.4732382535015796
external_8b,norm_fiedler,L3,28,769,380,0.5755445812474631,0.5515420323629461,0.5288126984126983
external_8b,norm_fiedler,L3,32,569,274,0.6807002350612397,0.6807002350612397,0.8293692648454805
external_8b,norm_fiedler,L4,4,15600,564,0.49335230199294744,0.5220468686049436,0.49085000988625604
external_8b,norm_fiedler,L4,6,15600,564,0.5494636748871267,0.5619172871631389,0.51992861082493
external_8b,norm_fiedler,L4,8,14456,564,0.5724135453232944,0.5876675043762066,0.48465873171582413
external_8b,norm_fiedler,L4,10,11342,564,0.5024241658540052,0.6041299988101022,0.47978224510543405
external_8b,norm_fiedler,L4,12,9146,564,0.4659083584146928,0.561896414412237,0.5349552572706935
external_8b,norm_fiedler,L4,14,5753,564,0.48999622769934764,0.5090316465317584,0.4526566033359748
external_8b,norm_fiedler,L4,16,4793,564,0.5241084859858223,0.5929579679756004,0.46712649559193953
external_8b,norm_fiedler,L4,18,4300,564,0.48598289405743617,0.48612878087492944,0.4730051716754691
external_8b,norm_fiedler,L4,20,3995,564,0.49210576905188613,0.41690647559321814,0.5289314852071736
external_8b,norm_fiedler,L4,24,2174,424,0.7735080862533693,0.8093768297783355,0.5456072752506346
external_8b,norm_fiedler,L4,28,769,380,0.49271749424976324,0.5200483000996072,0.4779174603174603
external_8b,norm_fiedler,L4,32,569,274,0.5898676234071508,0.5898676234071508,0.7176985550047463
external_8b,norm_fiedler,L5,4,15600,564,0.48530506689382835,0.5139794757414979,0.5230375781794719
external_8b,norm_fiedler,L5,6,15600,564,0.5842446803793826,0.5671922112203786,0.5560862914052012
external_8b,norm_fiedler,L5,8,14456,564,0.6077527144557917,0.6143040655435154,0.5265869901685087
external_8b,norm_fiedler,L5,10,11342,564,0.45998234517647585,0.5754382790111949,0.49262453677893286
external_8b,norm_fiedler,L5,12,9146,564,0.38087356267695377,0.4287050127177931,0.5620805369127517
external_8b,norm_fiedler,L5,14,5753,564,0.4606194363690786,0.5050224002718436,0.556422621233499
external_8b,norm_fiedler,L5,16,4793,564,0.5220226685382423,0.7228221502096835,0.48472429943324935
external_8b,norm_fiedler,L5,18,4300,564,0.5321918139778578,0.6737668436597478,0.5405224380442063
external_8b,norm_fiedler,L5,20,3995,564,0.5093667768427624,0.5309853191804875,0.5451684172848345
external_8b,norm_fiedler,L5,24,2174,424,0.5931967654986523,0.5712818904224174,0.4356385018535089
external_8b,norm_fiedler,L5,28,769,380,0.4789608983899337,0.43006822154146856,0.40144761904761905
external_8b,norm_fiedler,L5,32,569,274,0.490523320549301,0.490523320549301,0.5533698976901171
external_8b,norm_fiedler,L12,4,15600,564,0.6014588627954847,0.6148117952530612,0.49658403837948656
external_8b,norm_fiedler,L12,6,15600,564,0.6716319957397754,0.6784786290125752,0.561039826001894
external_8b,norm_fiedler,L12,8,14456,564,0.6681073652267849,0.6761569549408349,0.5379280840581606
external_8b,norm_fiedler,L12,10,11342,564,0.5449228234820339,0.6369051750637091,0.43967467943462435
external_8b,norm_fiedler,L12,12,9146,564,0.5097997044779524,0.6264000856103303,0.5419851478995774
