quantity,layer,auc_suite_stratified,dev_suite,n_suite_strata,auc_task_stratified,dev_task,n_task_strata,shrinkage,sign_flip
norm_fiedler,L12,0.5969,0.0969,100,0.5338,0.0338,183,0.652,False
centred_config_size,L15,0.4127,0.0873,100,0.4739,0.0261,183,0.701,False
norm_fiedler,L14,0.5867,0.0867,100,0.5265,0.0265,183,0.694,False
centred_config_size,L14,0.4152,0.0848,100,0.4701,0.0299,183,0.647,False
centred_config_size,L12,0.4174,0.0826,100,0.4893,0.0107,183,0.87,False
dd_deficit,L12,0.5805,0.0805,100,0.5177,0.0177,183,0.78,False
gap_ratio,L12,0.578,0.078,100,0.4877,0.0123,183,0.842,True
dd_deficit,L14,0.5773,0.0773,100,0.5089,0.0089,183,0.884,False
kirchhoff_efficiency,L12,0.5764,0.0764,100,0.4856,0.0144,183,0.811,True
spectral_erank,L12,0.576,0.076,100,0.4853,0.0147,183,0.806,True
res_cv,L12,0.4267,0.0733,100,0.5158,0.0158,183,0.784,True
th_cv,L12,0.4311,0.0689,100,0.5268,0.0268,183,0.611,True
res_shortcut,L12,0.5681,0.0681,100,0.5094,0.0094,183,0.862,False
centred_config_size,L13,0.4321,0.0679,100,0.4855,0.0145,183,0.786,False
spectral_erank,L14,0.5633,0.0633,100,0.513,0.013,183,0.795,False
kirchhoff_efficiency,L14,0.5633,0.0633,100,0.5129,0.0129,183,0.796,False
thalt_cv,L12,0.4371,0.0629,100,0.5207,0.0207,183,0.671,True
gap_ratio,L14,0.5607,0.0607,100,0.5108,0.0108,183,0.822,False
th_cv,L14,0.442,0.058,100,0.4803,0.0197,183,0.661,False
res_cv,L14,0.4424,0.0576,100,0.4888,0.0112,183,0.806,False
res_shortcut,L14,0.5559,0.0559,100,0.5075,0.0075,183,0.865,False
norm_fiedler,L13,0.5536,0.0536,100,0.52,0.02,183,0.628,False
res_shortcut,L13,0.5523,0.0523,100,0.5014,0.0014,183,0.974,False
th_min,L3,0.552,0.052,100,0.4957,0.0043,183,0.917,True
th_first,L3,0.552,0.052,100,0.4952,0.0048,183,0.908,True
th_mean,L3,0.5516,0.0516,100,0.4955,0.0045,183,0.912,True
th_max,L3,0.5513,0.0513,100,0.4942,0.0058,183,0.887,True
thalt_cv,L14,0.4489,0.0511,100,0.4927,0.0073,183,0.857,False
th_last,L3,0.5502,0.0502,100,0.4931,0.0069,183,0.863,True
th_max,L12,0.4515,0.0485,100,0.4845,0.0155,183,0.68,False
ground_leak_mean,L3,0.5484,0.0484,100,0.496,0.004,183,0.917,True
conditional_energy,L3,0.4516,0.0484,100,0.504,0.004,183,0.917,True
lam_max,L3,0.4518,0.0482,100,0.5041,0.0041,183,0.915,True
thalt_mean,L3,0.5482,0.0482,100,0.4958,0.0042,183,0.913,True
fiedler,L12,0.5481,0.0481,100,0.5148,0.0148,183,0.692,False
res_chain_series,L3,0.548,0.048,100,0.4959,0.0041,183,0.915,True
res_adjacent_mean,L3,0.548,0.048,100,0.4959,0.0041,183,0.915,True
vol,L3,0.4521,0.0479,100,0.5043,0.0043,183,0.911,True
norm_fiedler,L15,0.5479,0.0479,100,0.5442,0.0442,183,0.077,False
log_kirchhoff,L3,0.5479,0.0479,100,0.4957,0.0043,183,0.91,True
log_spanning_trees,L3,0.4521,0.0479,100,0.5043,0.0043,183,0.911,True
res_mean,L3,0.5479,0.0479,100,0.4957,0.0043,183,0.91,True
fiedler,L3,0.4525,0.0475,100,0.5056,0.0056,183,0.882,True
res_end2end,L3,0.5473,0.0473,100,0.4937,0.0063,183,0.868,True
res_end2end,L12,0.4535,0.0465,100,0.4825,0.0175,183,0.624,False
th_cv,L13,0.454,0.046,100,0.4862,0.0138,183,0.7,False
dd_deficit,L15,0.546,0.046,100,0.5356,0.0356,183,0.227,False
dd_deficit,L13,0.5457,0.0457,100,0.5161,0.0161,183,0.648,False
th_last,L12,0.4544,0.0456,100,0.4809,0.0191,183,0.582,False
th_first,L12,0.4558,0.0442,100,0.4852,0.0148,183,0.665,False
norm_fiedler,L4,0.5423,0.0423,100,0.5157,0.0157,183,0.629,False
ground_leak_cv,L15,0.4599,0.0401,100,0.5083,0.0083,183,0.793,True
th_mean,L12,0.4601,0.0399,100,0.4834,0.0166,183,0.584,False
th_slope,L2,0.4605,0.0395,100,0.5202,0.0202,183,0.488,True
norm_fiedler,L5,0.5394,0.0394,100,0.4732,0.0268,183,0.32,True
log_kirchhoff,L12,0.4607,0.0393,100,0.4836,0.0164,183,0.583,False
res_mean,L12,0.4607,0.0393,100,0.4836,0.0164,183,0.583,False
th_cv,L15,0.4608,0.0392,100,0.4862,0.0138,183,0.649,False
log_spanning_trees,L12,0.539,0.039,100,0.5164,0.0164,183,0.579,False
vol,L12,0.5387,0.0387,100,0.5165,0.0165,183,0.575,False
kirchhoff_efficiency,L13,0.5381,0.0381,100,0.5192,0.0192,183,0.495,False
ground_leak_mean,L15,0.5379,0.0379,100,0.4718,0.0282,183,0.255,True
ground_leak_cv,L3,0.4621,0.0379,100,0.5036,0.0036,183,0.905,True
conditional_energy,L15,0.4621,0.0379,100,0.5282,0.0282,183,0.255,True
res_chain_series,L12,0.4623,0.0377,100,0.484,0.016,183,0.575,False
res_adjacent_mean,L12,0.4623,0.0377,100,0.484,0.016,183,0.575,False
spectral_erank,L13,0.5376,0.0376,100,0.5194,0.0194,183,0.484,False
gap_ratio,L13,0.536,0.036,100,0.5175,0.0175,183,0.513,False
th_min,L12,0.464,0.036,100,0.4825,0.0175,183,0.514,False
th_cv,L5,0.4644,0.0356,100,0.5099,0.0099,183,0.721,True
ground_leak_cv,L14,0.4649,0.0351,100,0.4936,0.0064,183,0.817,False
res_cv,L13,0.4651,0.0349,100,0.4834,0.0166,183,0.523,False
thalt_mean,L12,0.4656,0.0344,100,0.4845,0.0155,183,0.549,False
res_shortcut,L4,0.534,0.034,100,0.521,0.021,183,0.384,False
lam_max,L12,0.5338,0.0338,100,0.5181,0.0181,183,0.466,False
ground_leak_cv,L12,0.4673,0.0327,100,0.5353,0.0353,183,-0.081,True
thalt_mean,L15,0.5316,0.0316,100,0.4694,0.0306,183,0.032,True
th_slope,L4,0.5313,0.0313,100,0.5369,0.0369,183,-0.181,False
lam_max,L15,0.47,0.03,100,0.5315,0.0315,183,-0.05,True
ground_leak_mean,L12,0.47,0.03,100,0.4851,0.0149,183,0.504,False
conditional_energy,L12,0.53,0.03,100,0.5149,0.0149,183,0.504,False
dd_deficit,L4,0.5299,0.0299,100,0.4975,0.0025,183,0.917,True
dd_deficit,L3,0.4716,0.0284,100,0.5011,0.0011,183,0.963,True
ground_leak_cv,L2,0.5283,0.0283,100,0.5071,0.0071,183,0.751,False
th_min,L15,0.5279,0.0279,100,0.4683,0.0317,183,-0.137,True
gap_ratio,L3,0.4723,0.0277,100,0.5205,0.0205,183,0.26,True
centred_config_size,L5,0.4733,0.0267,100,0.5106,0.0106,183,0.604,True
res_chain_series,L15,0.5262,0.0262,100,0.4676,0.0324,183,-0.237,True
res_adjacent_mean,L15,0.5262,0.0262,100,0.4676,0.0324,183,-0.237,True
vol,L15,0.4745,0.0255,100,0.5333,0.0333,183,-0.307,True
log_spanning_trees,L15,0.4748,0.0252,100,0.5334,0.0334,183,-0.322,True
centred_config_size,L4,0.475,0.025,100,0.5326,0.0326,183,-0.305,True
log_kirchhoff,L15,0.5248,0.0248,100,0.4665,0.0335,183,-0.346,True
res_mean,L15,0.5248,0.0248,100,0.4665,0.0335,183,-0.346,True
thalt_cv,L5,0.4753,0.0247,100,0.5284,0.0284,183,-0.15,True
res_cv,L3,0.5245,0.0245,100,0.4764,0.0236,183,0.037,True
spectral_erank,L5,0.5243,0.0243,100,0.4743,0.0257,183,-0.055,True
kirchhoff_efficiency,L5,0.5243,0.0243,100,0.4743,0.0257,183,-0.054,True
kirchhoff_efficiency,L3,0.4758,0.0242,100,0.5237,0.0237,183,0.017,True
spectral_erank,L3,0.4759,0.0241,100,0.5236,0.0236,183,0.021,True
th_mean,L15,0.5238,0.0238,100,0.4662,0.0338,183,-0.42,True
th_slope,L5,0.5238,0.0238,100,0.4846,0.0154,183,0.354,True
res_cv,L5,0.4763,0.0237,100,0.5256,0.0256,183,-0.078,True
gap_ratio,L5,0.5236,0.0236,100,0.4716,0.0284,183,-0.202,True
ground_leak_cv,L4,0.5235,0.0235,100,0.5056,0.0056,183,0.764,False
thalt_cv,L13,0.4767,0.0233,100,0.4803,0.0197,183,0.156,False
thalt_cv,L3,0.5231,0.0231,100,0.4797,0.0203,183,0.122,True
res_shortcut,L2,0.4776,0.0224,100,0.4755,0.0245,183,-0.094,False
th_first,L4,0.4778,0.0222,100,0.4877,0.0123,183,0.447,False
spectral_erank,L15,0.5221,0.0221,100,0.5262,0.0262,183,-0.185,False
kirchhoff_efficiency,L15,0.5221,0.0221,100,0.5265,0.0265,183,-0.199,False
th_last,L15,0.5221,0.0221,100,0.4639,0.0361,183,-0.634,True
th_min,L4,0.4782,0.0218,100,0.4885,0.0115,183,0.471,False
res_end2end,L15,0.5217,0.0217,100,0.463,0.037,183,-0.703,True
th_slope,L14,0.4783,0.0217,100,0.4965,0.0035,183,0.837,False
th_mean,L4,0.4785,0.0215,100,0.4888,0.0112,183,0.479,False
th_cv,L2,0.5214,0.0214,100,0.5323,0.0323,183,-0.51,False
th_last,L4,0.4786,0.0214,100,0.4893,0.0107,183,0.5,False
th_max,L4,0.4788,0.0212,100,0.4888,0.0112,183,0.473,False
lam_max,L2,0.521,0.021,100,0.4926,0.0074,183,0.648,True
gap_ratio,L15,0.5209,0.0209,100,0.5243,0.0243,183,-0.166,False
res_chain_series,L2,0.4793,0.0207,100,0.5075,0.0075,183,0.635,True
res_adjacent_mean,L2,0.4793,0.0207,100,0.5075,0.0075,183,0.635,True
ground_leak_mean,L2,0.4793,0.0207,100,0.5074,0.0074,183,0.643,True
conditional_energy,L2,0.5207,0.0207,100,0.4926,0.0074,183,0.643,True
thalt_mean,L2,0.4794,0.0206,100,0.5075,0.0075,183,0.636,True
vol,L2,0.5205,0.0205,100,0.4924,0.0076,183,0.629,True
log_kirchhoff,L2,0.4795,0.0205,100,0.5076,0.0076,183,0.628,True
log_spanning_trees,L2,0.5205,0.0205,100,0.4924,0.0076,183,0.628,True
res_mean,L2,0.4795,0.0205,100,0.5076,0.0076,183,0.628,True
res_end2end,L4,0.4795,0.0205,100,0.493,0.007,183,0.658,False
lam_max,L4,0.5203,0.0203,100,0.5065,0.0065,183,0.679,False
th_min,L2,0.4799,0.0201,100,0.5058,0.0058,183,0.712,True
