feature,development_outcome_blind_quantile,threshold,external_n,selected_n,late_selected,late_n,late_recall,persistent_selected,persistent_n,persistent_extension_rate,late_precision,precision_lift_over_prevalence,extra_query_cost,extra_query_cost_per_recovered,extend_all_cost_per_recovered,cost_reduction_vs_extend_all
graph_conditional_release,0.5,0.0771484375,410,186,22,27,0.8148148148148148,164,383,0.4281984334203655,0.11827956989247312,1.7960971724412584,1744,79.27272727272727,146.7037037037037,0.459640586628721
graph_conditional_release,0.75,0.2811279296875,410,98,17,27,0.6296296296296297,81,383,0.21148825065274152,0.17346938775510204,2.63416477702192,883,51.94117647058823,146.7037037037037,0.6459450227957884
graph_conditional_release,0.9,0.5413787841796877,410,46,9,27,0.3333333333333333,37,383,0.09660574412532637,0.1956521739130435,2.971014492753623,410,45.55555555555556,146.7037037037037,0.6894723554657914
graph_gap_release,0.5,0.082733154296875,410,191,22,27,0.8148148148148148,169,383,0.4412532637075718,0.11518324607329843,1.7490789218537908,1794,81.54545454545455,146.7037037037037,0.4441486309701407
graph_gap_release,0.75,0.29726409912109375,410,90,16,27,0.5925925925925926,74,383,0.19321148825065274,0.17777777777777778,2.6995884773662553,811,50.6875,146.7037037037037,0.654490658924514
graph_gap_release,0.9,0.5445648193359377,410,42,8,27,0.2962962962962963,34,383,0.08877284595300261,0.19047619047619047,2.892416225749559,374,46.75,146.7037037037037,0.6813304721030042
graph_homeostasis_release,0.5,0.03020233,410,238,19,27,0.7037037037037037,219,383,0.5718015665796344,0.07983193277310924,1.212262682850918,2276,119.78947368421052,146.7037037037037,0.18345978554059983
graph_homeostasis_release,0.75,0.17005944500000003,410,120,15,27,0.5555555555555556,105,383,0.2741514360313316,0.125,1.8981481481481481,1103,73.53333333333333,146.7037037037037,0.4987629386518556
graph_homeostasis_release,0.9,0.2976321920000001,410,45,9,27,0.3333333333333333,36,383,0.09399477806788512,0.2,3.037037037037037,389,43.22222222222222,146.7037037037037,0.7053774299419339
route_activity_release,0.5,0.06898421968799079,410,218,19,27,0.7037037037037037,199,383,0.5195822454308094,0.0871559633027523,1.323479442745498,2068,108.84210526315789,146.7037037037037,0.2580820898497189
route_activity_release,0.75,0.22272264072671533,410,121,15,27,0.5555555555555556,106,383,0.27676240208877284,0.12396694214876033,1.8824609733700643,1123,74.86666666666666,146.7037037037037,0.48967432466548855
route_activity_release,0.9,0.48464110698550994,410,50,9,27,0.3333333333333333,41,383,0.10704960835509138,0.18,2.733333333333333,445,49.44444444444444,146.7037037037037,0.6629638980055541
layer_back_handoff,0.5,-0.027556385107108,410,221,19,27,0.7037037037037037,202,383,0.5274151436031331,0.08597285067873303,1.3055136584548348,2102,110.63157894736842,146.7037037037037,0.24588421318380516
layer_back_handoff,0.75,0.042043064423292795,410,113,17,27,0.6296296296296297,96,383,0.2506527415143603,0.1504424778761062,2.284496886266798,1026,60.35294117647059,146.7037037037037,0.5886065610288549
layer_back_handoff,0.9,0.21676300711901725,410,50,11,27,0.4074074074074074,39,383,0.10182767624020887,0.22,3.3407407407407406,434,39.45454545454545,146.7037037037037,0.731059649767047
restart_graph_route_equal,0.5,0.07971445331349969,410,195,22,27,0.8148148148148148,173,383,0.4516971279373368,0.11282051282051282,1.7132003798670465,1824,82.9090909090909,146.7037037037037,0.4348534575749925
restart_graph_route_equal,0.75,0.225736106178374,410,109,16,27,0.5925925925925926,93,383,0.24281984334203655,0.14678899082568808,2.229018008834523,994,62.125,146.7037037037037,0.5765273920727089
restart_graph_route_equal,0.9,0.44544048528186986,410,49,10,27,0.37037037037037035,39,383,0.10182767624020887,0.20408163265306123,3.0990173847316704,429,42.9,146.7037037037037,0.7075738449886393
restart_graph_route_layer_equal,0.5,0.03876102166682374,410,199,22,27,0.8148148148148148,177,383,0.4621409921671018,0.11055276381909548,1.6787641913270055,1864,84.72727272727273,146.7037037037037,0.42245989304812825
restart_graph_route_layer_equal,0.75,0.1529890510064272,410,114,17,27,0.6296296296296297,97,383,0.25326370757180156,0.14912280701754385,2.264457439896036,1041,61.23529411764706,146.7037037037037,0.5825920370672883
restart_graph_route_layer_equal,0.9,0.37809881294244757,410,41,12,27,0.4444444444444444,29,383,0.07571801566579635,0.2926829268292683,4.444444444444444,338,28.166666666666668,146.7037037037037,0.8080030295379954
restart_homeostasis_route_layer_equal,0.5,0.030791552696022385,410,216,19,27,0.7037037037037037,197,383,0.5143603133159269,0.08796296296296297,1.3357338820301783,2052,108.0,146.7037037037037,0.2638222671042666
restart_homeostasis_route_layer_equal,0.75,0.12354775627692714,410,110,14,27,0.5185185185185185,96,383,0.2506527415143603,0.12727272727272726,1.9326599326599323,1019,72.78571428571429,146.7037037037037,0.5038590543513541
restart_homeostasis_route_layer_equal,0.9,0.24438976435188225,410,55,12,27,0.4444444444444444,43,383,0.1122715404699739,0.21818181818181817,3.3131313131313127,481,40.083333333333336,146.7037037037037,0.7267735420348397
