context,cohort,population,feature,n,finite_n,positive_n,prevalence,auc,average_precision
alarm,development_main,risk_only_late_vs_persistent,quiet_route_history,372,372,20,0.053763440860215055,0.66875,0.11645583614417093
alarm,development_main,risk_only_late_vs_persistent,quiet_graph_response,372,372,20,0.053763440860215055,0.6732954545454546,0.09486391852250295
alarm,development_main,risk_only_late_vs_persistent,quiet_conditional_front,372,372,20,0.053763440860215055,0.5981534090909091,0.0712545233386807
alarm,development_main,risk_only_late_vs_persistent,quiet_state_shape_settling,372,372,20,0.053763440860215055,0.6608664772727273,0.08425882101907875
alarm,development_main,risk_only_late_vs_persistent,quiet_route_graph_equal,372,372,20,0.053763440860215055,0.7164772727272727,0.11865694696172023
alarm,development_main,all_alarms_continue_vs_intervene,quiet_route_history,439,439,87,0.19817767653758542,0.7030433646812957,0.4207034154539595
alarm,development_main,all_alarms_continue_vs_intervene,quiet_graph_response,439,439,87,0.19817767653758542,0.47573798328108674,0.19752134278210853
alarm,development_main,all_alarms_continue_vs_intervene,quiet_conditional_front,439,439,87,0.19817767653758542,0.5339439655172414,0.24013664636939203
alarm,development_main,all_alarms_continue_vs_intervene,quiet_state_shape_settling,439,439,87,0.19817767653758542,0.49113440438871475,0.19290593444532914
alarm,development_main,all_alarms_continue_vs_intervene,quiet_route_graph_equal,439,439,87,0.19817767653758542,0.5809495820271683,0.2807268507592714
alarm,external_8b,risk_only_late_vs_persistent,quiet_route_history,410,410,27,0.06585365853658537,0.6637655932695097,0.18723597957285767
alarm,external_8b,risk_only_late_vs_persistent,quiet_graph_response,410,409,27,0.06585365853658537,0.6808706612371533,0.13180608327019425
alarm,external_8b,risk_only_late_vs_persistent,quiet_conditional_front,410,409,27,0.06585365853658537,0.6551289509404692,0.12740237053353218
alarm,external_8b,risk_only_late_vs_persistent,quiet_state_shape_settling,410,409,27,0.06585365853658537,0.6878029862323056,0.1388649706939376
alarm,external_8b,risk_only_late_vs_persistent,quiet_route_graph_equal,410,410,27,0.06585365853658537,0.6877478000193404,0.19587819989014563
alarm,external_8b,all_alarms_continue_vs_intervene,quiet_route_history,491,491,108,0.219959266802444,0.6769896528382169,0.3845741497610712
alarm,external_8b,all_alarms_continue_vs_intervene,quiet_graph_response,491,490,108,0.219959266802444,0.5429392088423503,0.26649166731503027
alarm,external_8b,all_alarms_continue_vs_intervene,quiet_conditional_front,491,490,108,0.219959266802444,0.6238365328679465,0.307905808155295
alarm,external_8b,all_alarms_continue_vs_intervene,quiet_state_shape_settling,491,490,108,0.219959266802444,0.45472173744425054,0.21830189682027354
alarm,external_8b,all_alarms_continue_vs_intervene,quiet_route_graph_equal,491,491,108,0.219959266802444,0.617735228701286,0.3332732552771959
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,graph_conditional_release,372,372,20,0.053763440860215055,0.7397017045454546,0.17219585683358213
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,graph_gap_release,372,372,20,0.053763440860215055,0.7217329545454545,0.15719528837113242
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,graph_homeostasis_release,372,372,20,0.053763440860215055,0.6083806818181818,0.22979204372545975
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,route_activity_release,372,372,20,0.053763440860215055,0.6758522727272727,0.15594690160548097
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,layer_back_handoff,372,372,20,0.053763440860215055,0.7404829545454545,0.23311029359090424
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,restart_graph_route_equal,372,372,20,0.053763440860215055,0.718465909090909,0.18334565958739132
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,restart_graph_route_layer_equal,372,372,20,0.053763440860215055,0.7261363636363637,0.2809626535123521
terminal_minus_alarm,development_main,risk_only_late_vs_persistent,restart_homeostasis_route_layer_equal,372,372,20,0.053763440860215055,0.7119318181818182,0.3127741025468796
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,graph_conditional_release,410,409,27,0.06585365853658537,0.7342931937172775,0.16879444238818864
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,graph_gap_release,410,409,27,0.06585365853658537,0.7268276129532674,0.17116194385130226
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,graph_homeostasis_release,410,409,27,0.06585365853658537,0.6713690129920497,0.1948359318535594
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,route_activity_release,410,410,27,0.06585365853658537,0.6631853785900783,0.15809789398213994
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,layer_back_handoff,410,410,27,0.06585365853658537,0.7094091480514456,0.2216147177592645
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,restart_graph_route_equal,410,410,27,0.06585365853658537,0.7253650517358089,0.1858387698275679
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,restart_graph_route_layer_equal,410,410,27,0.06585365853658537,0.7324243303355574,0.25687682523861927
terminal_minus_alarm,external_8b,risk_only_late_vs_persistent,restart_homeostasis_route_layer_equal,410,410,27,0.06585365853658537,0.6890049318247751,0.24330730796971775
