method,cohort,suite,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v7_frozen,all,libero_goal,8000,208,7792,143,1,65,7791,0.6875,0.00012833675564681725,0.9930555555555556,109,24.0,25.0
v7_frozen,all,libero_long,8000,541,7459,461,132,80,7327,0.8521256931608133,0.017696742190642177,0.7774030354131535,450,32.0,24.0
v7_frozen,all,libero_object,8000,81,7919,45,15,36,7904,0.5555555555555556,0.0018941785578987247,0.75,37,20.0,17.0
v7_frozen,all,libero_spatial,8000,266,7734,210,3,56,7731,0.7894736842105263,0.0003878975950349108,0.9859154929577465,45,19.0,17.0
v7_frozen,A,libero_goal,4000,102,3898,70,0,32,3898,0.6862745098039216,0.0,1.0,48,25.0,
v7_frozen,A,libero_long,4000,267,3733,225,63,42,3670,0.8426966292134831,0.01687650683096705,0.78125,219,32.0,26.0
v7_frozen,A,libero_object,4000,37,3963,23,7,14,3956,0.6216216216216216,0.0017663386323492304,0.7666666666666667,20,19.0,12.0
v7_frozen,A,libero_spatial,4000,126,3874,102,0,24,3874,0.8095238095238095,0.0,1.0,23,19.0,
v7_frozen,B,libero_goal,4000,106,3894,73,1,33,3893,0.6886792452830188,0.00025680534155110427,0.9864864864864865,61,24.0,25.0
v7_frozen,B,libero_long,4000,274,3726,236,69,38,3657,0.8613138686131386,0.018518518518518517,0.7737704918032787,231,32.0,23.0
v7_frozen,B,libero_object,4000,44,3956,22,8,22,3948,0.5,0.0020222446916076846,0.7333333333333333,17,21.0,17.5
v7_frozen,B,libero_spatial,4000,140,3860,108,3,32,3857,0.7714285714285715,0.0007772020725388601,0.972972972972973,22,19.0,17.0
v7_frozen,A_geometry_holdout,libero_goal,800,20,780,11,0,9,780,0.55,0.0,1.0,9,16.0,
v7_frozen,A_geometry_holdout,libero_long,800,50,750,44,12,6,738,0.88,0.016,0.7857142857142857,42,32.0,30.0
v7_frozen,A_geometry_holdout,libero_object,800,13,787,8,1,5,786,0.6153846153846154,0.0012706480304955528,0.8888888888888888,6,20.5,19.0
v7_frozen,A_geometry_holdout,libero_spatial,800,27,773,23,0,4,773,0.8518518518518519,0.0,1.0,6,19.0,
v8_frozen,all,libero_goal,8000,208,7792,165,11,43,7781,0.7932692307692307,0.0014117043121149898,0.9375,133,22.0,13.0
v8_frozen,all,libero_long,8000,541,7459,463,139,78,7320,0.8558225508317929,0.01863520579166108,0.7691029900332226,452,32.0,24.0
v8_frozen,all,libero_object,8000,81,7919,48,15,33,7904,0.5925925925925926,0.0018941785578987247,0.7619047619047619,39,20.0,17.0
v8_frozen,all,libero_spatial,8000,266,7734,227,3,39,7731,0.8533834586466166,0.0003878975950349108,0.9869565217391304,75,19.0,17.0
v8_frozen,A,libero_goal,4000,102,3898,82,2,20,3896,0.803921568627451,0.000513083632632119,0.9761904761904762,61,22.5,18.5
v8_frozen,A,libero_long,4000,267,3733,227,68,40,3665,0.850187265917603,0.018215912135012054,0.7694915254237288,221,32.0,25.0
v8_frozen,A,libero_object,4000,37,3963,25,7,12,3956,0.6756756756756757,0.0017663386323492304,0.78125,21,19.0,12.0
v8_frozen,A,libero_spatial,4000,126,3874,109,0,17,3874,0.8650793650793651,0.0,1.0,38,18.0,
v8_frozen,B,libero_goal,4000,106,3894,83,9,23,3885,0.7830188679245284,0.0023112480739599386,0.9021739130434783,72,22.0,12.0
v8_frozen,B,libero_long,4000,274,3726,236,71,38,3655,0.8613138686131386,0.0190552871712292,0.7687296416938111,231,32.0,23.0
v8_frozen,B,libero_object,4000,44,3956,23,8,21,3948,0.5227272727272727,0.0020222446916076846,0.7419354838709677,18,21.0,17.5
v8_frozen,B,libero_spatial,4000,140,3860,118,3,22,3857,0.8428571428571429,0.0007772020725388601,0.9752066115702479,37,19.0,17.0
v8_frozen,A_geometry_holdout,libero_goal,800,20,780,18,1,2,779,0.9,0.001282051282051282,0.9473684210526315,17,21.0,20.0
v8_frozen,A_geometry_holdout,libero_long,800,50,750,44,12,6,738,0.88,0.016,0.7857142857142857,42,32.0,30.0
v8_frozen,A_geometry_holdout,libero_object,800,13,787,9,1,4,786,0.6923076923076923,0.0012706480304955528,0.9,7,20.0,19.0
v8_frozen,A_geometry_holdout,libero_spatial,800,27,773,24,0,3,773,0.8888888888888888,0.0,1.0,7,19.0,
v82_frozen,all,libero_goal,8000,208,7792,172,14,36,7778,0.8269230769230769,0.0017967145790554414,0.9247311827956989,138,21.0,14.5
v82_frozen,all,libero_long,8000,541,7459,471,149,70,7310,0.8706099815157117,0.019975868078830943,0.7596774193548387,459,32.0,23.0
v82_frozen,all,libero_object,8000,81,7919,58,15,23,7904,0.7160493827160493,0.0018941785578987247,0.7945205479452054,46,20.0,17.0
v82_frozen,all,libero_spatial,8000,266,7734,232,4,34,7730,0.8721804511278195,0.000517196793379881,0.9830508474576272,86,18.0,15.5
v82_frozen,A,libero_goal,4000,102,3898,85,4,17,3894,0.8333333333333334,0.001026167265264238,0.9550561797752809,64,21.0,18.0
v82_frozen,A,libero_long,4000,267,3733,232,72,35,3661,0.8689138576779026,0.01928743637824806,0.7631578947368421,225,32.0,24.5
v82_frozen,A,libero_object,4000,37,3963,28,7,9,3956,0.7567567567567568,0.0017663386323492304,0.8,22,20.0,12.0
v82_frozen,A,libero_spatial,4000,126,3874,113,0,13,3874,0.8968253968253969,0.0,1.0,46,18.0,
v82_frozen,B,libero_goal,4000,106,3894,87,10,19,3884,0.8207547169811321,0.0025680534155110425,0.8969072164948454,74,21.0,12.5
v82_frozen,B,libero_long,4000,274,3726,239,77,35,3649,0.8722627737226277,0.020665593129361247,0.7563291139240507,234,32.0,22.0
v82_frozen,B,libero_object,4000,44,3956,30,8,14,3948,0.6818181818181818,0.0020222446916076846,0.7894736842105263,24,20.0,17.5
v82_frozen,B,libero_spatial,4000,140,3860,119,4,21,3856,0.85,0.0010362694300518134,0.967479674796748,40,19.0,15.5
v82_frozen,A_geometry_holdout,libero_goal,800,20,780,18,1,2,779,0.9,0.001282051282051282,0.9473684210526315,17,16.0,20.0
v82_frozen,A_geometry_holdout,libero_long,800,50,750,44,13,6,737,0.88,0.017333333333333333,0.7719298245614035,42,32.0,28.0
v82_frozen,A_geometry_holdout,libero_object,800,13,787,9,1,4,786,0.6923076923076923,0.0012706480304955528,0.9,7,20.0,19.0
