method,cohort,query_cutoff,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
v7_frozen,all,7,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v7_frozen,all,10,32000,1096,30904,28,2,1068,30902,0.025547445255474453,6.471654154801968e-05,0.9333333333333333,28,8.0,8.5
v7_frozen,all,13,32000,1096,30904,36,9,1060,30895,0.032846715328467155,0.00029122443696608856,0.8,36,9.0,12.0
v7_frozen,all,20,32000,1096,30904,287,50,809,30854,0.26186131386861317,0.0016179135387004919,0.8516320474777448,162,18.0,18.0
v7_frozen,all,51,32000,1096,30904,859,151,237,30753,0.7837591240875912,0.0048860988868754856,0.8504950495049505,641,25.0,23.0
v7_frozen,A,7,16000,532,15468,2,0,530,15468,0.0037593984962406013,0.0,1.0,2,7.0,
v7_frozen,A,10,16000,532,15468,14,1,518,15467,0.02631578947368421,6.464959917248513e-05,0.9333333333333333,14,8.0,10.0
v7_frozen,A,13,16000,532,15468,16,5,516,15463,0.03007518796992481,0.00032324799586242565,0.7619047619047619,16,8.5,12.0
v7_frozen,A,20,16000,532,15468,145,21,387,15447,0.2725563909774436,0.0013576415826221878,0.8734939759036144,84,18.0,17.0
v7_frozen,A,51,16000,532,15468,420,70,112,15398,0.7894736842105263,0.004525471942073959,0.8571428571428571,310,25.0,24.5
v7_frozen,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v7_frozen,B,10,16000,564,15436,14,1,550,15435,0.024822695035460994,6.47836227001814e-05,0.9333333333333333,14,8.5,7.0
v7_frozen,B,13,16000,564,15436,20,4,544,15432,0.03546099290780142,0.0002591344908007256,0.8333333333333334,20,9.5,12.5
v7_frozen,B,20,16000,564,15436,142,29,422,15407,0.25177304964539005,0.0018787250583052605,0.8304093567251462,78,17.0,18.0
v7_frozen,B,51,16000,564,15436,439,81,125,15355,0.7783687943262412,0.005247473438714693,0.8442307692307692,331,25.0,22.0
v7_frozen,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
v7_frozen,A_geometry_holdout,10,3200,110,3090,1,0,109,3090,0.00909090909090909,0.0,1.0,1,8.0,
v7_frozen,A_geometry_holdout,13,3200,110,3090,2,0,108,3090,0.01818181818181818,0.0,1.0,2,10.5,
v7_frozen,A_geometry_holdout,20,3200,110,3090,37,3,73,3087,0.33636363636363636,0.000970873786407767,0.925,24,17.0,17.0
v7_frozen,A_geometry_holdout,51,3200,110,3090,86,13,24,3077,0.7818181818181819,0.004207119741100324,0.8686868686868687,63,21.5,28.0
v8_frozen,all,7,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v8_frozen,all,10,32000,1096,30904,31,4,1065,30900,0.028284671532846715,0.00012943308309603936,0.8857142857142857,31,9.0,9.5
v8_frozen,all,13,32000,1096,30904,47,15,1049,30889,0.04288321167883212,0.00048537406161014754,0.7580645161290323,47,10.0,12.0
v8_frozen,all,20,32000,1096,30904,341,61,755,30843,0.31113138686131386,0.0019738545172146,0.8482587064676617,220,17.0,17.0
v8_frozen,all,51,32000,1096,30904,903,168,193,30736,0.823905109489051,0.005436189490033653,0.8431372549019608,699,25.0,22.0
v8_frozen,A,7,16000,532,15468,2,0,530,15468,0.0037593984962406013,0.0,1.0,2,7.0,
v8_frozen,A,10,16000,532,15468,16,1,516,15467,0.03007518796992481,6.464959917248513e-05,0.9411764705882353,16,8.5,10.0
v8_frozen,A,13,16000,532,15468,21,5,511,15463,0.039473684210526314,0.00032324799586242565,0.8076923076923077,21,9.0,12.0
v8_frozen,A,20,16000,532,15468,168,24,364,15444,0.3157894736842105,0.0015515903801396431,0.875,111,17.0,17.5
v8_frozen,A,51,16000,532,15468,443,77,89,15391,0.8327067669172933,0.004978019136281355,0.8519230769230769,341,25.0,22.0
v8_frozen,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v8_frozen,B,10,16000,564,15436,15,3,549,15433,0.026595744680851064,0.00019435086810054417,0.8333333333333334,15,9.0,9.0
v8_frozen,B,13,16000,564,15436,26,10,538,15426,0.04609929078014184,0.000647836227001814,0.7222222222222222,26,10.0,12.0
v8_frozen,B,20,16000,564,15436,173,37,391,15399,0.3067375886524823,0.0023969940399067116,0.8238095238095238,109,17.0,17.0
v8_frozen,B,51,16000,564,15436,460,91,104,15345,0.8156028368794326,0.005895309665716507,0.8348457350272233,358,24.5,22.0
v8_frozen,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
v8_frozen,A_geometry_holdout,10,3200,110,3090,1,0,109,3090,0.00909090909090909,0.0,1.0,1,8.0,
v8_frozen,A_geometry_holdout,13,3200,110,3090,2,0,108,3090,0.01818181818181818,0.0,1.0,2,10.5,
v8_frozen,A_geometry_holdout,20,3200,110,3090,43,4,67,3086,0.39090909090909093,0.0012944983818770227,0.9148936170212766,29,17.0,18.0
v8_frozen,A_geometry_holdout,51,3200,110,3090,95,14,15,3076,0.8636363636363636,0.004530744336569579,0.8715596330275229,73,21.0,26.5
v82_frozen,all,7,32000,1096,30904,2,1,1094,30903,0.0018248175182481751,3.235827077400984e-05,0.6666666666666666,2,7.0,7.0
v82_frozen,all,10,32000,1096,30904,35,4,1061,30900,0.03193430656934307,0.00012943308309603936,0.8974358974358975,35,9.0,9.5
v82_frozen,all,13,32000,1096,30904,55,17,1041,30887,0.05018248175182482,0.0005500906031581672,0.7638888888888888,55,10.0,12.0
v82_frozen,all,20,32000,1096,30904,371,68,725,30836,0.3385036496350365,0.002200362412632669,0.8451025056947609,255,17.0,17.5
v82_frozen,all,51,32000,1096,30904,933,182,163,30722,0.8512773722627737,0.00588920528086979,0.8367713004484305,729,25.0,21.0
v82_frozen,A,7,16000,532,15468,2,0,530,15468,0.0037593984962406013,0.0,1.0,2,7.0,
v82_frozen,A,10,16000,532,15468,18,1,514,15467,0.03383458646616541,6.464959917248513e-05,0.9473684210526315,18,9.0,10.0
v82_frozen,A,13,16000,532,15468,26,5,506,15463,0.04887218045112782,0.00032324799586242565,0.8387096774193549,26,10.0,12.0
v82_frozen,A,20,16000,532,15468,182,26,350,15442,0.34210526315789475,0.0016808895784846134,0.875,129,17.0,18.0
v82_frozen,A,51,16000,532,15468,458,83,74,15385,0.8609022556390977,0.0053659167313162654,0.8465804066543438,357,25.0,22.0
v82_frozen,B,7,16000,564,15436,0,1,564,15435,0.0,6.47836227001814e-05,0.0,0,,7.0
v82_frozen,B,10,16000,564,15436,17,3,547,15433,0.030141843971631204,0.00019435086810054417,0.85,17,9.0,9.0
v82_frozen,B,13,16000,564,15436,29,12,535,15424,0.051418439716312055,0.0007774034724021767,0.7073170731707317,29,10.0,11.5
v82_frozen,B,20,16000,564,15436,189,42,375,15394,0.3351063829787234,0.0027209121534076184,0.8181818181818182,126,17.0,17.0
v82_frozen,B,51,16000,564,15436,475,99,89,15337,0.8421985815602837,0.006413578647317958,0.8275261324041812,372,24.0,21.0
v82_frozen,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
v82_frozen,A_geometry_holdout,10,3200,110,3090,3,0,107,3090,0.02727272727272727,0.0,1.0,3,10.0,
v82_frozen,A_geometry_holdout,13,3200,110,3090,5,0,105,3090,0.045454545454545456,0.0,1.0,5,10.0,
v82_frozen,A_geometry_holdout,20,3200,110,3090,49,4,61,3086,0.44545454545454544,0.0012944983818770227,0.9245283018867925,38,17.0,18.0
v82_frozen,A_geometry_holdout,51,3200,110,3090,95,15,15,3075,0.8636363636363636,0.0048543689320388345,0.8636363636363636,76,20.0,25.0
knn20,all,7,32000,1096,30904,5,1,1091,30903,0.004562043795620438,3.235827077400984e-05,0.8333333333333334,5,7.0,7.0
knn20,all,10,32000,1096,30904,39,24,1057,30880,0.035583941605839414,0.000776598498576236,0.6190476190476191,39,9.0,10.0
knn20,all,13,32000,1096,30904,151,110,945,30794,0.13777372262773724,0.003559409785141082,0.578544061302682,151,11.0,11.5
knn20,all,20,32000,1096,30904,483,272,613,30632,0.4406934306569343,0.008801449650530676,0.6397350993377483,414,15.0,14.0
knn20,all,51,32000,1096,30904,1010,426,86,30478,0.9215328467153284,0.01378462334972819,0.7033426183844012,886,22.0,18.0
knn20,A,7,16000,532,15468,3,0,529,15468,0.005639097744360902,0.0,1.0,3,7.0,
knn20,A,10,16000,532,15468,23,13,509,15455,0.043233082706766915,0.0008404447892423067,0.6388888888888888,23,9.0,10.0
knn20,A,13,16000,532,15468,76,52,456,15416,0.14285714285714285,0.0033617791569692267,0.59375,76,12.0,11.0
knn20,A,20,16000,532,15468,238,129,294,15339,0.4473684210526316,0.008339798293250583,0.6485013623978202,208,15.0,14.0
knn20,A,51,16000,532,15468,493,211,39,15257,0.9266917293233082,0.013641065425394363,0.7002840909090909,434,22.0,18.0
knn20,B,7,16000,564,15436,2,1,562,15435,0.0035460992907801418,6.47836227001814e-05,0.6666666666666666,2,7.0,7.0
knn20,B,10,16000,564,15436,16,11,548,15425,0.028368794326241134,0.0007126198497019953,0.5925925925925926,16,9.0,10.0
knn20,B,13,16000,564,15436,75,58,489,15378,0.13297872340425532,0.003757450116610521,0.5639097744360902,75,11.0,12.0
knn20,B,20,16000,564,15436,245,143,319,15293,0.43439716312056736,0.009264058046125939,0.6314432989690721,206,15.0,14.0
knn20,B,51,16000,564,15436,517,215,47,15221,0.9166666666666666,0.013928478880539,0.7062841530054644,452,22.0,18.0
knn20,A_geometry_holdout,7,3200,110,3090,0,0,110,3090,0.0,0.0,,0,,
knn20,A_geometry_holdout,10,3200,110,3090,1,4,109,3086,0.00909090909090909,0.0012944983818770227,0.2,1,8.0,10.0
knn20,A_geometry_holdout,13,3200,110,3090,13,14,97,3076,0.11818181818181818,0.004530744336569579,0.48148148148148145,13,12.0,12.0
knn20,A_geometry_holdout,20,3200,110,3090,63,30,47,3060,0.5727272727272728,0.009708737864077669,0.6774193548387096,55,16.0,14.0
knn20,A_geometry_holdout,51,3200,110,3090,101,44,9,3046,0.9181818181818182,0.01423948220064725,0.696551724137931,90,18.0,18.0
c4_assigned_radius,all,7,32000,1096,30904,0,0,1096,30904,0.0,0.0,,0,,
c4_assigned_radius,all,10,32000,1096,30904,41,39,1055,30865,0.037408759124087594,0.0012619725601863837,0.5125,41,10.0,10.0
