episode_id,group,success,n_q,scale_level,abstain,n_alarms,alarm_steps,alarm_channels,first_alarm_q,first_alarm_channel,first_loop_alarm_q,first_static_alarm_q,loop_n_entries,static_max_run,loop_onset_q,static_onset_q
0,0,0,52,group,0,1,36,loop,36,loop,36,-1,3,0,33,-1
1,0,1,43,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
2,0,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
3,0,0,52,group,0,1,36,loop,36,loop,36,-1,2,0,40,-1
4,0,1,37,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
5,0,0,52,group,0,0,,,-1,none,-1,-1,2,1,-1,37
6,0,1,46,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
7,0,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
8,1,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,36
9,1,1,38,group,0,1,34,loop,34,loop,34,-1,3,0,-1,-1
10,1,0,52,group,0,1,17,loop,17,loop,17,-1,2,0,-1,36
11,1,1,47,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
12,1,1,37,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
13,1,0,52,group,0,2,17|38,loop|loop,17,loop,17,-1,2,0,35,-1
14,1,0,52,group,0,1,36,loop,36,loop,36,-1,3,0,33,-1
15,1,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
16,2,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
17,2,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,36
18,2,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,36
19,2,0,52,group,0,1,36,loop,36,loop,36,-1,3,0,33,-1
20,2,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
21,2,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
22,2,0,52,group,0,1,35,loop,35,loop,35,-1,3,0,33,-1
23,2,0,52,group,0,1,44,loop,44,loop,44,-1,3,0,40,-1
24,3,0,52,group,0,0,,,-1,none,-1,-1,3,0,-1,38
25,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,38
26,3,0,52,group,0,1,41,loop,41,loop,41,-1,2,0,44,-1
27,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,38
28,3,0,52,group,0,1,39,loop,39,loop,39,-1,3,0,46,-1
29,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,38
30,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
31,3,1,37,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
32,4,0,52,group,0,1,42,loop,42,loop,42,-1,2,1,38,-1
33,4,1,39,group,0,1,16,loop,16,loop,16,-1,3,1,-1,-1
34,4,1,39,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
35,4,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
36,4,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
37,4,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
38,4,1,41,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
39,4,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
40,5,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
41,5,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
42,5,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
43,5,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
44,5,1,38,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
45,5,1,38,group,0,1,34,loop,34,loop,34,-1,2,1,-1,-1
46,5,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
47,5,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
48,6,1,37,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
49,6,1,38,group,0,1,35,loop,35,loop,35,-1,3,2,-1,-1
50,6,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
51,6,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
52,6,1,38,group,0,0,,,-1,none,-1,-1,4,2,-1,-1
53,6,1,38,group,0,1,34,loop,34,loop,34,-1,1,2,-1,-1
54,6,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
55,6,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
56,7,1,38,group,0,1,34,loop,34,loop,34,-1,1,1,-1,-1
57,7,1,41,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
58,7,1,42,group,0,0,,,-1,none,-1,-1,0,0,-1,-1
59,7,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
60,7,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
61,7,1,40,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
62,7,1,44,group,0,0,,,-1,none,-1,-1,1,2,-1,-1
63,7,1,42,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
64,8,1,40,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
65,8,0,52,group,0,1,40,loop,40,loop,40,-1,1,1,44,-1
66,8,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
67,8,1,41,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
68,8,0,52,group,0,1,48,loop,48,loop,48,-1,2,1,46,-1
69,8,0,52,group,0,1,44,loop,44,loop,44,-1,1,1,43,-1
70,8,0,52,group,0,1,41,loop,41,loop,41,-1,1,1,50,-1
71,8,0,52,group,0,1,47,loop,47,loop,47,-1,2,1,46,-1
72,9,1,40,group,0,1,35,loop,35,loop,35,-1,1,1,-1,-1
73,9,1,38,group,0,0,,,-1,none,-1,-1,4,1,-1,-1
74,9,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
75,9,1,38,group,0,0,,,-1,none,-1,-1,1,1,20,-1
76,9,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
77,9,1,39,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
78,9,1,37,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
79,9,1,37,group,0,1,34,loop,34,loop,34,-1,2,1,-1,-1
80,10,1,44,group,0,0,,,-1,none,-1,-1,3,0,31,-1
81,10,0,52,group,0,0,,,-1,none,-1,-1,1,2,49,-1
82,10,1,46,group,0,1,35,loop,35,loop,35,-1,2,0,33,-1
83,10,1,48,group,0,0,,,-1,none,-1,-1,4,0,35,-1
