episode_id,group,success,n_q,scale_level,abstain,n_alarms,alarm_steps,alarm_channels,first_alarm_q,first_alarm_channel,first_loop_alarm_q,first_static_alarm_q,loop_n_entries,static_max_run,loop_onset_q,static_onset_q
0,0,0,52,group,0,1,37,loop,37,loop,37,-1,3,0,-1,50
1,0,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
2,0,1,37,group,0,1,33,loop,33,loop,33,-1,2,0,-1,-1
3,0,0,52,group,0,1,47,loop,47,loop,47,-1,2,0,-1,38
4,0,1,38,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
5,0,0,52,group,0,1,47,loop,47,loop,47,-1,2,0,-1,38
6,0,1,39,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
7,0,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
8,0,1,38,group,0,1,34,loop,34,loop,34,-1,2,0,-1,-1
9,0,0,52,group,0,1,37,loop,37,loop,37,-1,3,0,35,-1
10,0,1,38,group,0,1,34,loop,34,loop,34,-1,3,0,-1,-1
11,0,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
12,0,1,42,group,0,1,39,loop,39,loop,39,-1,2,0,-1,-1
13,0,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
14,0,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
15,0,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
16,0,0,52,group,0,0,,,-1,none,-1,-1,3,0,-1,39
17,0,0,52,group,0,1,38,loop,38,loop,38,-1,3,0,33,-1
18,0,0,52,group,0,1,46,loop,46,loop,46,-1,3,1,-1,39
19,0,1,38,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
20,0,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
21,0,1,38,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
22,0,1,37,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
23,0,0,52,group,0,1,45,loop,45,loop,45,-1,3,1,-1,40
24,0,0,52,group,0,1,38,loop,38,loop,38,-1,2,0,-1,-1
25,0,1,37,group,0,1,33,loop,33,loop,33,-1,2,0,-1,-1
26,0,1,38,group,0,1,33,loop,33,loop,33,-1,2,0,-1,-1
27,0,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
28,0,0,52,group,0,1,36,loop,36,loop,36,-1,3,0,33,-1
29,0,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
30,0,0,52,group,0,1,36,loop,36,loop,36,-1,3,0,33,-1
31,0,0,52,group,0,1,50,loop,50,loop,50,-1,3,0,-1,37
32,3,0,52,group,0,0,,,-1,none,-1,-1,3,0,-1,38
33,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,38
34,3,0,52,group,0,1,41,loop,41,loop,41,-1,2,0,-1,-1
35,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
36,3,0,52,group,0,1,39,loop,39,loop,39,-1,2,0,-1,-1
37,3,0,52,group,0,0,,,-1,none,-1,-1,1,1,-1,38
38,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
39,3,1,39,group,0,1,35,loop,35,loop,35,-1,3,0,-1,-1
40,3,0,52,group,0,1,42,loop,42,loop,42,-1,3,0,45,-1
41,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
42,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
43,3,1,50,group,0,0,,,-1,none,-1,-1,4,0,43,-1
44,3,0,52,group,0,1,40,loop,40,loop,40,-1,2,0,49,-1
45,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
46,3,0,52,group,0,1,38,loop,38,loop,38,-1,2,0,42,50
47,3,1,38,group,0,1,35,loop,35,loop,35,-1,2,0,-1,-1
48,3,0,52,group,0,1,38,loop,38,loop,38,-1,3,0,44,-1
49,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
50,3,0,52,group,0,1,40,loop,40,loop,40,-1,2,0,45,-1
51,3,1,40,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
52,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
53,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,39
54,3,0,52,group,0,0,,,-1,none,-1,-1,3,0,49,38
55,3,0,52,group,0,1,40,loop,40,loop,40,-1,2,0,49,-1
56,3,0,52,group,0,0,,,-1,none,-1,-1,3,0,47,39
57,3,0,52,group,0,1,40,loop,40,loop,40,-1,2,0,-1,-1
58,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,39
59,3,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
60,3,0,52,group,0,0,,,-1,none,-1,-1,1,0,-1,38
61,3,0,52,group,0,0,,,-1,none,-1,-1,0,0,-1,39
62,3,0,52,group,0,1,38,loop,38,loop,38,-1,3,0,45,-1
63,3,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,40
64,7,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
65,7,1,38,group,0,1,37,loop,37,loop,37,-1,1,0,-1,-1
66,7,0,52,group,0,1,44,loop,44,loop,44,-1,1,0,46,-1
67,7,1,39,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
68,7,1,39,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
69,7,0,52,group,0,1,47,loop,47,loop,47,-1,1,1,44,36
70,7,1,44,group,0,0,,,-1,none,-1,-1,0,0,-1,-1
71,7,1,40,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
72,7,1,39,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
73,7,1,48,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
74,7,0,52,group,0,1,46,loop,46,loop,46,-1,1,1,45,-1
75,7,1,38,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
76,7,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
77,7,1,38,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
78,7,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
79,7,1,38,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
80,7,1,52,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
81,7,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
82,7,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
83,7,1,39,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
84,7,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
85,7,1,37,group,0,0,,,-1,none,-1,-1,0,0,-1,-1
86,7,1,40,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
87,7,1,40,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
88,7,1,38,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
89,7,1,40,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
90,7,1,39,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
91,7,1,38,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
92,7,1,38,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
93,7,1,37,group,0,1,34,loop,34,loop,34,-1,2,1,-1,-1
94,7,1,38,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
95,7,1,37,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
96,10,0,52,group,0,1,35,loop,35,loop,35,-1,2,2,32,-1
97,10,0,52,group,0,1,42,loop,42,loop,42,-1,1,1,-1,35
98,10,0,52,group,0,1,34,loop,34,loop,34,-1,2,0,32,-1
99,10,0,52,group,0,1,35,loop,35,loop,35,-1,3,0,32,-1
100,10,1,50,group,0,0,,,-1,none,-1,-1,3,0,-1,35
101,10,0,52,group,0,1,44,loop,44,loop,44,-1,1,1,-1,35
102,10,0,52,group,0,1,47,loop,47,loop,47,-1,1,0,-1,35
103,10,1,38,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
104,10,1,36,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
105,10,0,52,group,0,1,36,loop,36,loop,36,-1,2,0,32,-1
106,10,0,52,group,0,1,42,loop,42,loop,42,-1,3,0,-1,-1
107,10,0,52,group,0,1,35,loop,35,loop,35,-1,2,0,-1,-1
108,10,1,38,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
109,10,0,52,group,0,1,43,loop,43,loop,43,-1,3,0,42,-1
110,10,0,52,group,0,1,37,loop,37,loop,37,-1,3,0,32,-1
111,10,1,37,group,0,0,,,-1,none,-1,-1,4,0,-1,-1
112,10,1,37,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
113,10,0,52,group,0,0,,,-1,none,-1,-1,1,0,41,35
114,10,0,52,group,0,1,37,loop,37,loop,37,-1,1,0,50,-1
115,10,1,39,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
116,10,0,52,group,0,1,46,loop,46,loop,46,-1,1,0,-1,35
117,10,0,52,group,0,1,37,loop,37,loop,37,-1,1,0,43,-1
118,10,0,52,group,0,1,42,loop,42,loop,42,-1,3,0,41,-1
119,10,0,52,group,0,1,38,loop,38,loop,38,-1,2,0,45,-1
120,10,1,47,group,0,0,,,-1,none,-1,-1,2,0,36,-1
121,10,0,52,group,0,1,48,loop,48,loop,48,-1,2,0,46,-1
122,10,0,52,group,0,1,34,loop,34,loop,34,-1,2,1,30,-1
123,10,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
124,10,0,52,group,0,0,,,-1,none,-1,-1,1,0,42,36
125,10,0,52,group,0,1,35,loop,35,loop,35,-1,3,0,33,-1
126,10,0,52,group,0,0,,,-1,none,-1,-1,1,0,47,-1
127,10,0,52,group,0,1,35,loop,35,loop,35,-1,2,0,-1,-1
128,13,1,36,group,0,1,34,loop,34,loop,34,-1,3,0,-1,-1
129,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
130,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,46
131,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,36
132,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,36
133,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
134,13,1,47,group,0,2,17|44,loop|loop,17,loop,17,-1,2,0,-1,-1
135,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
136,13,1,44,group,0,1,17,loop,17,loop,17,-1,3,0,-1,-1
137,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
138,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,38
139,13,1,37,group,0,1,35,loop,35,loop,35,-1,3,0,-1,-1
140,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,38
141,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
142,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,39
143,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,37
144,13,0,52,group,0,1,16,loop,16,loop,16,-1,2,0,-1,36
145,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,38
146,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,37
147,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
148,13,1,40,group,0,1,17,loop,17,loop,17,-1,3,0,-1,-1
149,13,1,37,group,0,1,17,loop,17,loop,17,-1,3,0,-1,-1
150,13,0,52,group,0,1,17,loop,17,loop,17,-1,3,0,-1,37
151,13,1,38,group,0,2,16|35,loop|loop,16,loop,16,-1,2,0,-1,-1
152,13,0,52,group,0,2,17|41,loop|loop,17,loop,17,-1,2,0,-1,37
153,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
154,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
155,13,0,52,group,0,1,17,loop,17,loop,17,-1,1,0,-1,37
156,13,1,40,group,0,1,16,loop,16,loop,16,-1,3,0,-1,-1
157,13,1,45,group,0,1,17,loop,17,loop,17,-1,3,0,-1,-1
158,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,39
159,13,0,52,group,0,1,16,loop,16,loop,16,-1,1,0,-1,37
160,16,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
161,16,0,52,group,0,0,,,-1,none,-1,-1,3,1,51,35
162,16,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
163,16,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
164,16,1,38,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
165,16,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
166,16,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
167,16,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,36
168,16,1,36,group,0,1,33,loop,33,loop,33,-1,2,1,-1,-1
169,16,1,36,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
170,16,1,38,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
171,16,1,38,group,0,0,,,-1,none,-1,-1,1,0,-1,-1
172,16,0,52,group,0,0,,,-1,none,-1,-1,2,0,-1,37
173,16,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
174,16,1,38,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
175,16,1,37,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
176,16,1,36,group,0,1,32,loop,32,loop,32,-1,2,1,-1,-1
177,16,0,52,group,0,1,49,loop,49,loop,49,-1,3,1,-1,-1
178,16,1,38,group,0,0,,,-1,none,-1,-1,3,1,-1,-1
179,16,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
180,16,1,39,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
181,16,1,38,group,0,1,34,loop,34,loop,34,-1,2,1,-1,-1
182,16,1,39,group,0,1,33,loop,33,loop,33,-1,1,1,-1,-1
183,16,1,38,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
184,16,1,37,group,0,0,,,-1,none,-1,-1,3,0,-1,-1
185,16,1,38,group,0,1,16,loop,16,loop,16,-1,3,1,-1,-1
186,16,1,39,group,0,1,34,loop,34,loop,34,-1,2,0,-1,-1
187,16,1,36,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
188,16,1,39,group,0,0,,,-1,none,-1,-1,2,1,-1,-1
189,16,1,37,group,0,0,,,-1,none,-1,-1,2,0,-1,-1
190,16,1,37,group,0,1,34,loop,34,loop,34,-1,1,1,-1,-1
191,16,1,38,group,0,1,35,loop,35,loop,35,-1,2,1,-1,-1
192,20,1,40,group,0,0,,,-1,none,-1,-1,1,1,-1,-1
193,20,1,39,group,0,0,,,-1,none,-1,-1,0,1,-1,-1
194,20,1,38,group,0,0,,,-1,none,-1,-1,2,2,-1,-1
