layer,new,existing,pearson,spearman_40k
L2,shape_pr,conditional_effective_rank,0.05283007511675534,0.0064792538149260745
L2,shape_pr,conditional_energy,-0.12757837376947545,-0.130462295494444
L2,shape_pr,partial_edge_std,-0.12845721657327255,-0.16224529543651947
L2,shape_erank,conditional_effective_rank,-0.0017963210863866722,-0.035308304608887404
L2,shape_erank,conditional_energy,-0.11687636125692698,-0.1238989451972317
L2,shape_erank,partial_edge_std,-0.1801965018059218,-0.2050390076587012
L2,lam1_share,conditional_effective_rank,-0.06919472596030157,-0.03285453123252591
L2,lam1_share,conditional_energy,0.13297985421259756,0.1326311775892239
L2,lam1_share,partial_edge_std,0.1044782159670817,0.1269608451438325
L2,size,conditional_effective_rank,0.5086848334114958,0.5239199925777727
L2,size,conditional_energy,0.1351429545299933,0.15884795743721425
L2,size,partial_edge_std,0.48909148919613893,0.529750119133792
L2,procrustes_layer,conditional_effective_rank,0.29426706907970096,0.19200769839241955
L2,procrustes_layer,conditional_energy,-0.05252388285761279,-0.051377290865190314
L2,procrustes_layer,partial_edge_std,0.2269997872299236,0.16184368416507788
L2,bandedness,conditional_effective_rank,-0.1361654148463717,-0.10223080649156616
L2,bandedness,conditional_energy,0.16147095884159765,0.14185103328947046
L2,bandedness,partial_edge_std,-0.12752543328773483,-0.13481023046432997
L3,shape_pr,conditional_effective_rank,-0.04621595756368794,-0.02569170049175157
L3,shape_pr,conditional_energy,-0.09814811058775888,-0.12852121272542258
L3,shape_pr,partial_edge_std,-0.21914551370905364,-0.2338953099141597
L3,shape_erank,conditional_effective_rank,-0.08978319344037337,-0.07267712307831221
L3,shape_erank,conditional_energy,-0.0996045684524128,-0.1319766645661303
L3,shape_erank,partial_edge_std,-0.256380208961563,-0.2753025619240193
L3,lam1_share,conditional_effective_rank,0.017461011232009944,-0.004363452981835241
L3,lam1_share,conditional_energy,0.08639525451485461,0.11976729858568058
L3,lam1_share,partial_edge_std,0.1966997073202705,0.20252673338109853
L3,size,conditional_effective_rank,0.5143289490563602,0.4736529375853928
L3,size,conditional_energy,0.17457245902188231,0.2339172795986569
L3,size,partial_edge_std,0.4938768656974628,0.47391060277936237
L3,procrustes_layer,conditional_effective_rank,0.3620821870273359,0.22495337437552604
L3,procrustes_layer,conditional_energy,0.010814674174624754,0.038640046429160274
L3,procrustes_layer,partial_edge_std,0.33761036996114174,0.23466257977911603
L3,bandedness,conditional_effective_rank,-0.20162942415265075,-0.05842689521176856
L3,bandedness,conditional_energy,0.07457356457073204,0.09895561167698226
L3,bandedness,partial_edge_std,-0.1672848831223492,-0.037181297638840004
L4,shape_pr,conditional_effective_rank,-0.08349923713720482,-0.08961389239085206
L4,shape_pr,conditional_energy,0.05486429098245834,0.0588637754061854
L4,shape_pr,partial_edge_std,-0.25337324915531667,-0.2304838870500794
