cohort,feature,tasks,back_median,front_median,tasks_back_greater
development_main,procrustes_layer,37,0.06135699152946472,0.08493942022323608,0
development_main,bandedness,37,0.9037920236587524,0.7931858897209167,37
development_main,shape_pr,37,2.2257332801818848,2.700329542160034,0
development_main,lam1_share,37,0.6281788349151611,0.5597563982009888,37
development_main,d_cv,37,0.3892514109611511,0.37802451848983765,34
external_8b,procrustes_layer,39,0.06179887056350708,0.08429941534996033,0
external_8b,bandedness,39,0.9019390344619751,0.7908040285110474,39
external_8b,shape_pr,39,2.2187371253967285,2.7005324363708496,0
external_8b,lam1_share,39,0.6291180849075317,0.55934739112854,39
external_8b,d_cv,39,0.3905910849571228,0.38158857822418213,37
