layer,group,lag,mean_distance,min_distance,max_distance
L2,front,1,0.0390625074505806,0.03252343460917473,0.060208264738321304
L2,front,2,0.045774102210998535,0.03725085034966469,0.070142962038517
L2,front,3,0.05230865627527237,0.042311057448387146,0.07754895836114883
L2,front,4,0.058213189244270325,0.04741642251610756,0.08146306872367859
L2,front,5,0.06442637741565704,0.05279170721769333,0.08451498299837112
L2,front,6,0.07100804150104523,0.05926812067627907,0.08679860085248947
L2,front,7,0.07868783921003342,0.06834607571363449,0.08929374814033508
L2,front,8,0.0892057716846466,0.08578390628099442,0.0926276445388794
L2,front,9,0.10400677472352982,0.10400677472352982,0.10400677472352982
L3,front,1,0.041209619492292404,0.03590278699994087,0.058932531625032425
L3,front,2,0.049748826771974564,0.04247906431555748,0.0696939155459404
L3,front,3,0.05761992186307907,0.04985642060637474,0.07784794270992279
L3,front,4,0.06448737531900406,0.05634758248925209,0.08286191523075104
L3,front,5,0.07125043869018555,0.06387952715158463,0.08704820275306702
L3,front,6,0.07788580656051636,0.07014190405607224,0.09131136536598206
L3,front,7,0.08479093760251999,0.0781375840306282,0.0946137085556984
L3,front,8,0.09308158606290817,0.08704974502325058,0.09911342710256577
L3,front,9,0.10369037836790085,0.10369037836790085,0.10369037836790085
L4,front,1,0.041765082627534866,0.035975344479084015,0.06078317016363144
L4,front,2,0.05132882669568062,0.04363667964935303,0.07303661853075027
L4,front,3,0.060244832187891006,0.05187830328941345,0.08187305927276611
L4,front,4,0.0680154487490654,0.059064120054244995,0.08785789459943771
L4,front,5,0.07570035755634308,0.06685487180948257,0.09324605762958527
L4,front,6,0.08335315436124802,0.07416954636573792,0.09751898050308228
L4,front,7,0.09196379780769348,0.08366493135690689,0.10239233076572418
L4,front,8,0.1022314503788948,0.09738671034574509,0.10707619041204453
L4,front,9,0.11620131880044937,0.11620131880044937,0.11620131880044937
L5,front,1,0.05487785115838051,0.049380723387002945,0.07135320454835892
L5,front,2,0.06523676216602325,0.057458434253931046,0.08318749070167542
L5,front,3,0.07482343912124634,0.0663292407989502,0.09234052151441574
L5,front,4,0.08329937607049942,0.07423601299524307,0.09889307618141174
L5,front,5,0.09158982336521149,0.08281029015779495,0.10441871732473373
L5,front,6,0.09988288581371307,0.09103155881166458,0.10949468612670898
L5,front,7,0.108439601957798,0.09949082136154175,0.11384128034114838
L5,front,8,0.11829113960266113,0.11761650443077087,0.1189657673239708
L5,front,9,0.13043497502803802,0.13043497502803802,0.13043497502803802
L12,back,1,0.03744293749332428,0.03369240090250969,0.04751531034708023
L12,back,2,0.05182607099413872,0.04693154990673065,0.06299188733100891
L12,back,3,0.06422816216945648,0.05889054387807846,0.07418029010295868
L12,back,4,0.07440120726823807,0.0691487118601799,0.08260904997587204
L12,back,5,0.08304545283317566,0.07801763713359833,0.08942881226539612
L12,back,6,0.09066278487443924,0.0863882303237915,0.09531006217002869
L12,back,7,0.09783563762903214,0.09336156398057938,0.10069894790649414
L12,back,8,0.10517854988574982,0.10458767414093018,0.10576943308115005
L12,back,9,0.11406233161687851,0.11406233161687851,0.11406233161687851
L13,back,1,0.038183823227882385,0.03450338542461395,0.04819559305906296
L13,back,2,0.053981881588697433,0.04909784346818924,0.06509913504123688
L13,back,3,0.06741465628147125,0.06229773163795471,0.07764098793268204
L13,back,4,0.07836465537548065,0.07326191663742065,0.08681630343198776
L13,back,5,0.08769011497497559,0.08288965374231339,0.09449230134487152
L13,back,6,0.09595074504613876,0.09167155623435974,0.10099014639854431
L13,back,7,0.10375318676233292,0.09954532980918884,0.10681354999542236
L13,back,8,0.11183866858482361,0.11106929183006287,0.11260804533958435
L13,back,9,0.12201064825057983,0.12201064825057983,0.12201064825057983
L14,back,1,0.03734806552529335,0.03388413414359093,0.04671458899974823
L14,back,2,0.05296720936894417,0.04842142388224602,0.0631810873746872
L14,back,3,0.06615637987852097,0.06115442514419556,0.07518813014030457
L14,back,4,0.07684177160263062,0.071836456656456,0.08414317667484283
L14,back,5,0.08582714945077896,0.0810786783695221,0.09158951044082642
L14,back,6,0.09358449280261993,0.08964473009109497,0.09765338897705078
L14,back,7,0.1008281484246254,0.09674540162086487,0.10289593040943146
L14,back,8,0.10823413729667664,0.10819599777460098,0.10827226936817169
L14,back,9,0.11740773171186447,0.11740773171186447,0.11740773171186447
L15,back,1,0.04040442407131195,0.036835767328739166,0.050582531839609146
L15,back,2,0.056926462799310684,0.05221792310476303,0.0683436244726181
L15,back,3,0.07078960537910461,0.06591708958148956,0.08079427480697632
L15,back,4,0.08176007121801376,0.07696110010147095,0.08982326090335846
L15,back,5,0.09096202999353409,0.08632294088602066,0.09714977443218231
L15,back,6,0.0988667905330658,0.09485678374767303,0.10322589427232742
L15,back,7,0.10618042945861816,0.10196225345134735,0.10872957110404968
L15,back,8,0.11347311735153198,0.11300042271614075,0.11394581943750381
L15,back,9,0.12260373681783676,0.12260373681783676,0.12260373681783676
