cohort,layer,group,to_pooled_template_median,to_own_task_template_median,task_template_gain
development_main,L2,front,0.08479934930801392,0.08002835512161255,0.05626213550567627
development_main,L3,front,0.08876985311508179,0.08223891258239746,0.07357162237167358
development_main,L4,front,0.07302600145339966,0.06872642040252686,0.058877408504486084
development_main,L5,front,0.08797711133956909,0.08246850967407227,0.06261402368545532
development_main,L12,back,0.06277114152908325,0.06012004613876343,0.04223430156707764
development_main,L13,back,0.059711754322052,0.05659496784210205,0.05219721794128418
development_main,L14,back,0.06112372875213623,0.05835980176925659,0.045218586921691895
development_main,L15,back,0.0680997371673584,0.06560313701629639,0.03666090965270996
external_8b,L2,front,0.08505678176879883,0.08054083585739136,0.0530933141708374
external_8b,L3,front,0.09025108814239502,0.08517694473266602,0.056222498416900635
external_8b,L4,front,0.07376754283905029,0.06932616233825684,0.0602077841758728
external_8b,L5,front,0.08848023414611816,0.0861327052116394,0.026531696319580078
external_8b,L12,back,0.06388938426971436,0.0617561936378479,0.03338879346847534
external_8b,L13,back,0.06042492389678955,0.05768740177154541,0.04530453681945801
external_8b,L14,back,0.061693012714385986,0.05885136127471924,0.046061158180236816
external_8b,L15,back,0.0694165825843811,0.06730055809020996,0.030483007431030273
