cohort,layer,tasks,diameter_is_first_last_token,robinson_tasks
development_main,L2,37,37,37
development_main,L3,37,35,35
development_main,L4,37,37,37
development_main,L5,37,37,37
development_main,L12,37,37,37
development_main,L13,37,37,37
development_main,L14,37,37,37
development_main,L15,37,37,37
development_extra,L2,3,3,3
development_extra,L3,3,3,3
development_extra,L4,3,3,3
development_extra,L5,3,3,3
development_extra,L12,3,3,3
development_extra,L13,3,3,3
development_extra,L14,3,3,3
development_extra,L15,3,3,3
external_8b,L2,39,39,39
external_8b,L3,39,39,39
external_8b,L4,39,39,39
external_8b,L5,39,39,39
external_8b,L12,39,39,39
external_8b,L13,39,39,39
external_8b,L14,39,39,39
external_8b,L15,39,39,39
