run,episode_index,init_state_id,flow_noise_seed,success,failure,inference_calls,action_steps,alarm,first_alarm_query,alarm_query_count,post_alarm_action_steps,fixed_clock_query,fixed_clock_would_alarm,video_count,trajectory_npz_sha256
gpu6_prospective_init09_seeds1000_1007,0,9,1000,False,True,30,300,True,20,10,100,24,True,3,52681458f46b5e52e0b4b583936c4a73c660b9a02c6b0fd76e1d9f2aa922bb9c
gpu6_prospective_init09_seeds1000_1007,1,9,1001,True,False,21,203,False,,0,0,24,False,0,12db1d65e487e71c4562e7fc11e0a7b928970985ca8c32895e31e1c5fc949f31
gpu6_prospective_init09_seeds1000_1007,2,9,1002,True,False,15,147,False,,0,0,24,False,0,4ba9fa84271e77fae975ecb65510fd6e3240e7d77185b1efe94141bc93180764
gpu6_prospective_init09_seeds1000_1007,3,9,1003,True,False,15,149,False,,0,0,24,False,0,0491f0bc4c0165a9d4fcd999b6c552114b6fd46348f27998331d6511630df339
gpu6_prospective_init09_seeds1000_1007,4,9,1004,True,False,20,198,False,,0,0,24,False,0,2529c472bef14313b5f229c90898d0a3c5ffd40dd87dae666bbc43def3d3b928
gpu6_prospective_init09_seeds1000_1007,5,9,1005,True,False,15,146,False,,0,0,24,False,0,a005fd1cb007fc4d93ab52c60e923b7fd839906f58e50f0bae6e6270712def19
gpu6_prospective_init09_seeds1000_1007,6,9,1006,True,False,15,141,False,,0,0,24,False,0,7513e178ca7364033a74fb7401aa926898ce920dc713387e842b334b93cacf9d
gpu6_prospective_init09_seeds1000_1007,7,9,1007,True,False,22,211,False,,0,0,24,False,0,8c9dc7bf61101d2688488c3c3bdf26ceefd9dc44878bbde6e80c4015311fb473
gpu6_prospective_init30_seeds1000_1007,0,30,1000,True,False,15,145,False,,0,0,24,False,0,fb8b603165bf91dec19729c1d4c9ac9ba788d0144ba1fa91889289c1a2f7ef5b
gpu6_prospective_init30_seeds1000_1007,1,30,1001,True,False,14,132,False,,0,0,24,False,0,8de6287e2e23dc3f9b72158c0085620f40d2eaca2c651fe266d99d1121b25a8b
gpu6_prospective_init30_seeds1000_1007,2,30,1002,True,False,14,135,False,,0,0,24,False,0,b4b51fc46100c305d29d63fef62c209730c0f776517e648766602b59f198467a
gpu6_prospective_init30_seeds1000_1007,3,30,1003,True,False,15,141,False,,0,0,24,False,0,ca2556aca3906569666c4b0874ee75f11e17fa78dac4f6c15eb3cd1428847e3b
gpu6_prospective_init30_seeds1000_1007,4,30,1004,True,False,14,133,False,,0,0,24,False,0,1b09074f0e339527d98b3acd70e0dc6f321eb7f8668823f5c204195cfddf75f7
gpu6_prospective_init30_seeds1000_1007,5,30,1005,True,False,14,136,False,,0,0,24,False,0,39f8d1a396b00967ecff89b6e4a92f32218916a8cf9a13d1a0d9686536653e5f
gpu6_prospective_init30_seeds1000_1007,6,30,1006,True,False,14,139,False,,0,0,24,False,0,40c33315c8d14778ba163263a642c39743eb6597ec41ad7e626ee39d266ea7df
gpu6_prospective_init30_seeds1000_1007,7,30,1007,True,False,14,137,False,,0,0,24,False,0,4f1f8e1dbbcbf9cca9ecc74c85017a23c32fb807313250d171efeb5cf51b8f6a
