cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
all,v7_frozen,120,54,66,37,2,17,64,0.6851851851851852,0.030303030303030304,0.9487179487179487,36,31.0,20.5
all,v8_frozen,120,54,66,40,2,14,64,0.7407407407407407,0.030303030303030304,0.9523809523809523,39,31.0,20.5
all,v82_frozen,120,54,66,43,2,11,64,0.7962962962962963,0.030303030303030304,0.9555555555555556,41,31.0,20.5
all,knn20,120,54,66,52,9,2,57,0.9629629629629629,0.13636363636363635,0.8524590163934426,52,26.5,24.0
all,c4_assigned_radius,120,54,66,50,8,4,58,0.9259259259259259,0.12121212121212122,0.8620689655172413,49,26.0,23.5
all,c32_assigned_radius,120,54,66,48,3,6,63,0.8888888888888888,0.045454545454545456,0.9411764705882353,48,29.0,23.0
all,c32_union_radius,120,54,66,50,3,4,63,0.9259259259259259,0.045454545454545456,0.9433962264150944,50,28.0,25.0
all,norm_only,120,54,66,46,3,8,63,0.8518518518518519,0.045454545454545456,0.9387755102040817,44,29.5,18.0
all,cosine_knn20,120,54,66,0,1,54,65,0.0,0.015151515151515152,0.0,0,,18.0
all,knn_euclidean_OR_cosine,120,54,66,52,10,2,56,0.9629629629629629,0.15151515151515152,0.8387096774193549,52,26.5,23.5
all,knn_euclidean_AND_cosine_latched,120,54,66,0,0,54,66,0.0,0.0,,0,,
primary,v7_frozen,115,53,62,36,2,17,60,0.6792452830188679,0.03225806451612903,0.9473684210526315,35,31.0,20.5
primary,v8_frozen,115,53,62,39,2,14,60,0.7358490566037735,0.03225806451612903,0.9512195121951219,38,31.0,20.5
primary,v82_frozen,115,53,62,42,2,11,60,0.7924528301886793,0.03225806451612903,0.9545454545454546,40,30.5,20.5
primary,knn20,115,53,62,51,8,2,54,0.9622641509433962,0.12903225806451613,0.864406779661017,51,26.0,23.5
primary,c4_assigned_radius,115,53,62,49,7,4,55,0.9245283018867925,0.11290322580645161,0.875,48,26.0,23.0
primary,c32_assigned_radius,115,53,62,47,3,6,59,0.8867924528301887,0.04838709677419355,0.94,47,29.0,23.0
primary,c32_union_radius,115,53,62,49,3,4,59,0.9245283018867925,0.04838709677419355,0.9423076923076923,49,28.0,25.0
primary,norm_only,115,53,62,45,3,8,59,0.8490566037735849,0.04838709677419355,0.9375,43,29.0,18.0
primary,cosine_knn20,115,53,62,0,1,53,61,0.0,0.016129032258064516,0.0,0,,18.0
