parent,head,arm,query,accepted,reasons,formal_screen,fp32_screen,normalized_action_rms,gripper_sign_changes,request_l2,effective_logit_delta_l2,back_action_set_change_fraction,instant_freeze,score_freeze,native_severity_freeze,candidate_severity_freeze,instant_acceleration,score_acceleration,native_severity_acceleration,candidate_severity_acceleration,instant_periodicity,score_periodicity,native_severity_periodicity,candidate_severity_periodicity,instant_inversion,score_inversion,native_severity_inversion,candidate_severity_inversion,instant_curvature,score_curvature,native_severity_curvature,candidate_severity_curvature
plus-task00-init026,curvature,mobility,21,False,side_effect_1,True,False,0.0022990690500953883,0,3.394537582924274,3.406447098655357,0.6325,-1.7908327432360314,-0.298471994085876,-7.710233065937922,-8.008705060023798,0.712046166538179,0.0,-5.741399320360386,-5.741399320360386,-6.539277418581471,-0.037184150734677957,-26.55725582589188,-26.594439976626557,0.043800920248031616,0.007300153374671936,-1.043256327609221,-1.035956174234549,-0.15415746985588102,-0.02569290535908035,-0.07005060926861006,-0.09574351462769042
plus-task00-init026,curvature,mobility,22,False,side_effect_1;side_effect_4,True,False,0.0023782429948241857,0,3.459244547892922,3.471449892403569,0.76,-1.973332447322135,-0.3288885681712941,-7.199343434553191,-7.528232002724485,1.2678811860109058,0.0,-5.741399320360386,-5.741399320360386,-4.584607138374436,0.0,-25.50456232788777,-25.50456232788777,0.048565566539764404,0.008094261089960586,-1.4817280676960944,-1.4736338066061339,0.05205553965542916,0.008675971763553891,-0.33493559896194997,-0.3262596271983961
plus-task00-init026,curvature,mobility,23,False,side_effect_1,False,False,0.0017059792638231999,0,1.6005225398491694,1.648460641129039,0.4775,-0.872927694218154,-0.14548788414295988,-6.859394565359593,-7.004882449502553,0.2823048160243813,0.09410154758904898,-7.788126605574779,-7.69402505798573,-2.3090594098246187,0.0,-25.50456232788777,-25.50456232788777,0.019312500953674316,0.0032187501589457934,-1.4614646298686662,-1.4582458797097204,-0.19501700954668189,-0.032502878472453034,-0.47072316019965954,-0.5032260386721126
plus-task00-init026,curvature,mobility,24,False,side_effect_1;side_effect_4,True,False,0.003243359668526836,0,2.05013854359015,2.0719296455369056,0.44,-0.8444964687608372,-0.14074936819787354,-6.902357629075565,-7.043106997273439,0.278975331773741,0.0,-7.788126605574779,-7.788126605574779,-1.9603900321547751,0.0,-25.50456232788777,-25.50456232788777,0.004849284887313843,0.0008082141478857885,-1.3658598655462264,-1.3650516513983406,0.08350849393695244,0.013918097887936964,-0.835040823653442,-0.821122725765505
plus-task00-init026,curvature,mobility,25,True,,True,True,0.0044964519455756935,0,4.995965939789404,5.0000293730826675,0.855,-1.7466842069196091,-0.2911141210111321,-7.421754136045635,-7.712868257056767,0.02604298775306991,0.0,-7.788126605574779,-7.788126605574779,-7.4027954169806875,0.0,-19.2757186732592,-19.2757186732592,-0.004891157150268555,-0.0008151928583781665,-1.4520529682437577,-1.452868161102136,-0.04827166257258999,-0.008045323673305127,-1.1124360406123903,-1.1204813642856954
plus-task00-init026,curvature,mobility,26,False,side_effect_1,True,False,0.0031767076240824836,0,4.086055750562369,4.097445850770941,0.7125,-1.5886075226503917,-0.2647679204417308,-7.91911894492679,-8.183886865368521,0.4869602448110844,0.0,-7.788126605574779,-7.788126605574779,-10.629689403677604,0.0,-13.143580996353682,-13.143580996353682,-0.034332275390625,-0.0057220458984375,-1.8072860395908354,-1.813008085489273,-0.05067266763909307,-0.008445421042245327,-1.4471592789866183,-1.4556047000288637
plus-task00-init026,curvature,mobility,27,False,side_effect_1;side_effect_4,False,False,0.0031355803723955326,0,3.237129715707295,3.2599780160361607,0.7375,-1.6369645256344498,-0.2728274209390751,-7.974168014718861,-8.246995435657936,0.31908438126238264,0.10636192244008313,-11.223849592762337,-11.117487670322253,-8.002746164554772,0.0,-11.454223979778842,-11.454223979778842,0.008246004581451416,0.0013743340969085693,-2.1603980672359464,-2.159023733139038,0.16554703289520437,0.027591173423140214,-1.2530266325803106,-1.2254354591571703
plus-task00-init026,curvature,mobility,28,False,side_effect_1,False,False,0.002564296388322651,0,2.4284454744696573,2.4550183030201755,0.5675,-1.2860231041263894,-0.21433718402106372,-8.027821357299937,-8.242158541321,0.17580792619962612,0.058602526561720936,-11.446546817015134,-11.387944290453413,-3.8736782587661724,0.0,-11.454223979778842,-11.454223979778842,-0.03701254725456238,-0.0061687578757601,-1.8769559331734975,-1.8831246910492576,-0.007399329834751562,-0.0012331692618752221,-1.023346879591764,-1.0245800488536392
plus-task00-init026,curvature,mobility,29,False,side_effect_1,True,False,0.0030491153410023716,0,2.0583165183114325,2.0798424529050874,0.3975,-0.8370838256579153,-0.13951379789392426,-8.438576581478074,-8.578090379371998,0.3821607561001099,0.0,-11.446546817015134,-11.446546817015134,-1.7551723195007094,-0.2925280906155603,-11.127710443430018,-11.420238534045579,0.003560483455657959,0.0005934139092762525,-1.6793086254596707,-1.6787152115503945,-0.25707829592139697,-0.04284633105246283,-0.8691760669345082,-0.912022397986971
plus-task00-init026,curvature,mobility,30,True,,True,True,0.002450992574771016,0,1.9996248961278553,2.0292395399142906,0.5075,-0.9488463511220847,-0.1581407989467536,-8.197197020510467,-8.35533781945722,-0.4386702973846058,0.0,-11.446546817015134,-11.446546817015134,-4.303306708989624,0.0,-11.127710443430018,-11.127710443430018,0.029266774654388428,0.004877795775731775,-1.876664999127388,-1.8717872033516563,-0.18708319159142417,-0.031180591358628496,-0.6987445194754912,-0.7299251108341197
