prior_basis,group,chunk,still_running,prior,first_chunk_prior_ge_0.25
suite_matched,libero_goal,0,1024,0.041015625,19.0
suite_matched,libero_goal,1,1024,0.041015625,19.0
suite_matched,libero_goal,2,1024,0.041015625,19.0
suite_matched,libero_goal,3,1024,0.041015625,19.0
suite_matched,libero_goal,4,1024,0.041015625,19.0
suite_matched,libero_goal,5,1024,0.041015625,19.0
suite_matched,libero_goal,6,1024,0.041015625,19.0
suite_matched,libero_goal,7,1024,0.041015625,19.0
suite_matched,libero_goal,8,1024,0.041015625,19.0
suite_matched,libero_goal,9,1024,0.041015625,19.0
suite_matched,libero_goal,10,1024,0.041015625,19.0
suite_matched,libero_goal,11,1024,0.041015625,19.0
suite_matched,libero_goal,12,808,0.05198019801980198,19.0
suite_matched,libero_goal,13,524,0.08015267175572519,19.0
suite_matched,libero_goal,14,512,0.08203125,19.0
suite_matched,libero_goal,15,512,0.08203125,19.0
suite_matched,libero_goal,16,512,0.08203125,19.0
suite_matched,libero_goal,17,478,0.08786610878661087,19.0
suite_matched,libero_goal,18,295,0.1423728813559322,19.0
suite_matched,libero_goal,19,118,0.3559322033898305,19.0
suite_matched,libero_goal,20,45,0.9333333333333333,19.0
suite_matched,libero_goal,21,42,1.0,19.0
suite_matched,libero_goal,22,42,1.0,19.0
suite_matched,libero_goal,23,42,1.0,19.0
suite_matched,libero_goal,24,42,1.0,19.0
suite_matched,libero_goal,25,42,1.0,19.0
suite_matched,libero_goal,26,42,1.0,19.0
suite_matched,libero_goal,27,42,1.0,19.0
suite_matched,libero_goal,28,42,1.0,19.0
suite_matched,libero_goal,29,42,1.0,19.0
suite_matched,libero_long,0,512,0.421875,0.0
suite_matched,libero_long,1,512,0.421875,0.0
suite_matched,libero_long,2,512,0.421875,0.0
suite_matched,libero_long,3,512,0.421875,0.0
suite_matched,libero_long,4,512,0.421875,0.0
suite_matched,libero_long,5,512,0.421875,0.0
suite_matched,libero_long,6,512,0.421875,0.0
suite_matched,libero_long,7,512,0.421875,0.0
suite_matched,libero_long,8,512,0.421875,0.0
suite_matched,libero_long,9,512,0.421875,0.0
suite_matched,libero_long,10,512,0.421875,0.0
suite_matched,libero_long,11,512,0.421875,0.0
suite_matched,libero_long,12,512,0.421875,0.0
suite_matched,libero_long,13,512,0.421875,0.0
suite_matched,libero_long,14,512,0.421875,0.0
suite_matched,libero_long,15,512,0.421875,0.0
suite_matched,libero_long,16,512,0.421875,0.0
suite_matched,libero_long,17,512,0.421875,0.0
suite_matched,libero_long,18,512,0.421875,0.0
suite_matched,libero_long,19,512,0.421875,0.0
suite_matched,libero_long,20,512,0.421875,0.0
suite_matched,libero_long,21,512,0.421875,0.0
suite_matched,libero_long,22,512,0.421875,0.0
suite_matched,libero_long,23,512,0.421875,0.0
suite_matched,libero_long,24,512,0.421875,0.0
suite_matched,libero_long,25,512,0.421875,0.0
suite_matched,libero_long,26,512,0.421875,0.0
suite_matched,libero_long,27,512,0.421875,0.0
suite_matched,libero_long,28,512,0.421875,0.0
suite_matched,libero_long,29,512,0.421875,0.0
suite_matched,libero_long,30,512,0.421875,0.0
suite_matched,libero_long,31,512,0.421875,0.0
suite_matched,libero_long,32,512,0.421875,0.0
suite_matched,libero_long,33,512,0.421875,0.0
suite_matched,libero_long,34,512,0.421875,0.0
suite_matched,libero_long,35,511,0.4227005870841487,0.0
suite_matched,libero_long,36,504,0.42857142857142855,0.0
suite_matched,libero_long,37,477,0.4528301886792453,0.0
suite_matched,libero_long,38,421,0.5130641330166271,0.0
suite_matched,libero_long,39,313,0.6900958466453674,0.0
suite_matched,libero_long,40,252,0.8571428571428571,0.0
suite_matched,libero_long,41,239,0.9037656903765691,0.0
suite_matched,libero_long,42,232,0.9310344827586207,0.0
suite_matched,libero_long,43,231,0.935064935064935,0.0
suite_matched,libero_long,44,229,0.9432314410480349,0.0
suite_matched,libero_long,45,228,0.9473684210526315,0.0
suite_matched,libero_long,46,227,0.9515418502202643,0.0
suite_matched,libero_long,47,224,0.9642857142857143,0.0
suite_matched,libero_long,48,220,0.9818181818181818,0.0
suite_matched,libero_long,49,220,0.9818181818181818,0.0
suite_matched,libero_long,50,218,0.9908256880733946,0.0
suite_matched,libero_long,51,217,0.9953917050691244,0.0
suite_matched,libero_spatial,0,1024,0.0478515625,13.0
suite_matched,libero_spatial,1,1024,0.0478515625,13.0
suite_matched,libero_spatial,2,1024,0.0478515625,13.0
suite_matched,libero_spatial,3,1024,0.0478515625,13.0
suite_matched,libero_spatial,4,1024,0.0478515625,13.0
suite_matched,libero_spatial,5,1024,0.0478515625,13.0
suite_matched,libero_spatial,6,1024,0.0478515625,13.0
suite_matched,libero_spatial,7,1024,0.0478515625,13.0
suite_matched,libero_spatial,8,1024,0.0478515625,13.0
suite_matched,libero_spatial,9,803,0.06102117061021171,13.0
suite_matched,libero_spatial,10,562,0.08718861209964412,13.0
suite_matched,libero_spatial,11,543,0.09023941068139964,13.0
suite_matched,libero_spatial,12,305,0.16065573770491803,13.0
suite_matched,libero_spatial,13,109,0.44954128440366975,13.0
