suite,horizon_cap,alarms,first_chunk_prior_ge_0.25,alarm_chunk_min,alarm_chunk_p25,alarm_chunk_median,alarm_chunk_max,alarms_before_prior_crosses_0.25
libero_goal,30,41,19,20,24.0,24.0,28,0
libero_long,52,197,0,17,31.0,32.0,49,0
libero_spatial,22,44,13,16,19.0,19.0,21,0
