cohort,group,episodes,risk_n,tp,fp,risk_recall,timely_fpr,precision,risk_rate
development_main,shared5_all,2000,250,208.0,17.0,0.832,0.009714285714285713,0.9244444444444444,0.125
development_main,shared5_libero_goal,800,52,41.0,0.0,0.7884615384615384,0.0,1.0,0.065
development_main,shared5_libero_long,400,138,111.0,17.0,0.8043478260869565,0.0648854961832061,0.8671875,0.345
development_main,shared5_libero_spatial,800,60,56.0,0.0,0.9333333333333333,0.0,1.0,0.075
external_8b,shared5_all,2000,255,207.0,15.0,0.8117647058823529,0.008595988538681949,0.9324324324324325,0.1275
external_8b,shared5_libero_goal,800,51,39.0,1.0,0.7647058823529411,0.0013351134846461949,0.975,0.06375
external_8b,shared5_libero_long,400,151,123.0,14.0,0.8145695364238411,0.05622489959839357,0.8978102189781022,0.3775
external_8b,shared5_libero_spatial,800,53,45.0,0.0,0.8490566037735849,0.0,1.0,0.06625
legacy_16x32,shared5_all,2560,307,257.0,25.0,0.8371335504885994,0.011096316023080338,0.9113475177304965,0.119921875
legacy_16x32,shared5_libero_goal,1024,42,41.0,0.0,0.9761904761904762,0.0,1.0,0.041015625
legacy_16x32,shared5_libero_long,512,216,175.0,22.0,0.8101851851851852,0.07432432432432433,0.8883248730964467,0.421875
legacy_16x32,shared5_libero_spatial,1024,49,41.0,3.0,0.8367346938775511,0.003076923076923077,0.9318181818181818,0.0478515625
legacy_16x32_expected_from_development_main_per_task_rates,shared5_all,2560,307,252.20308647873867,19.206106870229007,0.821508425012178,0.00852468125620462,0.9292356068221517,0.119921875
legacy_16x32_expected_from_external_8b_per_task_rates,shared5_all,2560,307,249.552471804422,17.98927515218467,0.8128745009916026,0.00798458728459151,0.9327608668298693,0.119921875
