cohort,group,detector,detector_role,episodes,risk_n,timely_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,is_baseline
legacy_16x32,all,freeze,branch: relative freeze,2560,307,2253,270,253,17,54,2236,0.8241042345276873,0.007545494895694629,0.937037037037037,18.0,0.7719869706840391,0.6644951140065146,0.5146579804560261,0.5146579804560261,0.7974413646055437,0.9479166666666666,0.00040584415584415587,0.023466666666666667,0.9238095238095239,0.9868421052631579,True
legacy_16x32,all,acceleration,sub-condition: flow acceleration (only enters via turbulence),2560,307,2253,135,102,33,205,2220,0.3322475570032573,0.014647137150466045,0.7555555555555555,10.0,0.2964169381107492,0.2736156351791531,0.21172638436482086,0.15960912052117263,0.024793388429752067,0.44166666666666665,0.0,0.052206673842841764,0.7467018469656992,1.0,True
legacy_16x32,all,periodicity,sub-condition: recurrence loss (only enters via turbulence),2560,307,2253,331,103,228,204,2025,0.3355048859934853,0.10119840213049268,0.311178247734139,8.0,0.3355048859934853,0.3127035830618892,0.18566775244299674,0.019543973941368076,0.09684684684684684,0.9693251533742331,0.0032076984763432237,0.2781012091356919,0.16307277628032346,0.8873239436619719,True
legacy_16x32,all,turbulence,branch: confirmed turbulence (acceleration AND periodicity),2560,307,2253,27,18,9,289,2244,0.05863192182410423,0.0039946737683089215,0.6666666666666666,3.0,0.03908794788273615,0.02280130293159609,0.006514657980456026,0.0,0.008620689655172414,0.20512820512820512,0.0,0.013157894736842105,0.6,1.0,True
legacy_16x32,all,guard,intrinsic_guard_v7 (freeze OR turbulence),2560,307,2253,282,257,25,50,2228,0.8371335504885994,0.011096316023080338,0.9113475177304965,18.0,0.7947882736156352,0.6840390879478827,0.5211726384364821,0.5146579804560261,0.8102345415778252,0.96875,0.00040584415584415587,0.03626666666666667,0.8891625615763546,0.9893617021276596,True
legacy_16x32,libero_goal,freeze,branch: relative freeze,1024,42,982,40,40,0,2,982,0.9523809523809523,0.0,1.0,5.0,0.9285714285714286,0.8095238095238095,0.0,0.0,,,,,,,True
legacy_16x32,libero_goal,acceleration,sub-condition: flow acceleration (only enters via turbulence),1024,42,982,1,1,0,41,982,0.023809523809523808,0.0,1.0,9.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,libero_goal,periodicity,sub-condition: recurrence loss (only enters via turbulence),1024,42,982,47,41,6,1,976,0.9761904761904762,0.006109979633401222,0.8723404255319149,7.0,0.9761904761904762,0.9285714285714286,0.3333333333333333,0.047619047619047616,,,,,,,True
legacy_16x32,libero_goal,turbulence,branch: confirmed turbulence (acceleration AND periodicity),1024,42,982,1,1,0,41,982,0.023809523809523808,0.0,1.0,9.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,libero_goal,guard,intrinsic_guard_v7 (freeze OR turbulence),1024,42,982,41,41,0,1,982,0.9761904761904762,0.0,1.0,5.0,0.9523809523809523,0.8333333333333334,0.023809523809523808,0.0,,,,,,,True
legacy_16x32,libero_long,freeze,branch: relative freeze,512,216,296,186,172,14,44,282,0.7962962962962963,0.0472972972972973,0.9247311827956989,19.0,0.7824074074074074,0.7685185185185185,0.7314814814814815,0.7314814814814815,,,,,,,True
legacy_16x32,libero_long,acceleration,sub-condition: flow acceleration (only enters via turbulence),512,216,296,126,94,32,122,264,0.4351851851851852,0.10810810810810811,0.746031746031746,12.0,0.41203703703703703,0.37962962962962965,0.2962962962962963,0.22685185185185186,,,,,,,True
