feature,episodes_with_finite_values,median_finite_queries_per_episode,episodes_constant_within,fraction_constant_within,min_distinct_values_per_episode,median_distinct_values_per_episode,median_distinct_fraction_of_queries,mean_within_episode_std,mean_within_episode_variance,between_episode_variance,within_variance_share
route_acceleration,2560,13.0,0,0.0,9.0,13.0,1.0,0.00048365971306338904,2.664404047225677e-07,2.3246644196377495e-06,0.10282887910115546
lag_periodicity,2560,11.0,0,0.0,7.0,11.0,1.0,0.012864005277151591,0.0001743921897864098,3.752873447158724e-05,0.8229116138343235
layer_mobility[L2],2560,12.0,0,0.0,8.0,12.0,1.0,0.0061113054790439495,3.9885922236315705e-05,0.0001039480491036987,0.2773052976617597
layer_mobility[L3],2560,12.0,0,0.0,8.0,12.0,1.0,0.007545752754776913,6.15039096327763e-05,0.00014848538166992956,0.2928906957646548
layer_mobility[L4],2560,12.0,0,0.0,8.0,12.0,1.0,0.007719154794085625,6.306719473805344e-05,0.00017187529143053806,0.26843673856757133
layer_mobility[L5],2560,12.0,0,0.0,8.0,12.0,1.0,0.010863048475403047,0.0001278379748164582,0.00021964981761895134,0.36789198814867863
layer_mobility[L12],2560,12.0,0,0.0,8.0,12.0,1.0,0.009490171516517876,9.78997620347144e-05,0.0004393528062389079,0.18222297633550658
layer_mobility[L13],2560,12.0,0,0.0,8.0,12.0,1.0,0.010072477622907172,0.00011050197732025424,0.00042904553281960427,0.20480490641428506
layer_mobility[L14],2560,12.0,0,0.0,8.0,12.0,1.0,0.009841781046998222,0.00010719776632939215,0.00037627183123208286,0.22172597174688227
layer_mobility[L15],2560,12.0,0,0.0,8.0,12.0,1.0,0.010054506766755367,0.0001124828878820594,0.0003375727773402371,0.24993105647609304
score:freeze,2560,7.0,0,0.0,3.0,7.0,1.0,0.08602522372693784,0.018947904463309205,0.019578632495030647,0.49181436898411773
score:acceleration_persistent,2339,4.0,690,0.2949978623343309,1.0,3.0,0.3953488372093023,0.014824620790370996,0.0004974421997425791,0.003195006642741636,0.13471877904418267
score:periodicity_persistent,2098,7.0,475,0.22640610104861772,1.0,4.0,0.625,0.10659002272743942,0.02267146453996393,0.1374348418512596,0.14160257051065606
control:episode_length (constant by construction),2560,13.0,2560,1.0,1.0,1.0,0.07692307692307693,0.0,0.0,174.50915771484375,0.0
