experiment,unit,event,leg,signal,lead,effect,ci_lo,ci_hi,p_maxT,n_groups,n_groups_pos,n_groups_neg,n_events_used,n_pairs
E2,U1_main_S8,loop,raw,S_ent,0,-0.212889,-0.318946,-0.106832,0.308846,10,1,8,55,884
E2,U1_main_S8,loop,raw,S_ent,1,-0.135648,-0.34542,0.074125,0.94053,9,1,8,54,880
E2,U1_main_S8,loop,raw,S_ent,2,-0.129605,-0.353943,0.094734,0.963018,9,2,7,53,861
E2,U1_main_S8,loop,raw,S_margin,-4,0.072664,-0.135905,0.281233,1.0,10,8,2,55,932
E2,U1_main_S8,loop,raw,S_margin,-3,0.09952,-0.036426,0.235465,1.0,10,6,3,55,916
E2,U1_main_S8,loop,raw,S_margin,-2,0.17377,-0.013822,0.361362,0.628686,10,9,1,55,903
E2,U1_main_S8,loop,raw,S_margin,-1,0.275617,0.146893,0.404342,0.067466,10,10,0,55,893
E2,U1_main_S8,loop,raw,S_margin,0,0.083868,-0.125368,0.293103,1.0,10,6,4,55,884
E2,U1_main_S8,loop,raw,S_margin,1,0.147157,0.063737,0.230578,0.88006,9,8,0,54,880
E2,U1_main_S8,loop,raw,S_margin,2,0.079184,-0.129615,0.287984,1.0,9,7,2,53,861
E2,U1_main_S8,loop,raw,V,-4,0.155169,-0.060471,0.370809,0.815092,10,8,2,55,932
E2,U1_main_S8,loop,raw,V,-3,0.270984,0.12717,0.414798,0.081959,10,9,1,55,916
E2,U1_main_S8,loop,raw,V,-2,0.293591,0.15265,0.434531,0.04098,10,9,1,55,903
E2,U1_main_S8,loop,raw,V,-1,0.33586,0.240481,0.431239,0.008496,10,10,0,55,893
E2,U1_main_S8,loop,raw,V,0,0.108229,-0.085463,0.301922,1.0,10,8,2,55,884
E2,U1_main_S8,loop,raw,V,1,0.085933,-0.154855,0.326721,1.0,9,6,3,54,880
E2,U1_main_S8,loop,raw,V,2,0.102299,-0.10577,0.310369,1.0,9,7,2,53,861
E2,U1_main_S8,loop,raw,A,-4,0.196831,-0.008488,0.402149,0.453773,10,9,1,55,932
E2,U1_main_S8,loop,raw,A,-3,0.33339,0.250592,0.416187,0.010995,10,10,0,55,916
E2,U1_main_S8,loop,raw,A,-2,0.352983,0.268022,0.437944,0.007996,10,10,0,55,903
E2,U1_main_S8,loop,raw,A,-1,0.323829,0.213957,0.433702,0.012494,10,10,0,55,893
E2,U1_main_S8,loop,raw,A,0,0.237531,0.121265,0.353797,0.18041,10,8,0,55,884
E2,U1_main_S8,loop,raw,A,1,0.059438,-0.147213,0.266089,1.0,9,7,2,54,880
E2,U1_main_S8,loop,raw,A,2,0.051704,-0.07976,0.183167,1.0,9,5,3,53,861
E2,U1_main_S8,loop,raw,D_layer,-4,0.046962,-0.176075,0.269999,1.0,10,7,2,55,932
E2,U1_main_S8,loop,raw,D_layer,-3,0.231872,0.026145,0.437599,0.197901,10,9,1,55,916
E2,U1_main_S8,loop,raw,D_layer,-2,0.263995,0.061567,0.466423,0.102449,10,9,1,55,903
E2,U1_main_S8,loop,raw,D_layer,-1,0.343293,0.254612,0.431974,0.008496,10,10,0,55,893
E2,U1_main_S8,loop,raw,D_layer,0,0.174282,0.065651,0.282913,0.623688,10,8,1,55,884
E2,U1_main_S8,loop,raw,D_layer,1,0.085537,-0.123956,0.295029,1.0,9,7,2,54,880
E2,U1_main_S8,loop,raw,D_layer,2,0.145487,-0.072214,0.363188,0.888056,9,7,2,53,861
E2,U1_main_S8,loop,raw,flow_com,-4,0.102132,-0.066759,0.271023,1.0,10,9,1,55,932
E2,U1_main_S8,loop,raw,flow_com,-3,0.128429,-0.079202,0.33606,0.972514,10,8,2,55,916
E2,U1_main_S8,loop,raw,flow_com,-2,0.042865,-0.15614,0.24187,1.0,10,7,3,55,903
E2,U1_main_S8,loop,raw,flow_com,-1,0.083032,-0.092078,0.258142,1.0,10,7,3,55,893
E2,U1_main_S8,loop,raw,flow_com,0,-0.020742,-0.158513,0.117028,1.0,10,5,4,55,884
E2,U1_main_S8,loop,raw,flow_com,1,0.048454,-0.149979,0.246886,1.0,9,6,3,54,880
E2,U1_main_S8,loop,raw,flow_com,2,-0.063952,-0.282594,0.154691,1.0,9,5,4,53,861
E2,U1_main_S8,loop,resid_mob1w8,D_tok,-4,0.157216,0.008999,0.305432,0.648176,10,8,2,55,932
E2,U1_main_S8,loop,resid_mob1w8,D_tok,-3,0.321093,0.222225,0.41996,0.004998,10,10,0,55,916
E2,U1_main_S8,loop,resid_mob1w8,D_tok,-2,0.149169,-0.090486,0.388823,0.737131,10,7,3,55,903
E2,U1_main_S8,loop,resid_mob1w8,D_tok,-1,0.230593,0.086905,0.374281,0.145427,10,9,1,55,893
E2,U1_main_S8,loop,resid_mob1w8,D_tok,0,0.192869,0.013923,0.371816,0.349825,10,9,1,55,884
E2,U1_main_S8,loop,resid_mob1w8,D_tok,1,0.010779,-0.119902,0.141461,1.0,9,4,3,54,880
E2,U1_main_S8,loop,resid_mob1w8,D_tok,2,0.041476,-0.050644,0.133596,1.0,9,5,3,53,861
E2,U1_main_S8,loop,resid_mob1w8,C,-4,-0.136966,-0.291186,0.017254,0.842579,10,2,8,55,932
E2,U1_main_S8,loop,resid_mob1w8,C,-3,-0.323707,-0.418834,-0.22858,0.001999,10,0,10,55,916
E2,U1_main_S8,loop,resid_mob1w8,C,-2,-0.187796,-0.384198,0.008607,0.389805,10,3,7,55,903
E2,U1_main_S8,loop,resid_mob1w8,C,-1,-0.203081,-0.332401,-0.073761,0.289355,10,2,8,55,893
E2,U1_main_S8,loop,resid_mob1w8,C,0,-0.171737,-0.335674,-0.0078,0.535232,10,1,9,55,884
E2,U1_main_S8,loop,resid_mob1w8,C,1,-0.007041,-0.138974,0.124892,1.0,9,3,5,54,880
E2,U1_main_S8,loop,resid_mob1w8,C,2,-0.054049,-0.153521,0.045423,1.0,9,3,5,53,861
E2,U1_main_S8,loop,resid_mob1w8,S_ent,-4,0.009364,-0.192769,0.211496,1.0,10,4,6,55,932
E2,U1_main_S8,loop,resid_mob1w8,S_ent,-3,-0.155036,-0.37191,0.061837,0.686657,10,2,8,55,916
E2,U1_main_S8,loop,resid_mob1w8,S_ent,-2,-0.231604,-0.378514,-0.084694,0.145427,10,1,8,55,903
E2,U1_main_S8,loop,resid_mob1w8,S_ent,-1,-0.293174,-0.40283,-0.183519,0.02099,10,0,10,55,893
E2,U1_main_S8,loop,resid_mob1w8,S_ent,0,-0.105847,-0.260718,0.049025,0.991004,10,2,7,55,884
E2,U1_main_S8,loop,resid_mob1w8,S_ent,1,-0.132789,-0.248657,-0.016921,0.87956,9,2,6,54,880
E2,U1_main_S8,loop,resid_mob1w8,S_ent,2,-0.102429,-0.238162,0.033304,0.993003,9,2,6,53,861
E2,U1_main_S8,loop,resid_mob1w8,S_margin,-4,0.009787,-0.190074,0.209648,1.0,10,6,4,55,932
E2,U1_main_S8,loop,resid_mob1w8,S_margin,-3,0.063068,-0.085199,0.211336,1.0,10,6,4,55,916
E2,U1_main_S8,loop,resid_mob1w8,S_margin,-2,0.122714,-0.076481,0.321909,0.941529,10,8,2,55,903
E2,U1_main_S8,loop,resid_mob1w8,S_margin,-1,0.199164,0.063787,0.334542,0.311344,10,8,1,55,893
E2,U1_main_S8,loop,resid_mob1w8,S_margin,0,0.009511,-0.126667,0.14569,1.0,10,5,4,55,884
E2,U1_main_S8,loop,resid_mob1w8,S_margin,1,0.073609,0.004255,0.142963,1.0,9,7,1,54,880
