unit,lead,n_events_in_paired_groups,n_drop_before_start,n_drop_after_episode_end,n_alive,n_used,median_n_controls,min_n_controls,total_n_controls
U1_main_S8,-4,55,0,0,55,55,18.0,3,932
U1_main_S8,-3,55,0,0,55,55,17.0,3,916
U1_main_S8,-2,55,0,0,55,55,17.0,2,903
U1_main_S8,-1,55,0,0,55,55,17.0,2,893
U1_main_S8,0,55,0,0,55,55,17.0,2,884
U1_main_S8,1,55,0,1,54,54,17.0,2,880
U1_main_S8,2,55,0,2,53,53,17.0,1,861
U2_grid_S8,-4,62,0,0,62,56,3.0,1,175
U2_grid_S8,-3,62,0,0,62,55,3.0,1,168
U2_grid_S8,-2,62,0,0,62,54,3.0,1,166
U2_grid_S8,-1,62,0,0,62,52,3.0,1,161
U2_grid_S8,0,62,0,0,62,51,3.0,1,159
U2_grid_S8,1,62,0,2,60,51,3.0,1,155
U2_grid_S8,2,62,0,5,57,49,3.0,1,143
U3_grid_long_objaware,-4,56,0,0,56,52,3.0,1,172
U3_grid_long_objaware,-3,56,0,0,56,51,3.0,1,167
U3_grid_long_objaware,-2,56,0,0,56,49,3.0,1,160
U3_grid_long_objaware,-1,56,0,0,56,48,3.0,1,156
U3_grid_long_objaware,0,56,0,0,56,47,3.0,1,151
U3_grid_long_objaware,1,56,0,0,56,47,3.0,1,148
U3_grid_long_objaware,2,56,0,0,56,47,3.0,1,141
