method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,2.092217206954956,547,551,4,libero_spatial_20260908
knn10,episode,0.03,1.7635143995285034,536,551,15,libero_spatial_20260908
knn10,episode,0.05,1.6633491516113281,525,551,26,libero_spatial_20260908
knn10,episode,0.1,1.5000437498092651,497,551,54,libero_spatial_20260908
knn10,episode,0.15,1.4118503332138062,470,551,81,libero_spatial_20260908
knn10,episode,0.2,1.3449251651763916,442,551,109,libero_spatial_20260908
knn10,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn10,task_init,0.03,2.1651806831359863,69,70,1,libero_spatial_20260908
knn10,task_init,0.05,2.1334073543548584,68,70,2,libero_spatial_20260908
knn10,task_init,0.1,1.9953556060791016,64,70,6,libero_spatial_20260908
knn10,task_init,0.15,1.976893424987793,61,70,9,libero_spatial_20260908
knn10,task_init,0.2,1.7051746845245361,57,70,13,libero_spatial_20260908
knn10_persist3,episode,0.01,1.618000864982605,547,551,4,libero_spatial_20260908
knn10_persist3,episode,0.03,1.3066858053207397,536,551,15,libero_spatial_20260908
knn10_persist3,episode,0.05,1.2180678844451904,525,551,26,libero_spatial_20260908
knn10_persist3,episode,0.1,1.1240382194519043,497,551,54,libero_spatial_20260908
knn10_persist3,episode,0.15,1.0810627937316895,470,551,81,libero_spatial_20260908
knn10_persist3,episode,0.2,1.0246776342391968,442,551,109,libero_spatial_20260908
knn10_persist3,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn10_persist3,task_init,0.03,1.7198771238327026,69,70,1,libero_spatial_20260908
knn10_persist3,task_init,0.05,1.6636031866073608,68,70,2,libero_spatial_20260908
knn10_persist3,task_init,0.1,1.4359019994735718,64,70,6,libero_spatial_20260908
knn10_persist3,task_init,0.15,1.3066858053207397,61,70,9,libero_spatial_20260908
knn10_persist3,task_init,0.2,1.2585810422897339,57,70,13,libero_spatial_20260908
knn10_delta_q7,episode,0.01,1.2734107971191406,547,551,4,libero_spatial_20260908
knn10_delta_q7,episode,0.03,0.9818148016929626,536,551,15,libero_spatial_20260908
knn10_delta_q7,episode,0.05,0.8568584322929382,525,551,26,libero_spatial_20260908
knn10_delta_q7,episode,0.1,0.700187623500824,497,551,54,libero_spatial_20260908
knn10_delta_q7,episode,0.15,0.6332089304924011,470,551,81,libero_spatial_20260908
knn10_delta_q7,episode,0.2,0.5680183172225952,442,551,109,libero_spatial_20260908
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn10_delta_q7,task_init,0.03,1.3125176429748535,69,70,1,libero_spatial_20260908
knn10_delta_q7,task_init,0.05,1.2966771125793457,68,70,2,libero_spatial_20260908
knn10_delta_q7,task_init,0.1,1.1630041599273682,64,70,6,libero_spatial_20260908
knn10_delta_q7,task_init,0.15,0.9957094192504883,61,70,9,libero_spatial_20260908
knn10_delta_q7,task_init,0.2,0.93988037109375,57,70,13,libero_spatial_20260908
v7_guard,episode,0.01,3.390122175216675,547,551,4,libero_spatial_20260908
v7_guard,episode,0.03,3.0235679149627686,536,551,15,libero_spatial_20260908
v7_guard,episode,0.05,2.7484827041625977,525,551,26,libero_spatial_20260908
v7_guard,episode,0.1,2.1558566093444824,497,551,54,libero_spatial_20260908
v7_guard,episode,0.15,1.8220667839050293,470,551,81,libero_spatial_20260908
v7_guard,episode,0.2,1.4930822849273682,442,551,109,libero_spatial_20260908
v7_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260908
v7_guard,task_init,0.03,3.4223239421844482,69,70,1,libero_spatial_20260908
v7_guard,task_init,0.05,3.1698358058929443,68,70,2,libero_spatial_20260908
v7_guard,task_init,0.1,2.813359022140503,64,70,6,libero_spatial_20260908
v7_guard,task_init,0.15,2.466015577316284,61,70,9,libero_spatial_20260908
v7_guard,task_init,0.2,1.977988362312317,57,70,13,libero_spatial_20260908
v8_guard,episode,0.01,3.4515838623046875,547,551,4,libero_spatial_20260908
v8_guard,episode,0.03,3.1520988941192627,536,551,15,libero_spatial_20260908
v8_guard,episode,0.05,2.9044275283813477,525,551,26,libero_spatial_20260908
v8_guard,episode,0.1,2.476618528366089,497,551,54,libero_spatial_20260908
v8_guard,episode,0.15,2.1050631999969482,470,551,81,libero_spatial_20260908
v8_guard,episode,0.2,1.8601826429367065,442,551,109,libero_spatial_20260908
v8_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260908
v8_guard,task_init,0.03,4.652166843414307,69,70,1,libero_spatial_20260908
v8_guard,task_init,0.05,3.946584701538086,68,70,2,libero_spatial_20260908
v8_guard,task_init,0.1,3.168574094772339,64,70,6,libero_spatial_20260908
v8_guard,task_init,0.15,2.813359022140503,61,70,9,libero_spatial_20260908
v8_guard,task_init,0.2,2.466015577316284,57,70,13,libero_spatial_20260908
v82_guard,episode,0.01,3.7308733463287354,547,551,4,libero_spatial_20260908
v82_guard,episode,0.03,3.1698358058929443,536,551,15,libero_spatial_20260908
v82_guard,episode,0.05,2.9571712017059326,525,551,26,libero_spatial_20260908
v82_guard,episode,0.1,2.6032357215881348,497,551,54,libero_spatial_20260908
v82_guard,episode,0.15,2.2071053981781006,470,551,81,libero_spatial_20260908
v82_guard,episode,0.2,1.9558740854263306,442,551,109,libero_spatial_20260908
v82_guard,task_init,0.01,inf,71,70,0,libero_spatial_20260908
v82_guard,task_init,0.03,4.980926036834717,69,70,1,libero_spatial_20260908
v82_guard,task_init,0.05,3.946584701538086,68,70,2,libero_spatial_20260908
v82_guard,task_init,0.1,3.2968571186065674,64,70,6,libero_spatial_20260908
v82_guard,task_init,0.15,2.9704031944274902,61,70,9,libero_spatial_20260908
v82_guard,task_init,0.2,2.731477737426758,57,70,13,libero_spatial_20260908
knn12_v8,episode,0.01,2.8865737915039062,547,551,4,libero_spatial_20260908
knn12_v8,episode,0.03,2.4253909587860107,536,551,15,libero_spatial_20260908
knn12_v8,episode,0.05,2.248108148574829,525,551,26,libero_spatial_20260908
knn12_v8,episode,0.1,2.0114552974700928,497,551,54,libero_spatial_20260908
knn12_v8,episode,0.15,1.90765380859375,470,551,81,libero_spatial_20260908
knn12_v8,episode,0.2,1.7627289295196533,442,551,109,libero_spatial_20260908
knn12_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn12_v8,task_init,0.03,3.098845958709717,69,70,1,libero_spatial_20260908
knn12_v8,task_init,0.05,3.011115074157715,68,70,2,libero_spatial_20260908
knn12_v8,task_init,0.1,2.735388994216919,64,70,6,libero_spatial_20260908
knn12_v8,task_init,0.15,2.5233263969421387,61,70,9,libero_spatial_20260908
knn12_v8,task_init,0.2,2.3505356311798096,57,70,13,libero_spatial_20260908
knn_and_v7,episode,0.01,2.9200234413146973,547,551,4,libero_spatial_20260908
knn_and_v7,episode,0.03,2.365131139755249,536,551,15,libero_spatial_20260908
knn_and_v7,episode,0.05,2.090343952178955,525,551,26,libero_spatial_20260908
knn_and_v7,episode,0.1,1.6938819885253906,497,551,54,libero_spatial_20260908
knn_and_v7,episode,0.15,1.3732532262802124,470,551,81,libero_spatial_20260908
knn_and_v7,episode,0.2,1.1299407482147217,442,551,109,libero_spatial_20260908
knn_and_v7,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn_and_v7,task_init,0.03,2.944493532180786,69,70,1,libero_spatial_20260908
knn_and_v7,task_init,0.05,2.731713056564331,68,70,2,libero_spatial_20260908
knn_and_v7,task_init,0.1,2.356985569000244,64,70,6,libero_spatial_20260908
knn_and_v7,task_init,0.15,1.8539947271347046,61,70,9,libero_spatial_20260908
knn_and_v7,task_init,0.2,1.6938819885253906,57,70,13,libero_spatial_20260908
knn_and_v8,episode,0.01,3.3871419429779053,547,551,4,libero_spatial_20260908
knn_and_v8,episode,0.03,2.6262905597686768,536,551,15,libero_spatial_20260908
knn_and_v8,episode,0.05,2.365131139755249,525,551,26,libero_spatial_20260908
knn_and_v8,episode,0.1,1.8812814950942993,497,551,54,libero_spatial_20260908
knn_and_v8,episode,0.15,1.550616979598999,470,551,81,libero_spatial_20260908
knn_and_v8,episode,0.2,1.166558027267456,442,551,109,libero_spatial_20260908
knn_and_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn_and_v8,task_init,0.03,3.3871419429779053,69,70,1,libero_spatial_20260908
knn_and_v8,task_init,0.05,3.3853914737701416,68,70,2,libero_spatial_20260908
knn_and_v8,task_init,0.1,2.778963088989258,64,70,6,libero_spatial_20260908
knn_and_v8,task_init,0.15,2.5795397758483887,61,70,9,libero_spatial_20260908
knn_and_v8,task_init,0.2,2.2886483669281006,57,70,13,libero_spatial_20260908
knn_or_v8,episode,0.01,5.5522847175598145,547,551,4,libero_spatial_20260908
knn_or_v8,episode,0.03,4.087958335876465,536,551,15,libero_spatial_20260908
knn_or_v8,episode,0.05,3.7463738918304443,525,551,26,libero_spatial_20260908
knn_or_v8,episode,0.1,3.1443467140197754,497,551,54,libero_spatial_20260908
knn_or_v8,episode,0.15,2.6853458881378174,470,551,81,libero_spatial_20260908
knn_or_v8,episode,0.2,2.441580295562744,442,551,109,libero_spatial_20260908
knn_or_v8,task_init,0.01,inf,71,70,0,libero_spatial_20260908
knn_or_v8,task_init,0.03,6.154407024383545,69,70,1,libero_spatial_20260908
knn_or_v8,task_init,0.05,5.792616367340088,68,70,2,libero_spatial_20260908
knn_or_v8,task_init,0.1,5.191639423370361,64,70,6,libero_spatial_20260908
knn_or_v8,task_init,0.15,5.033318519592285,61,70,9,libero_spatial_20260908
knn_or_v8,task_init,0.2,4.087958335876465,57,70,13,libero_spatial_20260908
