method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,1.8209435939788818,554,558,4,libero_goal_20260907
knn10,episode,0.03,1.60194993019104,543,558,15,libero_goal_20260907
knn10,episode,0.05,1.4257900714874268,532,558,26,libero_goal_20260907
knn10,episode,0.1,1.213172197341919,504,558,54,libero_goal_20260907
knn10,episode,0.15,1.1383233070373535,476,558,82,libero_goal_20260907
knn10,episode,0.2,1.055996060371399,448,558,110,libero_goal_20260907
knn10,task_init,0.01,inf,71,70,0,libero_goal_20260907
knn10,task_init,0.03,1.9078218936920166,69,70,1,libero_goal_20260907
knn10,task_init,0.05,1.8795933723449707,68,70,2,libero_goal_20260907
knn10,task_init,0.1,1.5540238618850708,64,70,6,libero_goal_20260907
knn10,task_init,0.15,1.3931410312652588,61,70,9,libero_goal_20260907
knn10,task_init,0.2,1.3264391422271729,57,70,13,libero_goal_20260907
knn10_persist3,episode,0.01,1.4982393980026245,554,558,4,libero_goal_20260907
knn10_persist3,episode,0.03,1.1556172370910645,543,558,15,libero_goal_20260907
knn10_persist3,episode,0.05,1.0400630235671997,532,558,26,libero_goal_20260907
knn10_persist3,episode,0.1,0.91716468334198,504,558,54,libero_goal_20260907
knn10_persist3,episode,0.15,0.8514493703842163,476,558,82,libero_goal_20260907
knn10_persist3,episode,0.2,0.8078625798225403,448,558,110,libero_goal_20260907
knn10_persist3,task_init,0.01,inf,71,70,0,libero_goal_20260907
knn10_persist3,task_init,0.03,1.573073387145996,69,70,1,libero_goal_20260907
knn10_persist3,task_init,0.05,1.5616761445999146,68,70,2,libero_goal_20260907
knn10_persist3,task_init,0.1,1.046971082687378,64,70,6,libero_goal_20260907
knn10_persist3,task_init,0.15,0.9935700297355652,61,70,9,libero_goal_20260907
knn10_persist3,task_init,0.2,0.934361457824707,57,70,13,libero_goal_20260907
knn10_delta_q7,episode,0.01,1.1800593137741089,554,558,4,libero_goal_20260907
knn10_delta_q7,episode,0.03,0.8877690434455872,543,558,15,libero_goal_20260907
knn10_delta_q7,episode,0.05,0.8061345219612122,532,558,26,libero_goal_20260907
knn10_delta_q7,episode,0.1,0.6220080852508545,504,558,54,libero_goal_20260907
knn10_delta_q7,episode,0.15,0.5392558574676514,476,558,82,libero_goal_20260907
knn10_delta_q7,episode,0.2,0.474434494972229,448,558,110,libero_goal_20260907
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_goal_20260907
knn10_delta_q7,task_init,0.03,1.368835210800171,69,70,1,libero_goal_20260907
knn10_delta_q7,task_init,0.05,1.2113738059997559,68,70,2,libero_goal_20260907
knn10_delta_q7,task_init,0.1,0.8742242455482483,64,70,6,libero_goal_20260907
knn10_delta_q7,task_init,0.15,0.8533069491386414,61,70,9,libero_goal_20260907
knn10_delta_q7,task_init,0.2,0.6766003966331482,57,70,13,libero_goal_20260907
v7_guard,episode,0.01,3.5052826404571533,554,558,4,libero_goal_20260907
v7_guard,episode,0.03,3.171729326248169,543,558,15,libero_goal_20260907
