method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,1.8882981538772583,547,551,4,libero_object_20260908
knn10,episode,0.03,1.5955252647399902,536,551,15,libero_object_20260908
knn10,episode,0.05,1.5130363702774048,525,551,26,libero_object_20260908
knn10,episode,0.1,1.4190787076950073,497,551,54,libero_object_20260908
knn10,episode,0.15,1.3588749170303345,470,551,81,libero_object_20260908
knn10,episode,0.2,1.3030381202697754,442,551,109,libero_object_20260908
knn10,task_init,0.01,inf,71,70,0,libero_object_20260908
knn10,task_init,0.03,2.424532175064087,69,70,1,libero_object_20260908
knn10,task_init,0.05,1.8084982633590698,68,70,2,libero_object_20260908
knn10,task_init,0.1,1.697395920753479,64,70,6,libero_object_20260908
knn10,task_init,0.15,1.5955252647399902,61,70,9,libero_object_20260908
knn10,task_init,0.2,1.5656441450119019,57,70,13,libero_object_20260908
knn10_persist3,episode,0.01,1.674267053604126,547,551,4,libero_object_20260908
knn10_persist3,episode,0.03,1.3684966564178467,536,551,15,libero_object_20260908
knn10_persist3,episode,0.05,1.2801203727722168,525,551,26,libero_object_20260908
knn10_persist3,episode,0.1,1.2136951684951782,497,551,54,libero_object_20260908
knn10_persist3,episode,0.15,1.1534532308578491,470,551,81,libero_object_20260908
knn10_persist3,episode,0.2,1.110323190689087,442,551,109,libero_object_20260908
knn10_persist3,task_init,0.01,inf,71,70,0,libero_object_20260908
knn10_persist3,task_init,0.03,1.775276780128479,69,70,1,libero_object_20260908
knn10_persist3,task_init,0.05,1.674267053604126,68,70,2,libero_object_20260908
knn10_persist3,task_init,0.1,1.42961847782135,64,70,6,libero_object_20260908
knn10_persist3,task_init,0.15,1.3171751499176025,61,70,9,libero_object_20260908
knn10_persist3,task_init,0.2,1.270703911781311,57,70,13,libero_object_20260908
knn10_delta_q7,episode,0.01,1.1755764484405518,547,551,4,libero_object_20260908
knn10_delta_q7,episode,0.03,0.898780107498169,536,551,15,libero_object_20260908
knn10_delta_q7,episode,0.05,0.84999680519104,525,551,26,libero_object_20260908
knn10_delta_q7,episode,0.1,0.7513831257820129,497,551,54,libero_object_20260908
knn10_delta_q7,episode,0.15,0.6812201142311096,470,551,81,libero_object_20260908
knn10_delta_q7,episode,0.2,0.6357752084732056,442,551,109,libero_object_20260908
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_object_20260908
knn10_delta_q7,task_init,0.03,1.509136438369751,69,70,1,libero_object_20260908
knn10_delta_q7,task_init,0.05,1.1259465217590332,68,70,2,libero_object_20260908
knn10_delta_q7,task_init,0.1,0.9389644265174866,64,70,6,libero_object_20260908
knn10_delta_q7,task_init,0.15,0.8804543018341064,61,70,9,libero_object_20260908
knn10_delta_q7,task_init,0.2,0.8403319120407104,57,70,13,libero_object_20260908
v7_guard,episode,0.01,2.647359848022461,547,551,4,libero_object_20260908
v7_guard,episode,0.03,2.442779541015625,536,551,15,libero_object_20260908
v7_guard,episode,0.05,2.324477434158325,525,551,26,libero_object_20260908
v7_guard,episode,0.1,2.1223435401916504,497,551,54,libero_object_20260908
v7_guard,episode,0.15,1.9637640714645386,470,551,81,libero_object_20260908
v7_guard,episode,0.2,1.8352006673812866,442,551,109,libero_object_20260908
v7_guard,task_init,0.01,inf,71,70,0,libero_object_20260908
