method,calibration,alpha,threshold,rank,units,exceedances,fold
knn_and_v7,episode,0.01,7.242247581481934,537,541,4,libero_long_20260908
knn_and_v7,episode,0.03,4.588812828063965,526,541,15,libero_long_20260908
knn_and_v7,episode,0.05,3.722642183303833,515,541,26,libero_long_20260908
knn_and_v7,episode,0.1,2.3661088943481445,488,541,53,libero_long_20260908
knn_and_v7,episode,0.15,1.8468472957611084,461,541,80,libero_long_20260908
knn_and_v7,episode,0.2,1.5799108743667603,434,541,107,libero_long_20260908
knn_and_v7,task_init,0.01,inf,71,70,0,libero_long_20260908
knn_and_v7,task_init,0.03,8.388623237609863,69,70,1,libero_long_20260908
knn_and_v7,task_init,0.05,6.720782279968262,68,70,2,libero_long_20260908
knn_and_v7,task_init,0.1,4.232633113861084,64,70,6,libero_long_20260908
knn_and_v7,task_init,0.15,3.1581146717071533,61,70,9,libero_long_20260908
knn_and_v7,task_init,0.2,2.3083181381225586,57,70,13,libero_long_20260908
knn_and_v8,episode,0.01,6.360199928283691,537,541,4,libero_long_20260908
knn_and_v8,episode,0.03,4.583919048309326,526,541,15,libero_long_20260908
knn_and_v8,episode,0.05,3.5476877689361572,515,541,26,libero_long_20260908
knn_and_v8,episode,0.1,2.427717447280884,488,541,53,libero_long_20260908
knn_and_v8,episode,0.15,1.8928200006484985,461,541,80,libero_long_20260908
knn_and_v8,episode,0.2,1.6330503225326538,434,541,107,libero_long_20260908
knn_and_v8,task_init,0.01,inf,71,70,0,libero_long_20260908
knn_and_v8,task_init,0.03,7.471603870391846,69,70,1,libero_long_20260908
knn_and_v8,task_init,0.05,6.360199928283691,68,70,2,libero_long_20260908
knn_and_v8,task_init,0.1,4.173581600189209,64,70,6,libero_long_20260908
knn_and_v8,task_init,0.15,3.187756299972534,61,70,9,libero_long_20260908
knn_and_v8,task_init,0.2,2.768893241882324,57,70,13,libero_long_20260908
knn_or_v8,episode,0.01,9.760408401489258,537,541,4,libero_long_20260908
knn_or_v8,episode,0.03,6.277581691741943,526,541,15,libero_long_20260908
knn_or_v8,episode,0.05,5.212465286254883,515,541,26,libero_long_20260908
knn_or_v8,episode,0.1,3.964040994644165,488,541,53,libero_long_20260908
knn_or_v8,episode,0.15,3.3838891983032227,461,541,80,libero_long_20260908
knn_or_v8,episode,0.2,3.065696954727173,434,541,107,libero_long_20260908
knn_or_v8,task_init,0.01,inf,71,70,0,libero_long_20260908
knn_or_v8,task_init,0.03,11.210945129394531,69,70,1,libero_long_20260908
knn_or_v8,task_init,0.05,10.275390625,68,70,2,libero_long_20260908
knn_or_v8,task_init,0.1,6.770727157592773,64,70,6,libero_long_20260908
knn_or_v8,task_init,0.15,5.526151657104492,61,70,9,libero_long_20260908
knn_or_v8,task_init,0.2,4.911893844604492,57,70,13,libero_long_20260908
