method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,3.7188374996185303,516,520,4,libero_long_20260907
knn10,episode,0.03,2.4972848892211914,506,520,14,libero_long_20260907
knn10,episode,0.05,2.2644810676574707,495,520,25,libero_long_20260907
knn10,episode,0.1,1.9490835666656494,469,520,51,libero_long_20260907
knn10,episode,0.15,1.8311376571655273,443,520,77,libero_long_20260907
knn10,episode,0.2,1.7509188652038574,417,520,103,libero_long_20260907
knn10,task_init,0.01,inf,71,70,0,libero_long_20260907
knn10,task_init,0.03,4.568849563598633,69,70,1,libero_long_20260907
knn10,task_init,0.05,4.067817211151123,68,70,2,libero_long_20260907
knn10,task_init,0.1,2.6674742698669434,64,70,6,libero_long_20260907
knn10,task_init,0.15,2.4972848892211914,61,70,9,libero_long_20260907
knn10,task_init,0.2,2.181267738342285,57,70,13,libero_long_20260907
knn10_persist3,episode,0.01,3.197664976119995,516,520,4,libero_long_20260907
knn10_persist3,episode,0.03,2.1299190521240234,506,520,14,libero_long_20260907
knn10_persist3,episode,0.05,1.931786060333252,495,520,25,libero_long_20260907
knn10_persist3,episode,0.1,1.648228406906128,469,520,51,libero_long_20260907
knn10_persist3,episode,0.15,1.5700342655181885,443,520,77,libero_long_20260907
knn10_persist3,episode,0.2,1.5037037134170532,417,520,103,libero_long_20260907
knn10_persist3,task_init,0.01,inf,71,70,0,libero_long_20260907
knn10_persist3,task_init,0.03,3.65012526512146,69,70,1,libero_long_20260907
knn10_persist3,task_init,0.05,3.563016891479492,68,70,2,libero_long_20260907
knn10_persist3,task_init,0.1,2.3758702278137207,64,70,6,libero_long_20260907
knn10_persist3,task_init,0.15,2.1299190521240234,61,70,9,libero_long_20260907
knn10_persist3,task_init,0.2,1.945114254951477,57,70,13,libero_long_20260907
knn10_delta_q7,episode,0.01,2.641197443008423,516,520,4,libero_long_20260907
knn10_delta_q7,episode,0.03,1.621575117111206,506,520,14,libero_long_20260907
knn10_delta_q7,episode,0.05,1.3572752475738525,495,520,25,libero_long_20260907
knn10_delta_q7,episode,0.1,1.0956681966781616,469,520,51,libero_long_20260907
knn10_delta_q7,episode,0.15,0.9946921467781067,443,520,77,libero_long_20260907
knn10_delta_q7,episode,0.2,0.9177544116973877,417,520,103,libero_long_20260907
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_long_20260907
knn10_delta_q7,task_init,0.03,3.3946657180786133,69,70,1,libero_long_20260907
knn10_delta_q7,task_init,0.05,3.080197334289551,68,70,2,libero_long_20260907
knn10_delta_q7,task_init,0.1,1.8157148361206055,64,70,6,libero_long_20260907
knn10_delta_q7,task_init,0.15,1.6413867473602295,61,70,9,libero_long_20260907
knn10_delta_q7,task_init,0.2,1.3027241230010986,57,70,13,libero_long_20260907
v7_guard,episode,0.01,3.9784889221191406,516,520,4,libero_long_20260907
v7_guard,episode,0.03,3.4191932678222656,506,520,14,libero_long_20260907
v7_guard,episode,0.05,3.035914897918701,495,520,25,libero_long_20260907
v7_guard,episode,0.1,2.5411927700042725,469,520,51,libero_long_20260907
v7_guard,episode,0.15,2.046595335006714,443,520,77,libero_long_20260907
v7_guard,episode,0.2,1.8113001585006714,417,520,103,libero_long_20260907
v7_guard,task_init,0.01,inf,71,70,0,libero_long_20260907
v7_guard,task_init,0.03,5.035916805267334,69,70,1,libero_long_20260907
v7_guard,task_init,0.05,4.660882949829102,68,70,2,libero_long_20260907
v7_guard,task_init,0.1,3.7794864177703857,64,70,6,libero_long_20260907
v7_guard,task_init,0.15,3.1200478076934814,61,70,9,libero_long_20260907
v7_guard,task_init,0.2,2.7386014461517334,57,70,13,libero_long_20260907
v8_guard,episode,0.01,4.382514953613281,516,520,4,libero_long_20260907
v8_guard,episode,0.03,3.5030362606048584,506,520,14,libero_long_20260907
v8_guard,episode,0.05,3.142350196838379,495,520,25,libero_long_20260907
v8_guard,episode,0.1,2.7590296268463135,469,520,51,libero_long_20260907
v8_guard,episode,0.15,2.5776662826538086,443,520,77,libero_long_20260907
v8_guard,episode,0.2,2.40217661857605,417,520,103,libero_long_20260907
v8_guard,task_init,0.01,inf,71,70,0,libero_long_20260907
v8_guard,task_init,0.03,5.035916805267334,69,70,1,libero_long_20260907
v8_guard,task_init,0.05,4.980726718902588,68,70,2,libero_long_20260907
v8_guard,task_init,0.1,3.8444535732269287,64,70,6,libero_long_20260907
v8_guard,task_init,0.15,3.5997743606567383,61,70,9,libero_long_20260907
v8_guard,task_init,0.2,3.08207368850708,57,70,13,libero_long_20260907
v82_guard,episode,0.01,4.520341873168945,516,520,4,libero_long_20260907
v82_guard,episode,0.03,3.6599864959716797,506,520,14,libero_long_20260907
v82_guard,episode,0.05,3.4363033771514893,495,520,25,libero_long_20260907
v82_guard,episode,0.1,3.1413733959198,469,520,51,libero_long_20260907
v82_guard,episode,0.15,2.9068286418914795,443,520,77,libero_long_20260907
v82_guard,episode,0.2,2.7590296268463135,417,520,103,libero_long_20260907
v82_guard,task_init,0.01,inf,71,70,0,libero_long_20260907
v82_guard,task_init,0.03,5.684869289398193,69,70,1,libero_long_20260907
v82_guard,task_init,0.05,5.035916805267334,68,70,2,libero_long_20260907
v82_guard,task_init,0.1,3.9325084686279297,64,70,6,libero_long_20260907
v82_guard,task_init,0.15,3.7794864177703857,61,70,9,libero_long_20260907
v82_guard,task_init,0.2,3.532344341278076,57,70,13,libero_long_20260907
knn12_v8,episode,0.01,4.356697082519531,516,520,4,libero_long_20260907
knn12_v8,episode,0.03,3.084855794906616,506,520,14,libero_long_20260907
knn12_v8,episode,0.05,2.7351748943328857,495,520,25,libero_long_20260907
knn12_v8,episode,0.1,2.4071810245513916,469,520,51,libero_long_20260907
knn12_v8,episode,0.15,2.2453792095184326,443,520,77,libero_long_20260907
knn12_v8,episode,0.2,2.164107322692871,417,520,103,libero_long_20260907
knn12_v8,task_init,0.01,inf,71,70,0,libero_long_20260907
knn12_v8,task_init,0.03,4.718404293060303,69,70,1,libero_long_20260907
knn12_v8,task_init,0.05,4.680480003356934,68,70,2,libero_long_20260907
knn12_v8,task_init,0.1,3.9375410079956055,64,70,6,libero_long_20260907
knn12_v8,task_init,0.15,2.8697452545166016,61,70,9,libero_long_20260907
knn12_v8,task_init,0.2,2.7351748943328857,57,70,13,libero_long_20260907
knn_and_v7,episode,0.01,4.793482780456543,516,520,4,libero_long_20260907
knn_and_v7,episode,0.03,3.9983668327331543,506,520,14,libero_long_20260907
knn_and_v7,episode,0.05,3.584646224975586,495,520,25,libero_long_20260907
knn_and_v7,episode,0.1,2.6797707080841064,469,520,51,libero_long_20260907
knn_and_v7,episode,0.15,1.8945273160934448,443,520,77,libero_long_20260907
knn_and_v7,episode,0.2,1.5662665367126465,417,520,103,libero_long_20260907
knn_and_v7,task_init,0.01,inf,71,70,0,libero_long_20260907
knn_and_v7,task_init,0.03,6.133176326751709,69,70,1,libero_long_20260907
knn_and_v7,task_init,0.05,5.658032417297363,68,70,2,libero_long_20260907
knn_and_v7,task_init,0.1,4.5413594245910645,64,70,6,libero_long_20260907
knn_and_v7,task_init,0.15,3.705892562866211,61,70,9,libero_long_20260907
knn_and_v7,task_init,0.2,3.2038440704345703,57,70,13,libero_long_20260907
knn_and_v8,episode,0.01,4.3457350730896,516,520,4,libero_long_20260907
knn_and_v8,episode,0.03,3.571770429611206,506,520,14,libero_long_20260907
knn_and_v8,episode,0.05,3.045783281326294,495,520,25,libero_long_20260907
knn_and_v8,episode,0.1,2.3684377670288086,469,520,51,libero_long_20260907
knn_and_v8,episode,0.15,1.7845698595046997,443,520,77,libero_long_20260907
knn_and_v8,episode,0.2,1.5818902254104614,417,520,103,libero_long_20260907
knn_and_v8,task_init,0.01,inf,71,70,0,libero_long_20260907
knn_and_v8,task_init,0.03,5.658843040466309,69,70,1,libero_long_20260907
knn_and_v8,task_init,0.05,5.1620402336120605,68,70,2,libero_long_20260907
