method,calibration,alpha,threshold,rank,units,exceedances,fold
knn10,episode,0.01,2.095604419708252,546,550,4,libero_goal_20260908
knn10,episode,0.03,1.709343433380127,535,550,15,libero_goal_20260908
knn10,episode,0.05,1.5115138292312622,524,550,26,libero_goal_20260908
knn10,episode,0.1,1.3281508684158325,496,550,54,libero_goal_20260908
knn10,episode,0.15,1.240251064300537,469,550,81,libero_goal_20260908
knn10,episode,0.2,1.1697783470153809,441,550,109,libero_goal_20260908
knn10,task_init,0.01,inf,71,70,0,libero_goal_20260908
knn10,task_init,0.03,2.2631239891052246,69,70,1,libero_goal_20260908
knn10,task_init,0.05,2.2302961349487305,68,70,2,libero_goal_20260908
knn10,task_init,0.1,1.709343433380127,64,70,6,libero_goal_20260908
knn10,task_init,0.15,1.4723867177963257,61,70,9,libero_goal_20260908
knn10,task_init,0.2,1.3807164430618286,57,70,13,libero_goal_20260908
knn10_persist3,episode,0.01,1.7640116214752197,546,550,4,libero_goal_20260908
knn10_persist3,episode,0.03,1.4066864252090454,535,550,15,libero_goal_20260908
knn10_persist3,episode,0.05,1.2809884548187256,524,550,26,libero_goal_20260908
knn10_persist3,episode,0.1,1.0646871328353882,496,550,54,libero_goal_20260908
knn10_persist3,episode,0.15,1.0142780542373657,469,550,81,libero_goal_20260908
knn10_persist3,episode,0.2,0.9505205750465393,441,550,109,libero_goal_20260908
knn10_persist3,task_init,0.01,inf,71,70,0,libero_goal_20260908
knn10_persist3,task_init,0.03,1.809248924255371,69,70,1,libero_goal_20260908
knn10_persist3,task_init,0.05,1.7640116214752197,68,70,2,libero_goal_20260908
knn10_persist3,task_init,0.1,1.3759639263153076,64,70,6,libero_goal_20260908
knn10_persist3,task_init,0.15,1.1923013925552368,61,70,9,libero_goal_20260908
knn10_persist3,task_init,0.2,1.0696836709976196,57,70,13,libero_goal_20260908
knn10_delta_q7,episode,0.01,1.3408828973770142,546,550,4,libero_goal_20260908
knn10_delta_q7,episode,0.03,0.9644235968589783,535,550,15,libero_goal_20260908
knn10_delta_q7,episode,0.05,0.8141660690307617,524,550,26,libero_goal_20260908
knn10_delta_q7,episode,0.1,0.6355501413345337,496,550,54,libero_goal_20260908
knn10_delta_q7,episode,0.15,0.5576169490814209,469,550,81,libero_goal_20260908
knn10_delta_q7,episode,0.2,0.5039969086647034,441,550,109,libero_goal_20260908
knn10_delta_q7,task_init,0.01,inf,71,70,0,libero_goal_20260908
