direction,event_kind,horizon,score_bin,score_low,score_high,persistence,raw_events,raw_support,mapping_level,mapped_events,mapped_support,posterior_mean,ci_low,ci_high
A_to_B,loop,0,0,0.0,0.5,0,46,4166,score_bin_x_persistence,46,4166,0.011159107271418287,0.008622599899828545,0.013962121739255757
A_to_B,loop,0,0,0.0,0.5,1,0,0,score_bin_backoff,46,4166,0.011159107271418287,0.008622599899828545,0.013962121739255757
A_to_B,loop,0,0,0.0,0.5,2,0,0,score_bin_backoff,46,4166,0.011159107271418287,0.008622599899828545,0.013962121739255757
A_to_B,loop,0,0,0.0,0.5,3,0,0,score_bin_backoff,46,4166,0.011159107271418287,0.008622599899828545,0.013962121739255757
A_to_B,loop,0,1,0.5,0.75,0,68,2075,score_bin_x_persistence,68,2075,0.032996146435452796,0.02681474192781931,0.0396888746886784
A_to_B,loop,0,1,0.5,0.75,1,0,0,score_bin_backoff,68,2075,0.032996146435452796,0.02681474192781931,0.0396888746886784
A_to_B,loop,0,1,0.5,0.75,2,0,0,score_bin_backoff,68,2075,0.032996146435452796,0.02681474192781931,0.0396888746886784
A_to_B,loop,0,1,0.5,0.75,3,0,0,score_bin_backoff,68,2075,0.032996146435452796,0.02681474192781931,0.0396888746886784
A_to_B,loop,0,2,0.75,0.9,0,39,984,score_bin_x_persistence,39,984,0.04010152284263959,0.030381220114275857,0.05088287103114556
A_to_B,loop,0,2,0.75,0.9,1,0,0,score_bin_backoff,39,984,0.04010152284263959,0.030381220114275857,0.05088287103114556
A_to_B,loop,0,2,0.75,0.9,2,0,0,score_bin_backoff,39,984,0.04010152284263959,0.030381220114275857,0.05088287103114556
A_to_B,loop,0,2,0.75,0.9,3,0,0,score_bin_backoff,39,984,0.04010152284263959,0.030381220114275857,0.05088287103114556
A_to_B,loop,0,3,0.9,0.95,0,7,247,score_bin_x_persistence,7,247,0.03024193548387097,0.014784684841086174,0.0499857781784698
A_to_B,loop,0,3,0.9,0.95,1,0,0,score_bin_backoff,7,247,0.03024193548387097,0.014784684841086174,0.0499857781784698
A_to_B,loop,0,3,0.9,0.95,2,0,0,score_bin_backoff,7,247,0.03024193548387097,0.014784684841086174,0.0499857781784698
