direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error,evaluation_mode
A_to_B,trap,0,0.3328125,0.03286034353995519,132,4017,0.2999521564600448,onset_absorbing_proxy
A_to_B,trap,0,0.34375,0.10810810810810811,12,111,0.23564189189189189,onset_absorbing_proxy
A_to_B,trap,0,0.392378351539,0.01935483870967742,57,2945,0.3730235128293226,onset_absorbing_proxy
A_to_B,trap,0,0.3984375,0.09278350515463918,18,194,0.3056539948453608,onset_absorbing_proxy
A_to_B,trap,0,0.414103076308,0.09345156889495225,411,4398,0.3206515074130477,onset_absorbing_proxy
A_to_B,trap,0,0.456967213115,0.13126079447322972,76,579,0.3257064186417703,onset_absorbing_proxy
A_to_B,trap,0,0.530701754386,0.20434782608695654,47,230,0.3263539282990434,onset_absorbing_proxy
A_to_B,trap,0,0.53587196468,0.2839700669554943,721,2539,0.25190189772450566,onset_absorbing_proxy
A_to_B,trap,0,0.550505050505,0.12857142857142856,9,70,0.4219336219335714,onset_absorbing_proxy
A_to_B,trap,0,0.591346153846,0.15789473684210525,3,19,0.4334514170038947,onset_absorbing_proxy
A_to_B,trap,0,0.659090909091,0.5759162303664922,110,191,0.08317467872450779,onset_absorbing_proxy
A_to_B,trap,0,0.675572519084,0.7387005649717514,523,708,0.06312804588775145,onset_absorbing_proxy
A_to_B,trap,0,0.678378378378,0.6555555555555556,354,540,0.02282282282244441,onset_absorbing_proxy
A_to_B,trap,0,0.689024390244,0.702020202020202,139,198,0.012995811776202015,onset_absorbing_proxy
A_to_B,trap,2,0.34375,0.16216216216216217,18,111,0.18158783783783783,onset_absorbing_proxy
A_to_B,trap,2,0.361221590909,0.03435399551904406,138,4017,0.32686759538995597,onset_absorbing_proxy
A_to_B,trap,2,0.393619662363,0.021392190152801357,63,2945,0.37222747221019864,onset_absorbing_proxy
A_to_B,trap,2,0.4765625,0.18556701030927836,36,194,0.29099548969072164,onset_absorbing_proxy
A_to_B,trap,2,0.482421094686,0.10709413369713507,471,4398,0.3753269609888649,onset_absorbing_proxy
A_to_B,trap,2,0.575819672131,0.17616580310880828,102,579,0.3996538690221918,onset_absorbing_proxy
A_to_B,trap,2,0.609823399558,0.33083891295785745,840,2539,0.2789844866001426,onset_absorbing_proxy
A_to_B,trap,2,0.611111111111,0.2571428571428571,18,70,0.3539682539681429,onset_absorbing_proxy
A_to_B,trap,2,0.639423076923,0.3157894736842105,6,19,0.32363360323878954,onset_absorbing_proxy
A_to_B,trap,2,0.662280701754,0.34347826086956523,79,230,0.31880244088443477,onset_absorbing_proxy
A_to_B,trap,2,0.698473282443,0.768361581920904,544,708,0.06988829947790398,onset_absorbing_proxy
A_to_B,trap,2,0.704545454545,0.675392670157068,129,191,0.029152784387931896,onset_absorbing_proxy
A_to_B,trap,2,0.710810810811,0.75,405,540,0.03918918918900005,onset_absorbing_proxy
A_to_B,trap,2,0.725609756098,0.7525252525252525,149,198,0.02691549642725244,onset_absorbing_proxy
A_to_B,trap,4,0.385416666667,0.2702702702702703,30,111,0.11514639639672969,onset_absorbing_proxy
A_to_B,trap,4,0.409801136364,0.04630321135175504,186,4017,0.363497925012245,onset_absorbing_proxy
A_to_B,trap,4,0.410998013903,0.023089983022071308,68,2945,0.3879080308809287,onset_absorbing_proxy
A_to_B,trap,4,0.5234375,0.28865979381443296,56,194,0.23477770618556704,onset_absorbing_proxy
A_to_B,trap,4,0.531162604874,0.13392451114142792,589,4398,0.39723809373257213,onset_absorbing_proxy
A_to_B,trap,4,0.620901639344,0.26424870466321243,153,579,0.35665293468078757,onset_absorbing_proxy
A_to_B,trap,4,0.631313131313,0.3142857142857143,22,70,0.31702741702728576,onset_absorbing_proxy
A_to_B,trap,4,0.635209713024,0.3729814887751083,947,2539,0.2622282242488917,onset_absorbing_proxy
A_to_B,trap,4,0.639423076923,0.42105263157894735,8,19,0.2183704453440527,onset_absorbing_proxy
A_to_B,trap,4,0.671052631579,0.36086956521739133,83,230,0.31018306636160864,onset_absorbing_proxy
A_to_B,trap,4,0.698473282443,0.7711864406779662,546,708,0.07271315823496616,onset_absorbing_proxy
A_to_B,trap,4,0.719696969697,0.6963350785340314,133,191,0.023361891162968607,onset_absorbing_proxy
A_to_B,trap,4,0.721621621622,0.7611111111111111,411,540,0.03948948948911102,onset_absorbing_proxy
A_to_B,trap,4,0.725609756098,0.7676767676767676,152,198,0.04206701157876758,onset_absorbing_proxy
B_to_A,trap,0,0.020805109348,0.36870681145113526,2241,6078,0.34790170210313526,onset_absorbing_proxy
B_to_A,trap,0,0.068888415673,0.3499029126213592,901,2575,0.2810144969483592,onset_absorbing_proxy
B_to_A,trap,0,0.155172413793,0.3617021276595745,17,47,0.20652971386657448,onset_absorbing_proxy
B_to_A,trap,0,0.215877437326,0.489010989010989,89,182,0.273133551684989,onset_absorbing_proxy
B_to_A,trap,0,0.226495726496,0.43636363636363634,24,55,0.20986790986763634,onset_absorbing_proxy
B_to_A,trap,0,0.24746835443,0.49344978165938863,904,1832,0.24598142722938862,onset_absorbing_proxy
B_to_A,trap,0,0.272388059701,0.5512820512820513,43,78,0.2788939915810513,onset_absorbing_proxy
B_to_A,trap,0,0.384171195652,0.5179340028694405,361,697,0.1337628072174405,onset_absorbing_proxy
B_to_A,trap,0,0.58843537415,0.25806451612903225,8,31,0.3303708580209678,onset_absorbing_proxy
