direction,horizon,score_bin,score_low,score_high,persistence,raw_events,raw_support,mapping_level,mapped_events,mapped_support,posterior_mean,ci_low,ci_high
A_to_B,2,2,0.75,0.9,1,0,0,score_bin_backoff,1207,2502,0.48242109468637634,0.46600337159351224,0.49885479223725376
A_to_B,2,2,0.75,0.9,2,0,0,score_bin_backoff,1207,2502,0.48242109468637634,0.46600337159351224,0.49885479223725376
A_to_B,2,2,0.75,0.9,3,0,0,score_bin_backoff,1207,2502,0.48242109468637634,0.46600337159351224,0.49885479223725376
A_to_B,2,3,0.9,0.95,0,552,905,score_bin_x_persistence,552,905,0.6098233995584988,0.5830427008405916,0.6363282809616115
A_to_B,2,3,0.9,0.95,1,0,0,score_bin_backoff,552,905,0.6098233995584988,0.5830427008405916,0.6363282809616115
A_to_B,2,3,0.9,0.95,2,0,0,score_bin_backoff,552,905,0.6098233995584988,0.5830427008405916,0.6363282809616115
A_to_B,2,3,0.9,0.95,3,0,0,score_bin_backoff,552,905,0.6098233995584988,0.5830427008405916,0.6363282809616115
A_to_B,2,4,0.95,0.975,0,0,0,score_bin_backoff,306,486,0.6293634496919918,0.5930963900979271,0.6650257942499858
A_to_B,2,4,0.95,0.975,1,140,243,score_bin_x_persistence,140,243,0.5758196721311475,0.523517419644291,0.6274137484029362
A_to_B,2,4,0.95,0.975,2,75,113,score_bin_x_persistence,75,113,0.6622807017543859,0.5881064614790874,0.7332033182125488
A_to_B,2,4,0.95,0.975,3,91,130,score_bin_x_persistence,91,130,0.6984732824427481,0.6310517801890397,0.7624364337738326
A_to_B,2,5,0.975,0.99,0,0,0,score_bin_backoff,177,294,0.6016949152542372,0.5544906832110605,0.6481138086581972
A_to_B,2,5,0.975,0.99,1,16,47,score_bin_x_persistence,16,47,0.34375,0.23585632378622298,0.4591239958791096
A_to_B,2,5,0.975,0.99,2,30,63,score_bin_x_persistence,30,63,0.4765625,0.37498156052581316,0.5789831493709222
A_to_B,2,5,0.975,0.99,3,131,184,score_bin_x_persistence,131,184,0.7108108108108108,0.6548398772920914,0.7641835559471505
A_to_B,2,6,0.99,0.995,0,0,0,score_bin_backoff,60,98,0.6111111111111112,0.5296063275471291,0.6900501416057205
A_to_B,2,6,0.99,0.995,1,4,11,score_bin_backoff,60,98,0.6111111111111112,0.5296063275471291,0.6900501416057205
A_to_B,2,6,0.99,0.995,2,10,22,score_bin_backoff,60,98,0.6111111111111112,0.5296063275471291,0.6900501416057205
A_to_B,2,6,0.99,0.995,3,46,65,score_bin_x_persistence,46,65,0.7045454545454546,0.6093529447803694,0.7926383384324788
A_to_B,2,7,0.995,1.0000001,0,0,0,score_bin_backoff,66,103,0.6394230769230769,0.5607926802412847,0.7149897139241166
