direction,probability_threshold,alarm_rows,true_alarm_rows,alarm_precision,positive_row_recall,event_episode_timely_recall,no_event_episode_fpr
A_to_B,0.1,7444,557,0.07482536270822139,0.9620034542314335,0.9792746113989638,1.0
A_to_B,0.2,2801,310,0.11067475901463764,0.5354058721934369,0.689119170984456,0.877742946708464
A_to_B,0.25,192,41,0.21354166666666666,0.07081174438687392,0.21243523316062177,0.23824451410658307
A_to_B,0.35,192,41,0.21354166666666666,0.07081174438687392,0.21243523316062177,0.23824451410658307
A_to_B,0.5,0,0,,0.0,0.0,0.0
A_to_B,0.75,0,0,,0.0,0.0,0.0
B_to_A,0.1,587,122,0.20783645655877342,0.1964573268921095,0.3349282296650718,0.43661971830985913
B_to_A,0.2,193,32,0.16580310880829016,0.05152979066022544,0.08133971291866028,0.08450704225352113
B_to_A,0.25,144,23,0.1597222222222222,0.037037037037037035,0.06698564593301436,0.07746478873239436
B_to_A,0.35,42,6,0.14285714285714285,0.00966183574879227,0.019138755980861243,0.02112676056338028
B_to_A,0.5,19,3,0.15789473684210525,0.004830917874396135,0.014354066985645933,0.007042253521126761
B_to_A,0.75,0,0,,0.0,0.0,0.0
