cohort,quantity,layer,layer_group,step,mean,std,n
development_main,token_entropy,L2,front,0,3.4563093185424805,0.004313743207603693,221781
development_main,token_entropy,L2,front,1,3.456076145172119,0.004465852398425341,221781
development_main,token_entropy,L2,front,2,3.4562270641326904,0.0044662305153906345,221781
development_main,token_entropy,L2,front,3,3.4560606479644775,0.004560911096632481,221781
development_main,token_entropy,L2,front,4,3.456099510192871,0.004598182626068592,221781
development_main,token_entropy,L2,front,5,3.456040620803833,0.004625394009053707,221781
development_main,token_entropy,L2,front,6,3.4563610553741455,0.004467709921300411,221781
development_main,token_entropy,L2,front,7,3.4566595554351807,0.004377489443868399,221781
development_main,token_entropy,L2,front,8,3.4565982818603516,0.004400078672915697,221781
development_main,token_entropy,L2,front,9,3.456329345703125,0.004369399510324001,221781
development_main,token_entropy,L3,front,0,3.4571454524993896,0.004285374656319618,221781
development_main,token_entropy,L3,front,1,3.4572670459747314,0.004314062185585499,221781
development_main,token_entropy,L3,front,2,3.457127809524536,0.004360327962785959,221781
development_main,token_entropy,L3,front,3,3.456989049911499,0.004435216076672077,221781
development_main,token_entropy,L3,front,4,3.456918478012085,0.0044466364197432995,221781
development_main,token_entropy,L3,front,5,3.45672345161438,0.0045013464987277985,221781
development_main,token_entropy,L3,front,6,3.4567224979400635,0.004513091407716274,221781
development_main,token_entropy,L3,front,7,3.45660138130188,0.004506608471274376,221781
development_main,token_entropy,L3,front,8,3.4563372135162354,0.00462367944419384,221781
development_main,token_entropy,L3,front,9,3.4558005332946777,0.004554980434477329,221781
development_main,token_entropy,L4,front,0,3.4575753211975098,0.0044792345724999905,221781
development_main,token_entropy,L4,front,1,3.4575397968292236,0.0045165447518229485,221781
development_main,token_entropy,L4,front,2,3.4572489261627197,0.0045325858518481255,221781
development_main,token_entropy,L4,front,3,3.45699143409729,0.00462469644844532,221781
development_main,token_entropy,L4,front,4,3.456731081008911,0.004633557982742786,221781
development_main,token_entropy,L4,front,5,3.4564716815948486,0.004644234199076891,221781
development_main,token_entropy,L4,front,6,3.4564363956451416,0.0046175322495400906,221781
development_main,token_entropy,L4,front,7,3.456352710723877,0.004578972700983286,221781
development_main,token_entropy,L4,front,8,3.456023931503296,0.004682536236941814,221781
development_main,token_entropy,L4,front,9,3.4553046226501465,0.004803037736564875,221781
development_main,token_entropy,L5,front,0,3.456289768218994,0.0045726364478468895,221781
development_main,token_entropy,L5,front,1,3.4560906887054443,0.00460925605148077,221781
development_main,token_entropy,L5,front,2,3.455866575241089,0.004597750026732683,221781
development_main,token_entropy,L5,front,3,3.45573091506958,0.004558104556053877,221781
development_main,token_entropy,L5,front,4,3.4555790424346924,0.0044872816652059555,221781
development_main,token_entropy,L5,front,5,3.455490827560425,0.0044770813547074795,221781
development_main,token_entropy,L5,front,6,3.4552855491638184,0.004639984108507633,221781
development_main,token_entropy,L5,front,7,3.454667568206787,0.0052232821471989155,221781
development_main,token_entropy,L5,front,8,3.453751564025879,0.006129800342023373,221781
development_main,token_entropy,L5,front,9,3.452622175216675,0.00672573409974575,221781
development_main,token_entropy,L12,back,0,3.457692861557007,0.005257292650640011,221781
development_main,token_entropy,L12,back,1,3.4576454162597656,0.005209081340581179,221781
development_main,token_entropy,L12,back,2,3.4575583934783936,0.005129865370690823,221781
development_main,token_entropy,L12,back,3,3.4574480056762695,0.005039779469370842,221781
development_main,token_entropy,L12,back,4,3.457303285598755,0.004975839518010616,221781
development_main,token_entropy,L12,back,5,3.457069158554077,0.004930565599352121,221781
development_main,token_entropy,L12,back,6,3.4568121433258057,0.0049332184717059135,221781
development_main,token_entropy,L12,back,7,3.4563798904418945,0.005010688211768866,221781
development_main,token_entropy,L12,back,8,3.4556992053985596,0.005229571834206581,221781
development_main,token_entropy,L12,back,9,3.454131841659546,0.005725502967834473,221781
development_main,token_entropy,L13,back,0,3.4575212001800537,0.005056439898908138,221781
development_main,token_entropy,L13,back,1,3.457465171813965,0.005059040151536465,221781
development_main,token_entropy,L13,back,2,3.4573495388031006,0.005014497321099043,221781
development_main,token_entropy,L13,back,3,3.457197427749634,0.0049625844694674015,221781
development_main,token_entropy,L13,back,4,3.457017183303833,0.004928064066916704,221781
development_main,token_entropy,L13,back,5,3.4567620754241943,0.004918450023978949,221781
development_main,token_entropy,L13,back,6,3.4563989639282227,0.004936501383781433,221781
development_main,token_entropy,L13,back,7,3.4558091163635254,0.005073307082056999,221781
development_main,token_entropy,L13,back,8,3.4547693729400635,0.005409058649092913,221781
development_main,token_entropy,L13,back,9,3.4528322219848633,0.0059394920244812965,221781
development_main,token_entropy,L14,back,0,3.45761775970459,0.0052888160571455956,221781
development_main,token_entropy,L14,back,1,3.45756459236145,0.005265607964247465,221781
development_main,token_entropy,L14,back,2,3.4574830532073975,0.0051774219609797,221781
development_main,token_entropy,L14,back,3,3.457390785217285,0.005096562206745148,221781
development_main,token_entropy,L14,back,4,3.4572503566741943,0.005000555422157049,221781
development_main,token_entropy,L14,back,5,3.457080364227295,0.00493603153154254,221781
development_main,token_entropy,L14,back,6,3.45682954788208,0.004920084960758686,221781
development_main,token_entropy,L14,back,7,3.4564061164855957,0.005011121276766062,221781
development_main,token_entropy,L14,back,8,3.4556050300598145,0.005306628067046404,221781
development_main,token_entropy,L14,back,9,3.453735828399658,0.005940641276538372,221781
development_main,token_entropy,L15,back,0,3.4573609828948975,0.005067037418484688,221781
development_main,token_entropy,L15,back,1,3.457225799560547,0.00509687140583992,221781
development_main,token_entropy,L15,back,2,3.4569876194000244,0.00512269651517272,221781
development_main,token_entropy,L15,back,3,3.4566586017608643,0.005185583606362343,221781
development_main,token_entropy,L15,back,4,3.4562156200408936,0.005276709329336882,221781
development_main,token_entropy,L15,back,5,3.455648899078369,0.005389513913542032,221781
