quantity,cohort,tasks,early_back_above_front,late_back_above_front,sign_flips_neg_to_pos,sign_flips_pos_to_neg,median_early,median_late
token_entropy,development_extra,3,3,0,0,3,0.0016737779369577765,-0.0006389617919921875
token_entropy,development_main,37,37,0,0,37,0.0011093616485595703,-0.002147277118638158
token_entropy,external_8b,39,39,0,0,39,0.0012042522430419922,-0.002004384994506836
load_entropy,development_extra,3,0,0,0,0,-0.0001800854952307418,-0.0017219384899362922
load_entropy,development_main,37,3,0,0,3,-0.00028745332383550704,-0.002001047134399414
load_entropy,external_8b,39,4,0,0,4,-0.00021195411682128906,-0.0019038518657907844
token_differentiation,development_extra,3,0,0,0,0,-0.0017492097103968263,-0.0010319474386051297
token_differentiation,development_main,37,0,26,26,0,-0.0015119919553399086,0.0002658008597791195
token_differentiation,external_8b,39,0,25,25,0,-0.0015886964974924922,0.00024324438709300011
action_consensus,development_extra,3,3,3,0,0,0.0009624958038330078,0.0005480448598973453
action_consensus,development_main,37,37,11,0,26,0.0008431871538050473,-0.00015032291412353516
action_consensus,external_8b,39,39,14,0,25,0.0008793274755589664,-0.00014420349907595664
state_action_alignment,development_extra,3,3,3,0,0,0.0718955397605896,0.07145795971155167
state_action_alignment,development_main,37,37,37,0,0,0.10216411203145981,0.10209647566080093
state_action_alignment,external_8b,39,39,39,0,0,0.10055331140756607,0.1009683609008789
conditional_energy,development_extra,3,0,0,0,0,-0.13121066987514496,-0.13024121522903442
conditional_energy,development_main,37,0,0,0,0,-0.1812482625246048,-0.18279139697551727
conditional_energy,external_8b,39,0,0,0,0,-0.17972807586193085,-0.18104977905750275
conditional_effective_rank,development_extra,3,3,3,0,0,0.01349398773163557,0.027609558776021004
conditional_effective_rank,development_main,37,37,37,0,0,0.01361674815416336,0.029184313490986824
conditional_effective_rank,external_8b,39,39,39,0,0,0.01360415667295456,0.029280738905072212
flow_speed,development_extra,3,0,0,0,0,-0.0030634040012955666,-0.002268516458570957
flow_speed,development_main,37,0,0,0,0,-0.003007515100762248,-0.001294641406275332
flow_speed,external_8b,39,0,0,0,0,-0.0030292945448309183,-0.0013049821136519313
mobility,development_extra,3,0,3,3,0,-0.0064893015660345554,0.009633418172597885
mobility,development_main,37,7,37,30,0,-0.0025644164998084307,0.013788712210953236
mobility,external_8b,39,7,39,32,0,-0.002849879441782832,0.01282326877117157
state_mobility,development_extra,3,0,0,0,0,-0.06355450302362442,-0.06355270743370056
state_mobility,development_main,37,0,0,0,0,-0.08911347389221191,-0.08911290764808655
state_mobility,external_8b,39,0,0,0,0,-0.08731216192245483,-0.08731323480606079
