cohort,layer,step,mobility,noise_floor,observation_spread,remainder,remainder_share,observation_over_noise
development_main,L2,0,0.0424307845532894,0.0400664433836936,0.0077787120826542,0.0023643411695958017,0.0557223062096906,0.1941453102827692
development_main,L2,1,0.0413607284426689,0.0385690331459045,0.0081189842894673,0.0027916952967644015,0.06749627972906806,0.2105052584220516
development_main,L2,2,0.0409388877451419,0.0378780253231525,0.0086723240092396,0.0030608624219893993,0.07476662387713802,0.22895396302348275
development_main,L2,3,0.0405895449221134,0.0372017323970794,0.0093291467055678,0.0033878125250339994,0.08346515171665059,0.25077183519282037
development_main,L2,4,0.0398581065237522,0.0362130180001258,0.0100677851587533,0.003645088523626397,0.09145162280737595,0.2780156340109053
development_main,L2,5,0.0390515588223934,0.0348236076533794,0.0109213087707757,0.004227951169013998,0.10826587456451436,0.3136179593878424
development_main,L2,6,0.0375030487775802,0.0323445796966552,0.0117607181891798,0.005158469080925002,0.13754799273836105,0.36360708036642053
development_main,L2,7,0.0356663726270198,0.0289030168205499,0.0127482702955603,0.0067633558064699,0.1896283616278427,0.441070576636012
development_main,L2,8,0.0343765169382095,0.0245283767580986,0.0138109941035509,0.0098481401801109,0.28647870864324515,0.563061887044396
development_main,L2,9,0.0344869941473007,0.0205307714641094,0.0155256874859333,0.0139562226831913,0.40468075076597115,0.7562154940487418
development_main,L3,0,0.038012821227312,0.0353099033236503,0.008360001258552,0.0027029179036617,0.07110542749507023,0.2367608084883239
development_main,L3,1,0.0377894416451454,0.0345450155436992,0.0087530501186847,0.0032444261014462003,0.08585535959785724,0.25338098654528474
development_main,L3,2,0.0375783555209636,0.0337023846805095,0.0093332529067993,0.0038759708404541016,0.1031437056443792,0.27693152859289616
development_main,L3,3,0.0376508571207523,0.0333001725375652,0.0100200828164815,0.004350684583187103,0.11555340079599687,0.30090182881719496
development_main,L3,4,0.0375524014234542,0.0326829999685287,0.0107928561046719,0.004869401454925502,0.1296695090153198,0.3302284403226331
development_main,L3,5,0.0374201349914073,0.0317649394273757,0.0117000434547662,0.005655195564031594,0.1511270754456173,0.36833199325048466
development_main,L3,6,0.0367540344595909,0.0297771245241165,0.0126874540001153,0.006976909935474399,0.18982704995679153,0.42608056361653485
development_main,L3,7,0.0361424461007118,0.0270562395453453,0.0139157027006149,0.009086206555366502,0.2513998784157433,0.514325084877101
