cohort,quantity,axis,axis_size,step_offset,best_cut,best_split_score,canonical_cut,canonical_split_score,extreme_correlation,mean_offdiag_correlation,all_scores
development_main,token_entropy,step,10,0,7,0.05175823324312412,,,0.8495856257747709,0.9572561703642707,"[0.02012, 0.02432, 0.02984, 0.03697, 0.0442, 0.0493, 0.05176, 0.05151, 0.05067]"
development_main,token_entropy,layer,8,0,3,0.17164592822311242,4.0,0.15044419375663187,0.44787472678481305,0.6301804834535313,"[0.07911, 0.12361, 0.17165, 0.15044, 0.06374, 0.02473, 0.03174]"
development_main,load_entropy,step,10,0,9,0.09998450598527642,,,0.7653326089944281,0.9266664921704482,"[0.0216, 0.02859, 0.03777, 0.05131, 0.06568, 0.07796, 0.08637, 0.0911, 0.09998]"
development_main,load_entropy,layer,8,0,1,0.2081512034550381,4.0,0.11113152985156804,0.13758440289762006,0.3442824027081661,"[0.20815, 0.16466, 0.18187, 0.11113, 0.00904, -0.02518, -0.01926]"
development_main,token_differentiation,step,10,0,6,0.06922705330010037,,,0.7983525679690763,0.941516595480365,"[0.03183, 0.03821, 0.04664, 0.05622, 0.06473, 0.06923, 0.06886, 0.06411, 0.05753]"
development_main,token_differentiation,layer,8,0,3,0.16827341650904404,4.0,0.14641289406523228,0.4593190086179898,0.6561085045684931,"[0.10013, 0.12865, 0.16827, 0.14641, 0.06257, 0.01388, 0.03558]"
development_main,action_consensus,step,10,0,6,0.06752247272960221,,,0.8019030036213066,0.9428687434821612,"[0.03206, 0.0383, 0.04645, 0.0556, 0.06357, 0.06752, 0.06677, 0.06197, 0.05573]"
development_main,action_consensus,layer,8,0,3,0.16941151076454974,4.0,0.14821931897617036,0.4625352852749298,0.6575541526589846,"[0.10036, 0.13071, 0.16941, 0.14822, 0.06276, 0.01219, 0.03064]"
development_main,state_action_alignment,step,10,0,9,0.0006192987299993291,,,0.9987754303796316,0.9996416327392854,"[3e-05, 8e-05, 0.00012, 0.00019, 0.00029, 0.00038, 0.00046, 0.00055, 0.00062]"
development_main,state_action_alignment,layer,8,0,4,0.10737454939151737,4.0,0.10737454939151737,0.0689234565162867,0.09465021900634703,"[-0.05713, -0.0158, 0.05086, 0.10737, 0.04696, 0.03971, 0.03925]"
development_main,conditional_energy,step,10,0,9,0.0007001504332043718,,,0.9986049630976256,0.9995982647079308,"[4e-05, 9e-05, 0.00013, 0.00022, 0.00033, 0.00043, 0.00052, 0.00061, 0.0007]"
development_main,conditional_energy,layer,8,0,4,0.11074121267064067,4.0,0.11074121267064067,0.06810658411269596,0.0972175022418833,"[-0.05829, -0.01661, 0.05099, 0.11074, 0.05039, 0.0438, 0.04317]"
development_main,conditional_effective_rank,step,10,0,8,0.035745003525844865,,,0.9026660301881145,0.972665081351769,"[0.01079, 0.01366, 0.01779, 0.02323, 0.0288, 0.03305, 0.03543, 0.03575, 0.03494]"
development_main,conditional_effective_rank,layer,8,0,4,0.24457834547529383,4.0,0.24457834547529383,0.23036403240178505,0.34732542955537127,"[0.0293, 0.11747, 0.20239, 0.24458, 0.07652, -0.01274, -0.02475]"
development_main,flow_speed,step,9,1,4,0.08697204201078557,,,0.6805421131214483,0.8578463992604333,"[0.08352, 0.071, 0.07781, 0.08697, 0.08244, 0.07295, 0.05765, 0.05769]"
development_main,flow_speed,layer,8,0,4,0.0886946969344522,4.0,0.0886946969344522,0.7450041782338064,0.8317207073252536,"[0.04009, 0.03969, 0.06037, 0.08869, 0.03726, 0.02249, 0.01451]"
development_main,mobility,step,10,0,7,0.039682700056855036,,,0.8797257671645561,0.9666847361801072,"[0.01845, 0.02182, 0.02627, 0.03161, 0.03649, 0.03938, 0.03968, 0.0383, 0.03686]"
development_main,mobility,layer,8,0,4,0.13768481461414406,4.0,0.13768481461414406,0.5962584792774356,0.7630871734391579,"[0.11232, 0.09252, 0.11486, 0.13768, 0.06414, 0.02515, -0.0033]"
development_main,state_mobility,step,10,0,7,2.6931596730506158e-08,,,0.9999989294534826,0.9999989856817686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
development_main,state_mobility,layer,8,0,4,0.1044220805466507,4.0,0.1044220805466507,0.5012969152045155,0.5691878973183212,"[0.06438, 0.0587, 0.08944, 0.10442, 0.01517, -0.02295, -0.03775]"
development_extra,token_entropy,step,10,0,7,0.10950952769845557,,,0.7414471070131825,0.9185788862923302,"[0.02211, 0.03372, 0.05076, 0.07171, 0.09229, 0.10604, 0.10951, 0.09972, 0.07989]"
development_extra,token_entropy,layer,8,0,4,0.14588124648894718,4.0,0.14588124648894718,0.46448191096412433,0.644052105013926,"[0.09422, 0.07767, 0.13513, 0.14588, 0.06399, 0.03295, 0.05463]"
development_extra,load_entropy,step,10,0,9,0.18147281896738487,,,0.5818469221813598,0.8711774617416584,"[0.03065, 0.04434, 0.06002, 0.08539, 0.11388, 0.13958, 0.15841, 0.16829, 0.18147]"
