cohort,quantity,step,tasks,tasks_back_above_front,median_back_minus_front
development_extra,action_consensus,0,3,3,0.000946044921875
development_extra,action_consensus,1,3,3,0.0009456872940063477
development_extra,action_consensus,2,3,3,0.0009957551956176758
development_extra,action_consensus,3,3,3,0.0010436773300170898
development_extra,action_consensus,4,3,3,0.0010606646537780762
development_extra,action_consensus,5,3,3,0.0010319948196411133
development_extra,action_consensus,6,3,3,0.0009319782257080078
development_extra,action_consensus,7,3,3,0.0007944107055664062
development_extra,action_consensus,8,3,3,0.0006268620491027832
development_extra,action_consensus,9,3,2,0.00022286176681518555
development_extra,conditional_effective_rank,0,3,3,0.012965545058250427
development_extra,conditional_effective_rank,1,3,3,0.013378702104091644
development_extra,conditional_effective_rank,2,3,3,0.014137715101242065
development_extra,conditional_effective_rank,3,3,3,0.015144497156143188
development_extra,conditional_effective_rank,4,3,3,0.016247816383838654
development_extra,conditional_effective_rank,5,3,3,0.017843052744865417
development_extra,conditional_effective_rank,6,3,3,0.019886702299118042
development_extra,conditional_effective_rank,7,3,3,0.02281518280506134
development_extra,conditional_effective_rank,8,3,3,0.02682334929704666
development_extra,conditional_effective_rank,9,3,3,0.03319014608860016
development_extra,conditional_energy,0,3,0,-0.13103821873664856
development_extra,conditional_energy,1,3,0,-0.13119590282440186
development_extra,conditional_energy,2,3,0,-0.13139785826206207
development_extra,conditional_energy,3,3,0,-0.13119076192378998
development_extra,conditional_energy,4,3,0,-0.13142137229442596
development_extra,conditional_energy,5,3,0,-0.13150687515735626
development_extra,conditional_energy,6,3,0,-0.13131070137023926
development_extra,conditional_energy,7,3,0,-0.13073718547821045
development_extra,conditional_energy,8,3,0,-0.13062414526939392
development_extra,conditional_energy,9,3,0,-0.1293623298406601
development_extra,flow_speed,0,3,0,
development_extra,flow_speed,1,3,0,-0.0031413566321134567
development_extra,flow_speed,2,3,0,-0.0031788386404514313
development_extra,flow_speed,3,3,0,-0.0028700167313218117
development_extra,flow_speed,4,3,0,-0.00247996486723423
development_extra,flow_speed,5,3,0,-0.00230696564540267
development_extra,flow_speed,6,3,0,-0.0026965909637510777
development_extra,flow_speed,7,3,0,-0.002278790809214115
development_extra,flow_speed,8,3,0,-0.00277605839073658
development_extra,flow_speed,9,3,0,-0.0015073344111442566
development_extra,load_entropy,0,3,0,-0.00012493133544921875
development_extra,load_entropy,1,3,1,-0.00014066696166992188
development_extra,load_entropy,2,3,0,-0.000274658203125
development_extra,load_entropy,3,3,0,-0.0004010200500488281
development_extra,load_entropy,4,3,0,-0.0005745887756347656
development_extra,load_entropy,5,3,0,-0.0007398128509521484
development_extra,load_entropy,6,3,0,-0.0010712146759033203
development_extra,load_entropy,7,3,0,-0.0014688968658447266
development_extra,load_entropy,8,3,0,-0.0017392635345458984
development_extra,load_entropy,9,3,0,-0.002012968063354492
development_extra,mobility,0,3,0,-0.007464561611413956
development_extra,mobility,1,3,0,-0.006411738693714142
development_extra,mobility,2,3,0,-0.005591604858636856
development_extra,mobility,3,3,0,-0.004445809870958328
development_extra,mobility,4,3,0,-0.0029213987290859222
development_extra,mobility,5,3,1,-0.0008528381586074829
development_extra,mobility,6,3,2,0.0020322203636169434
development_extra,mobility,7,3,3,0.0055777765810489655
development_extra,mobility,8,3,3,0.009498480707406998
development_extra,mobility,9,3,3,0.013823997229337692
development_extra,state_action_alignment,0,3,3,0.07178592681884766
development_extra,state_action_alignment,1,3,3,0.0718875527381897
development_extra,state_action_alignment,2,3,3,0.07201313972473145
development_extra,state_action_alignment,3,3,3,0.07190442085266113
development_extra,state_action_alignment,4,3,3,0.07204169034957886
development_extra,state_action_alignment,5,3,3,0.07210159301757812
development_extra,state_action_alignment,6,3,3,0.07200431823730469
development_extra,state_action_alignment,7,3,3,0.07169026136398315
development_extra,state_action_alignment,8,3,3,0.07166481018066406
development_extra,state_action_alignment,9,3,3,0.07101881504058838
development_extra,state_mobility,0,3,0,-0.0635543018579483
development_extra,state_mobility,1,3,0,-0.06355462968349457
development_extra,state_mobility,2,3,0,-0.06355457007884979
development_extra,state_mobility,3,3,0,-0.06355436146259308
development_extra,state_mobility,4,3,0,-0.06355368345975876
development_extra,state_mobility,5,3,0,-0.06355444341897964
development_extra,state_mobility,6,3,0,-0.06355395913124084
development_extra,state_mobility,7,3,0,-0.06355356425046921
development_extra,state_mobility,8,3,0,-0.06355328857898712
development_extra,state_mobility,9,3,0,-0.06355127692222595
development_extra,token_differentiation,0,3,0,-0.0017219060100615025
development_extra,token_differentiation,1,3,0,-0.0017178970156237483
development_extra,token_differentiation,2,3,0,-0.0018078263383358717
development_extra,token_differentiation,3,3,0,-0.0018918435089290142
development_extra,token_differentiation,4,3,0,-0.0019193522166460752
development_extra,token_differentiation,5,3,0,-0.0018679050263017416
development_extra,token_differentiation,6,3,0,-0.001693572849035263
development_extra,token_differentiation,7,3,0,-0.0014547703322023153
development_extra,token_differentiation,8,3,0,-0.00117537472397089
development_extra,token_differentiation,9,3,1,-0.00046569714322686195
development_extra,token_entropy,0,3,3,0.0017242431640625
